职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司福利,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
食堂管理员,深圳市卓越物业管理有限责任公司,6-8千·13薪,广州-番禺区,大专,1年经验,03-06发布,10000人以上,食堂,民营,物业管理/商业中心,,1.负责职工食堂的日常管理工作;2.负委检查食堂卫生、用餐器县消毒情况，确保用餐安全，不发生食物中毒事故，并控制卫生消毒用品、洁县的耗用;3.对餐厅运营商进行日常监管及考核，确保员工用餐健康安全，持续提升现场服务，监督厨房设备供应商的维保工作，确保设备支全运行;4.及时安排并完成行政部临时下达的客饭或领导宴请任务.任职要求1年龄30岁以下，大专及以上学历两年以上团餐饮管理T作经验，具有团餐行业经验优先;2.能够熟练使用电脑及相关办公软件（Word、Excel）;3.持有高级食品安全管理员证书;4.熟悉食品卫生管理条例、安全生产条例、厨房管理规范等相关法律法规;5.有较闻的逻辑性、抗压性及实发事件处理能力，具备良好的服务意识、沟通能力、协调能力，有贡任心和职业道德。薪资：上班时间：***休息，8:30-12:0013:00-19:00；薪资待遇：6000-8000元，13薪；福利:包住、五险一金、员工旅游、年度体检、过节费等。,民营  |  5000-10000人
直播内容质量资深管理岗,字节跳动,1.2-2.5万,天津,本科,3-4年经验,03-06发布,50-150人,下午茶,民营,互联网/电子商务,,职位描述：1、负责所在业务部门的人员管理和业务管理工作，保障业务指标达成和团队运营协作顺畅。2、挖掘业务部门现存问题，持续优化业务流程，统筹业务发展，持续业务满意度和团队影响力。3、负责协调业务部门内、外部资源，创新业务范围，产出数据化分析报告，为整个业务部门提供策略性支持。4、负责团队日常管理及员工培养，挖掘优秀人才，持续提升团队专业技能。5、跨团队协作，持续沟通，保持业务指标对齐和提升合作满意度职位要求：1、本科及以上学历，有过3年以上百人团队管理相关工作经验，包括内容质量团队管理、客服团队管理、或安全运营相关团队管理经验；2、具备较强的数据分析、风险识别与控制能力，善于挖掘问题，及时跟进业务需求；3、具备出色的逻辑能力，沟通能力和判断力，能够有效推动跨部门沟通协作；4、抗压能力强，思维活跃，能迅速适应互联网行业工作节奏。,民营  |  10000人以上
酒店管理总监,无锡市赛博旅游文创有限公司,1.8-2.5万,重庆-巫山县,大专,5-7年经验,03-06发布,少于50人,无锡市赛博旅游文创有限公司,民营,物业管理/商业中心,,岗位职责：1全面负责酒店的经营管理，领导各部门员工完成酒店的各项计划目标；2围绕公司下达的利润指标和各项工作，编制酒店的预算和决算，严格控制经营成本；3负责酒店团队的建立，提高整个酒店的服务质量和员工素质；4根据市场变化和发展，制定切实可行的市场营销工作策略，并组织实施和有效控制；5全面负责安全管理，抓好食品卫生、治安安全等工作，确保客人和员工的人身、财产安全；6与公司、加盟业主进行日常的沟通协调工作，确保信息畅通、有效；7负责维护好酒店的外围关系，抓好重要客人的接待工作，塑造良好的内、外部形象；8关心员工思想和生活，不断改善员工的工作条件；9完成公司交办的其他工作。任职要求：1大专及以上学历；2有酒店行业5年及以上的全面管理经验，28-43岁，有江浙一带网红酒店或精品民宿酒店经验者优先；3具有良好的职业道德，较强的沟通协调和应变能力，较强管理和团队建设能力；4原则性强，执行力较好；有良好的抗压能力，能出色完成公司下达的各项指标；5认同集团企业文化核心价值观，有很强的服务意识、学习能力和工作责任心；,民营  |  50-150人
储备管理体系审核员(社保),河南讴路企业服务有限公司,4.5-6千,郑州-中原区,本科,3-4年经验,03-06发布,500-1000人,储备干部,民营,检测，认证,,岗位职责：1.及时完成公司公司客户审核前的资料编写工作，指导企业做好审核前的准备，注意事项。2.根据认证决定工作人员的意见修改和完善审核资料等工作。3.积极参加公司安排的现场陪审工作；4.积极参加公司安排的有关培训工作；任职资格：1.本科及以上学历（本科，土木工程、建筑相关专业优先。如已具备审核员资格忽略）；2.4年以上技术或管理岗位工作经验；3.工作适应能力强，时间观念强；4.尊重和维护公司的形象、声誉和利益；5.熟悉计算机的基本操作；6.能适应出差。职业发展规划：入职-孵化-培训-考试=正式审核员入职后利用公司现有平台和资源，进行充分的学习和孵化。公司不定时组织有关专家进行专业性的培训。到时间后公司送你去考试，合格后成为公司的正式审核员。体系类型：ISO9001/ISO14001/ISO45001/GB/T50430级别审核员与实习审核员均可投递。,民营  |  少于50人
债券业务营销管理副总,上海中宁隆道资产管理有限公司,3.5-5.5万,上海-浦东新区,本科,5-7年经验,03-06发布,150-500人,营销,国企,金融/投资/证券,,岗位职责：1、负责业务团队日常管理工作，包括且不限于团队人员的工作安排、绩效考核等；2、负责拟定部门的相关制度考评，包括：激励计划、部门人员优化制度等；3、负责平时营销活动督促工作，定期梳理复盘投行覆盖情况；4、负责项目线索发布和讨论，追踪团队业绩指标完成情况、工作落实情况；5、负责团队人员的定期优化，包括且不限于不合格员工谈话等；6、上级交办的其它工作事项。任职要求：1、本科及以上学历，对债券市场有基础了解者优先；2、7年以上金融行业工作经验，3年以上大型业务团队管理经验，有较为丰富的管理策略；3、较强的人际交往能力和组织协调能力；4、品行端正、工作严谨细致，积极有责任心。,民营  |  500-1000人
财务管理岗（资产管理方向）,安徽保利房地产开发有限公司,1.5-1.6万,合肥-政务区,本科,3-4年经验,03-06发布,50-150人,专业培训,民营,房地产,,岗位职责：1、测算监控资产运营及收益情况，完成各类资产收入、成本、利润等核算，通过各种措施增加资产收益率。2、研究行业及区域竞企盈利模式、产品特点、管理体系等，定期形成研究报告。3、完成拟拓展项目自持物业部分的可研报告，商业部分的前期策划。4、对公司资产进行统筹管理，制定计划，负责各项考核指标下达。任职资格1、本科及以上学历，财务会计类、投资经济类、营销市场类等相关专业优先；2、品牌房企同岗位3年以上工作经验；3、具备较强的沟通协调能力、组织能力及办公软件操作能力；4、有难点项目破局经验优先。,国企  |  150-500人
酒店管理经理人,云南志远物业管理有限公司,6-8千,昆明,大专,3-4年经验,03-06发布,500-1000人,酒店管理,民营,建筑/建材/工程,,工作内容：1、全面负责酒店日常经营和管理。2、对公司酒店进行市场定位和可行性分析。3、全面提升酒店制度化、标准化管理模式。4、确保酒店经营和管理指标的完成。任职要求：1、熟悉酒店管理制度、熟悉酒店管理工作的作流程，及时了解酒店行情。2、具备丰富的管理培训经验，能系统对酒店工作、服务进行完善的培训。3、大专以上学历，具备良好的沟通能力，有管理团队的能力。4、有3年以上酒店管理经理人经验，熟练使用办公软件。5、具备一定的抗压能力。薪资待遇：面议,民营  |  50-150人
项目管理（安保）,上海信安保安服务有限公司,6千-1万,上海-浦东新区,大专,5-7年经验,03-06发布,1000-5000人,五险一金,合资,物业管理/商业中心,,岗位职责:1、负责项目实施全过程控制，包括进度控制、项目成本管控，团队管理等；2、对所在项目进行人员管理、评估、培训及考评等;3、负责与客户沟通协调，及时了解客户需求与意见，确保客户满意度;4、不定期进行项目巡检，对存在问题予以指导。任职资格：1、大专及以上学历，32-45岁之间，有5年以上保安团队管理经验；2、熟悉安防行业，从事过安防工作及视频监控中心经验者优先考虑;3、具备较强的人员团队管理与推进能力，良好的问题分析和解决能力，较好的电子文档编写能力;4、团队合作性强，具备良好的沟通协调能力，5、熟练驾驶，要求有自备车，沪牌优先；注：按项目区域划分，全市范围，总部地址：浦东金桥,民营  |  500-1000人
销售管理主管,鑫山保险代理有限公司浙江分公司,1.5-3万,杭州-余杭区,大专,3-4年经验,03-06发布,150-500人,团队筹建能力,民营,保险,,"职责描述：1.负责团队销售管理。2.负责业务部的人力与绩效管理，完成年度指标。3.协助新入职跨行业人才的日常培训及授课。4.对三个月内的新人进行绩效辅导，对三个月后的新人进行组织运营管理。5.辅导新晋升主管进行团队管理，帮助提升组织管理能力。6.组织有针对性的营销和人力发展培训，提升所有项目人员的销售能力及推动晋升意愿，发展组织。7.推动专案项目的各项荣誉体系。8.维持业务部的正常运作。岗位要求:1.大专及以上学历，28-45岁之间。2.有团队管理或部门管理经验优先。3.有世界500强企业及大型外企工作资历者优先。4.主动积极，有较强领导力及影响力。5.有较强的沟通能力，团队组织、协调和督导能力。6.熟练运用MSOffice,包括Word、Excer、PPT。7.具备职业操守，行为合规。",合资  |  1000-5000人
生产管理（嘉善),上海逸航汽车零部件有限公司,1-1.8万,嘉兴-嘉善县,大专,5-7年经验,03-06发布,50-150人,专业培训,民营,汽车,,1、协助工厂与相关部门的协调沟通，定期召开生产例会，组织召开生产专题会议；2、协助督促车间按精益生产要求，合理安排生产，按质按时按量完成生产任务；3、负责向有关部门反馈产品质量、原材料情况等生产情况并协调沟通处理；4、协助督促生产员工严格按照工艺要求进行产品生产；5、协助车间月度考核及员工管理；6、协助提高生产员工劳动技能，提高劳动生产率；7、负责工厂组织员工技能培训；8、负责车间安全生产及5S工作；9、对公司的技术资料有保密义务；10、严格遵守公司各项管理制度和有关规定；11、完成上级交办的其他工作任务。,民营  |  150-500人
市场管理专员,重庆市北碚区朵金机械有限公司,6-8千·13薪,重庆-北碚区,大专,2年经验,03-06发布,少于50人,制造业,民营,机械/设备/重工,,1、大专及以上学历，年龄25-35岁，2年以上工作经验。2、企业管理、营销、制造业相关专业毕业。3、热爱销售工作，具备较强与客户沟通能力及书面文字表达能力。4、数量掌握office办公软件。5、主要工作地点为重庆北碚区，能接受移动办公及少量出差工作。6、有制造类企业从业经验者优先，有C1机动车驾照优先。,民营  |  50-150人
人事管理岗,贵州梦之灵文化传媒有限公司,5-8千,贵阳-云岩区,大专,1年经验,03-06发布,5000-10000人,贵州梦之灵文化传媒有限公司,"民营  </p><p data-v-0ac984f9="""" class=""int at"">贸易/进出口</p><button data-v-0ac984f9="""" track-type=""searchTrackButtonClick"" event-type=""99"" trace-name=""申请职位-职位下"" class=""p_but""> 申请职位 </button></div></div><div data-v-0ac984f9="""" sensorsname=""JobShortExposure"" sensorsdata=""{&quot;pageCode&quot;:&quot;sou|sou|soulb&quot;,&quot;shortPageCode&quot;:&quot;sou|sou|soulb&quot;,&quot;requestId&quot;:&quot;626ef8eb7e47fab6012a478b1a290034&quot;,&quot;policyType&quot;:&quot;搜索&quot;,&quot;jobRank&quot;:23,&quot;jobId&quot;:&quot;144822361&quot;,&quot;pageNum&quot;:1}"" class=""e sensors_exposure"" style=""overflow: visible;""><div data-v-0ac984f9="""" class=""e_icons ick""></div><a data-v-0ac984f9="""" href=""https://jobs.51job.com/nantong/144822361.html?s=sou_sou_soulb&amp;t=0_0&amp;req=626ef8eb7e47fab6012a478b1a290034"" target=""_blank"" class=""el""><div data-v-0ac984f9="""" class=""t"" style=""display: flex; align-items: center; height: 25px;""><span data-v-0ac984f9="""" title=""食堂管理员/主管"" class=""jname at"">食堂管理员/主管</span><span data-v-0ac984f9="""" class=""time"">03-06发布</span><div data-v-37a58ac8="""" data-v-0ac984f9="""" class=""chat""><div data-v-37a58ac8="""" class=""chat-img""></div><span data-v-37a58ac8="""">立即沟通</span><div data-v-37a58ac8="""" class=""chat-detail""><div data-v-37a58ac8="""" class=""chat-detail-position""><div data-v-37a58ac8="""" class=""arrow""></div><div data-v-37a58ac8="""" class=""detail""><img data-v-37a58ac8="""" src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAFAAAABQCAYAAACOEfKtAAAAAXNSR0IArs4c6QAAAERlWElmTU0AKgAAAAgAAYdpAAQAAAABAAAAGgAAAAAAA6ABAAMAAAABAAEAAKACAAQAAAABAAAAUKADAAQAAAABAAAAUAAAAAAx4ExPAAATOElEQVR4Ac1cCXhT15X+nyTbsmVZNsbGGC8YG2MWAzYOW8zWEoY0hNBOEzJkAgn5aBaylQQnaWY6k6ZpWRoIdKYNbb9AaEM6YUjTpqF8nQzQj2xN2HeCCcTYBrzvsqzlzTlPiyVre096MnO+71r3nXvOuff+79z9Pgu4mfSzw0Nh15YBjjFUDAriGIjIAgQjxSnwL5PYSXEK9CvgOsUvEJOC5gK09mN4tqJJErsJf4RBzXPT1UTYG+bDgW8QUPMIjIkQxejKIAgi2TpJtg5Ag/3QZn6INbnmwapXdIWXU0oG6NVjs2B3LKeK3k0qKXLUopDpIDB3Q6vZiWfKDoEBjiHFDsCtFxPQ0/EABHEtAVcYwzoENy3gEkRhI5JSduDJ0ZbggpGnqA/g9st6NLQ8QkUi4MTsyIumoqYg1JO1jcgc8joeLOhV0TI5u5q07vAdZPHn5HEFcs3qW+tgqv4MhtozSGith8ZqhqhLgEMXD0d8IrqHl6Bz5GR05peTM0VZXAGXqWxP4PmKD+SWL5xclCVymX/1VC5slq1UuCXhMnSnJzZeRvahHTB9+YmbFfLXmpKJpokL0VS+GNYkU0jZsIkC3oMu4Uk8U3o1rGwYgegBXH94CbnGGzTFSAuTlyc5/fSHyNu3GYKtz8OTG3HE6dFYfhduTL8HtsRoxiOhlfrnlXiu4j25eQeSixzAd87E46veDQTcU4EMB+MNPbEXeX/ZHCxZNt+RYED9rOUSmKJGK1vPX1DYglH6KtwzXvnbJGORAfiLk2no6PsT6Vf6Fyg4J+n6RYz57VMQ7NbgQgpTeofmo2bh0+jKmaBQ00f8I6TEL8ZjE1t9uDIelAO46fgIWG37qL9TXOKSN59A0rXzMoqlUIQGl4Zbvov6OQ/CoY1TqOwSF3AacbqFWDO5TokBjRJhbDg2Glb7x5GAl/L1sdiAxxUQRWR+vhslO1ZD31KrqEoeYXYIrhvXUQHJ98D1R2lOJ35Chc1XYB9aay/Szu7HsM/3IKG5RolqRLIOvQGX73wB7YXTItKnlcvX1LPNxHPlPHcMS/IA3HwsFX32Q0o8TxAdyDj6PoYfehPaXtoHGEyiJn31tidogLkzsly5OcdrZ+H7ZW3hDIQHcNvhOLQJ/0ueNyucMXe6ztKNgj+8DOOVI27WTfmtnb8aDRWyp6a+ZRSEQ0gVv4mHK0KOeOH7wDasUwKexmrB6F1rbzp4jEbOh/+J1IvyJuq+6NETOwzXPQyFBnD90cXUbNeEseGTnL/3VSTeuOjDu5kPXJ74rubIisB133gkZD8QHMD1J3Joo3O7kpyT684g7dwBJSphZbUaDcrH5WLFXTOw6u5KFOZmhNXxFtCaO5D10e+8WcriDnEHJCwCq+kCs4kr2l6jv0OCpgdIyPr4rQBc5SytRsC0yUX41txyzKqcguS0dEBLRXXY8ciqHry/9yC2vLEXrR09soynn9onzREjWvqJjIGExXcDZRZ4ENlwZCEc4l8CKQTjaWhdO2nzkqCrjOllowmU0SguzEHG0CG03ynAYrWi19yL6w3NqLvWgua2DuRlZ2L+nHKkZw0HLfiDZYf2lmb87LWd2HvweFAZ74Sa27+Ppknf8mYpi2uE21E1Zd9AJX8AnRuhp8kFiwYKh3o21pygweNZPxF96hC8/qOVKJ04jo4wolmz+pnmjh4fHfoUP3nt97jR1B5AoJ/VNHkRLfkULdv7laWYUE0bsxMGbsz694HmjlVKwWP7CW3XBmRIjwTYj//9UZROLlUfPM6N5nuVs2di945X8J3bZ4Rc2PPeYnREDiVh42vFF0Ce84m0BR8Bafr8N3oTJkzHPGq2sSZDihEvvvAwtm95FqVj8gJm15uhaAEV0IaEDWPkRb4Atmvup7TAJfBSChQVRJsfe9GC6eR5/r2En6AqDAGlZaXY8foPsX3T0zAk6X2sRrzJ4GOFsHFi5OH6Aig6qjwpCiN9Rv/pxf0zVHjrCssB2o2ZOGUyDVYjfDStBkUTCh9dn4cBGPUDuPHoDJo08wF3RNRnyvLRE+L1yM0w+fAG7YH6xrElvgeBfaZh6mTPGDFWLuoH0O7g5hsxmTMLwdvtbtInJ7ujN+V34nivSYSgQR+dqahGXlg5AeTteQFLo8nAQRPdrvxJHhM6ncpTFo9leZHyySXU/Tr7X24d0W37D8iTsWLMiJwAXjHPpeYbdSfRWjLXk5Pd7vDEb0YkfYgJI0flSln3DqFVqZrEWDFmRE4ARbqrogK1lsyGXW+ULPX1RXRGo0Ip+k1YRWf1LGoDyFm4MHMBKKgCIB+GN1bcJdXAZonJTYp+dGTEWmhpyNQ71OmJMlTki4hOzDRYd9hE56Pl8jVDSzZU/CP4yBE0sbZa/eeGobXVTTW3t0u3HDpGTlHXMFtjzAg7DXSaSeSOqvX4Nn0yrk9zjkdXGkKvT9WvVb/FxsZW2ryxo27uSlhSaWNCbWLMCDsNbHSpUUUy6EQUL7gDNkMa/nbuuoqWlZmqrmuCeVgRGqd8W5miEmnCTkeuyLdCVaND05tQlmLFI8f/AX/77BRuGRaHbdvfQ319I+0taJBESyyTKRkpydTMKWO7nQIdQFksVujjdJhSNhZTp4xD4SjnyHn5Sh2+OHpOCj209ZUQHyfZieNpEk1Tujp70Nbeie6eXrJlx/BhQ/Hwyu9g//kWpC64Gz8s7sJPq43oU7GOHrAIOwHrj7xPi+RFHmYUkWy9A3XfcHpddU0Dlq/+CSztrcjPG45fbFqLrEzaGA1BnV09+Pm23djzx/3QJ9DUlNbRZrMF82ZNwYtrH0RaqnOED2aitb0Lz/xgC06c+pJ2nlLwwX9tRIpBj5mfDMWnbdK0LZhqhHzhfR05gUprHCBJ0/+ai/IyodcnoGz0BGRmDgkLHtfAmJyEb86pkADstfRPg2ZXloUFj/XTyLOnThlLXqpD/qh8CTzmW6O8Rcw2glAW7ZPzZW51qMXqu/NSOY/Op1cswFPPb5KdAV945ib85KNLkWI04Ffb/yBblwUvX7mGdS+thinFuZS0EXjnuqiasSAByRpawqm2aG2xatBgcU4tubz3L5oJgyERudnDcPFSrawqXPqqDk8/di/GFo/EiOEZeGDZHaR7VZZuc2s74qgfdYPHSic74tBt932xsozJEhKNGnrhqnkg57mjNsmT9eg85xbXPy9diJ1vf+Dhh4pc+foaxozu3wYrGDkCDTQlkUNv7/4rlt29wEf0y27VZmg+dqUHwo5GYf5MoL/v8pdSxvn1VQOqCrt8lHhEdThE7HjrzyjIH4G0NCPiaTTlbB0OB5qa2uhQqRGXLtdi4vhCH11+mFdZjh+89EvaonJ6ZWYGHUpptTwIo6/PivaObtSTfm19A8aVFPjo15hjCCBhR6Pw4RryQlXXOhfmNKDY4LsK4YqePFON7i4zXYKyQSRANXTmGx8XB31iPA0ARozIzkBiYv+WmDcSvTQaM0BtHV0w91jQRyd6DD6P1DqdDsnUVUwYW0gDl+9o+9iZVPzy6/5W4W0z6jhdwaFRWPoCKGpb3gYONsf7AcgeV0FzvEhJn5iAokLl77k6pk1Y6KRBRPRtb5HW0Evv83ZfL/BKGvTo2ViNwFJNRAJQRIDzyOjq+XHL/w8Af0P9cV1vDPtA4LqGtm0vRAeXv/b5bh34zb9dH+1ZrL9tuZxFh9Ox6pRJrnhkcoQdzTAZQPVGYXdJZn6agU6aWJeZbCgxhLxi51ZR7dfqEHBwUFqBcIFmvep7ICPRTuDxpv7ehgTVgJFr6O/UB3fbYjV59i4FA2iIP0GrkZi5yJ9uDD6A+xoHoQ9mzAg7DVaPp1FY+MIbVzXjh1oSUBvLyWyAwv75RuC5ZADRKFiEGWHnOhMR90dhKaQqN+PfXYvRRDZAzic648Ah5iQ6MXMCKNCX3jEkXgnwrshg0I+rVdsbCV1cF2ZOAKdO4S+7G0JrRJ7K69E912PfrP5ITfe/rw3C1ImxYsyInADOE3jhuityiMJrvnTRGFMvrO7R4qGTqeELoo7ELjgxcwHIRgXxt+rYDmyFNzV/Tf9zIibEd6dPGtFM+5GDQl5Y9edYVXGUmvHJWBbgZfJC2Pu36lXJi9cA7bWx23UeWEjGiLFyUT+AzBCEde6EWPy29tFA0l5PCx8em1WiDrJHh/gmre/2mUrW/c0MwMgXwJFl7xCK1f5a6nCkkZiaGzpuqANiZyOdGJmlTyAydTFbC3hVnrCRMOpn+QJ4j2CPpReScRq2aHeEm3EHbQJF8Mm/s+jUbrubCLxuskfLebKZkzAIALL3MUZe5AsgJ0wte5PqedpLRrUod1d2DS2z+KMZ3s/vJg/qbiGmgsqLVP4eOiOhz2j5Oq/0QjRxyNcrsBFJjRgTxmYA+QPIw7MgPDZATrXHXgd5oECBPZF/2Ru7m51AWujLI0egvozAttFtr166bcXNlj2XPU+y4/TAwkSVB6eBNWZMXFMX7ySqQQD6n1/VYP73RlHKpACpilg6arWFegtmp9lwb44Dc0zt0PJpEF27lQCQfumZyUFexJ5lJSClX+rfON5HgUHj/lOSZ122wS/BGR9ujKf/4pGBFK0DNjor6aTdGPZ4lWgn/XePLYFs0esLQkmaZ2F2LKBS+N4eDyIejP3aBCuyLTfoTkySFHRaqrjoem+MG9dy4C8bc/M4wnEmD8/56P2cobFiVZGOroLQ52O9Fhy3mvDE5yp4Jf+3uETCIgjR6wtCT5ZTW8EyKnVUc47l88qQnZ0tZaKhHUINNz3uA7n/Elxx6Zf7M3qW0r3ibnnvNEmfZUnOZUtLp7M60So5ZmZmBpZWFAWpmBK2VPdlcGIRUDE4gCz+XMUBess/Cqgpg1lgioeRTtOmTp2K4uJimHT0LqRmR5XnpufuBxkcN9/Nk/o38lTp2SvdLcegS82XmzEHHfRiL3JyciivMcgwJmJoIslEQ1x3xiAEhQaQFavKXyYQ94awETRp6nCDlCZQf1VQUICS8mn0AW2e08skj3J5Gh2S00m5i89e5Yqzd7GXMYh09ivx3WnMk9JYhuJDcpFTPAnDhvX3ODOynfkHLWCoBK4z1z0MhQdQIDdOlf7v39/D2PJLvjXHd2tJl0D7ggXTgeK5gImatQcMAkFqxgSED2/As9tT3TL8a6TLZaNnk90Z0Cb4rrXn5EV4a0UQPpPqzHUPQ+7uOYwYJf/HuXR0dX9EsZLwwk6JUyvHYUKGb6W8dR3mNmgaL9Hyjk9WFY6ZyZlAZhFgCH7n8FSjGRPfOOudpZz4ebrmUInHx9LcKjzJB5BtSZ++2/5Kk+Cx4Uznp8TjyqOl4cSkdButZcXmK4hrq3HO94JpcVNNzYGYXgDB9TlFMFE3v2jbaVxqozmkHBKEc9RXLMBzk2rliLNM+CbsbYkNx+kraaj7zJsdKF411XkzK1DaQJ6OvquLo/8TKJbMR19eBexG8i5pjuKSTDTBkV1K6QuAERNlg8faa25hWzKI68R1UwAeW1UGIGusGU+Xj+n/qQBB76vNSHfg24XJ0p1lVpFLAo2q8abh0I6chu68mdi27zCuGcnZi2ZDkz6SBlvqKxWQlS4g3ZmXgDVjBZjiQnYRH0h14ropJGVN2Nu4SJ8BbTjyIrH+jbovalvAqCQH1pal4Hu3FkvfqfHtKf5iKY5uYPF1NLnU1d6C+x94CDU1NUhNTcWO32xDbgH1dzLJZrNJ+XKeCQnOY9UuuqC+/Yuv8Ma5bhxvc/mNAN4YeIn+F8Ir1KrCDhiBso8cQJe1rM1fzF2cr9u1bMKw4bOLsqgc/iYt9NUS36Dna2jx8bSZEIJ6e7qx9N5/Qm1dnUfKYDDgnd/vQlZ2joc3MCLS5gTnwS+M43q9PuhLu3ijFbtP1l/bfcm87PijtxwcaEvJs39tlWi7ZKnAQym6nsKDFALa5MqZzXQ3kJoVA8mg8P1Ab2KPXbFiBc6e9R8509PT8e677yJ5wGe0DBbbdH+bx97u9jpv215xbsvbKVTRy5Y10nrp+kV9a+CXLI9BBWmi8BBJV1I4EUiLmxNXngOD2dTUhJaWFlq30gjMW1tEW7duDQgepzU3N6OqqkqSZXlupqzb1dVF35hYPC8lDHhctkouqxrgcbkCegsnREpUOe7s7qPwAoWgc0auPHskV549kQFZvJj+05QLzED5s9yePXvoinCalEwgSM2Uu4Uwfex5UvgphbdIh/s91UgVD/QuDReQwk7ijadwD4XD3unuOPdRDERGRgZ9uWSSBovbbrvNnRzwl5s3y3MzZX3uBhITE0OBx3lzGcZzmdQGjwupugey0YFEXjWBeMspsGc6t2YGCtFzT08PNm7ciAMHDqCzs9MjwR5233334fHHH/fwQkTolAlvUWDAYrKz7p236h7obdwd54pQqKLnXAq3UvhXCgco9FLwEO8ZLlmyRGraHiZFeJAoLQ26qmEbbIttsu1czmswwKO8BscDOaNARJ6pb++xjneI9jHU9Y3p7u4a8y/Pr81qbWkxkryRQEhmPZLrSkpK7nxl44bOIWnp10n2AnV/FzSC9oIpKe4Myfm8iEB5xYr3fwhNyOCVZit/AAAAAElFTkSuQmCC"" alt="""" class=""detail-img""><div data-v-37a58ac8="""" class=""detail-info""><p data-v-37a58ac8="""" class=""detail-info-name""></p><p data-v-37a58ac8="""" class=""detail-info-job""><span data-v-37a58ac8="""" class=""detail-info-job-posi""></span><!----></p><div data-v-37a58ac8="""" class=""detail-info-tag""><!----></div></div><div data-v-37a58ac8="""" class=""detail-download""><div data-v-37a58ac8="""" class=""detail-download-qrcode""><img data-v-37a58ac8="""" src=""https://img01.51jobcdn.com/we/images/logo.png"" alt="""" class=""logo""></div><p data-v-37a58ac8="""" class=""detail-download-tip"">来App与HR沟通！</p></div></div></div></div></div></div><p data-v-0ac984f9="""" class=""info""><span data-v-0ac984f9="""" class=""sal"">5-8.5千</span><span data-v-0ac984f9="""" class=""d at""><span data-v-0ac984f9="""">南通·通州区</span><span data-v-0ac984f9="""">|</span><span data-v-0ac984f9="""">无需经验</span><span data-v-0ac984f9="""">|</span><span data-v-0ac984f9="""">中技/中专</span></span></p><p data-v-0ac984f9="""" class=""tags""><span data-v-0ac984f9="""" title=""厨房""><i data-v-0ac984f9="""">厨房</i></span><span data-v-0ac984f9="""" title=""处理突发事件""><i data-v-0ac984f9="""">处理突发事件</i></span><span data-v-0ac984f9="""" title=""五险一金""><i data-v-0ac984f9="""">五险一金</i></span><span data-v-0ac984f9="""" title=""餐饮补贴""><i data-v-0ac984f9="""">餐饮补贴</i></span><span data-v-0ac984f9="""" title=""免费住宿""><i data-v-0ac984f9="""">免费住宿</i></span><span data-v-0ac984f9="""" title=""加班补贴""><i data-v-0ac984f9="""">加班补贴</i></span><span data-v-0ac984f9="""" title=""免费班车""><i data-v-0ac984f9="""">免费班车</i></span><span data-v-0ac984f9="""" title=""股票期权""><i data-v-0ac984f9="""">股票期权</i></span></p></a><div data-v-0ac984f9="""" class=""er""><a data-v-0ac984f9="""" href=""https://jobs.51job.com/all/coUTAAYVEzAzkFaFY8VDU.html"" target=""_blank"" title=""康辉南通新材料科技有限公司"" class=""cname at"">康辉南通新材料科技有限公司</a><p data-v-0ac984f9="""" class=""dc at"">民营",金融/投资/证券,,业务需要，招募人事经理5名职位职责：1.岗位、职位说明、人力资源配置规划、招聘等人力资源配置系统性工作;3.梯队建设，公司管理团队评价、绩效考核、培训等组织建设及发展工作;4.培训体系建立工作;5.绩效考核、薪酬体系建立培训工作;6.拟订、修正和完善人力资源各项作业流程7.负责下属工作管理，对下属人员的工作目标、工作计划、工作结果、等进行检查评估与考核;招募条件：25-45周岁（以身份证为准），大专以上学历，有人事招聘、培训、管理经验值优先工资待遇：底薪+提成，5000-8000元/月上班时间：周一到周五，双休，节假日休,民营  |  少于50人
