职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值,行业类型,平均薪酬,工资级别
金融客户经理—徐州分公司,航天信息江苏有限公司,4-4.5千,徐州,2,1,"五险一金
补充医疗保险
通讯补贴
餐饮补贴",计算机软件,,国企  |  1000-5000人,二线,,4000-4500,4000,4500,金融,4250,五级
五险一金无责任底薪-综合金融客户经理,广发银行股份有限公司信用卡中心,1-1.5万,东莞·南城区,2,0,信用卡销售,银行,,国企  |  10000人以上,新一线,,10000-15000,10000,15000,金融,12500,二级
平安银行金融专员,中国平安人寿保险股份有限公司湖南分公司,9千-1.8万,长沙·雨花区,2,3,"理财
信用卡
信贷
保险
基金
个贷
信托
补充医疗保险
补充公积金
员工旅游
年终奖金
晋升通畅
免费培训",保险,,民营  |  10000人以上,新一线,,9000-18000,9000,18000,金融,13500,二级
金融创新实验中心_产品经理,西南证券股份有限公司,8千-1万·24薪,重庆·江北区,4,1,"带薪年假
绩效奖金
交通补助
通讯津贴
定期体检
五险一金
上市公司
年终奖金
交通补贴
通讯补贴",金融/投资/证券,,民营  ,新一线,24,8000-10000,8000,10000,金融,9000,三级
4k+ 金融顾问 朝九晚六,四川创优生涯人才服务有限公司,8千-1.2万,成都·青羊区,1,0,"专业培训
弹性工作
五险一金
补充医疗保险
补充公积金
通讯补贴
绩效奖金
年终奖金
销售
无责底薪
带薪培训
五险一金
朝九晚六
高薪
贷款
电销
金融
营销",专业服务(咨询、人力资源、财会),,民营  ,新一线,,8000-12000,8000,12000,金融,10000,三级
金融实习生（3500+带薪培训）,广州市晔桦按揭服务有限公司,8千-1万,广州·天河区,1,0,"金融
实习生
应届生
贷款
融资
银行
市中心CBD",金融/投资/证券,,民营  |  50-150人,一线,,8000-10000,8000,10000,金融,9000,三级
综合金融客户经理,广发银行股份有限公司信用卡中心,1-1.5万,宜昌·伍家岗区,2,1,"销售
销售代表
电话销售
业务员
保险
信用卡
银行",银行,,国企  |  10000人以上,三线,,10000-15000,10000,15000,金融,12500,二级
高新综合金融专员,厦门云汇泽网络科技有限公司,8千-1.2万,喀什地区,1,1,"销售代表
销售
渠道销售
客户代表
直销销售
电话销售
业务员
金融销售专员
销售顾问
区域销售
做五休二
五险一金
全勤奖
带薪年假
节日福利",互联网/电子商务,,民营  |  少于50人,五线,,8000-12000,8000,12000,金融,10000,三级
智能会计与金融实验中心实验教师,青岛城市学院,5-8千,青岛,4,3,"大学教师
会计实验教师
五险一金
免费班车
专业培训
餐饮补贴
绩效奖金
带薪年假",教育/培训/院校,,非营利组织  |  1000-5000人,新一线,,5000-8000,5000,8000,金融,6500,四级
中国人保金融顾问,中国人民人寿保险股份有限公司昆明市五华支公司,8千-1.5万,昆明·五华区,2,0,"管理
客户服务
理财产品
保险方案
发展规划
补充医疗保险
员工旅游
绩效奖金
年终奖金
弹性工作",保险,,民营  |  50-150人,二线,,8000-15000,8000,15000,金融,11500,三级
金融科技岗,东莞证券股份有限公司,1.2-1.8万,东莞·莞城区,3,0,"数据库
python
linux
sql
windows
系统运维
shell
docker
专业培训
定期体检
六险二金
周末双休",金融/投资/证券,,国企  |  1000-5000人,新一线,,12000-18000,12000,18000,金融,15000,二级
金融客户经理,中国人寿保险股份有限公司杭州市分公司,2-2.5万,杭州·上城区,2,1,"金融
客户经理
周末双休
弹性工作
带薪年假
绩效奖金
节日福利
专业培训",计算机软件,,国企  |  500-1000人,新一线,,20000-25000,20000,25000,金融,22500,二级
无经验 想高薪的金融规划师,北大方正人寿保险有限公司,1.5-3万·14薪,昆山,1,1,"互联网保险
健康险
寿险
财产险
五险一金
员工旅游
专业培训
弹性工作
绩效奖金
年终奖金
假日带薪休假
节日礼品
晋升快
年轻化团队",保险,,合资  |  5000-10000人,新一线,14,15000-30000,15000,30000,金融,22500,二级
金融回收员-五险一金-年终奖,安徽新醅信息科技有限公司,8千-1.5万,合肥,1,0,"风控专员
金融纠纷
催收专员
提醒专员
专业培训
补充公积金
年终奖金
商业保险
定期体检
绩效奖金
餐饮补贴
五险一金",计算机软件,,民营  ,新一线,,8000-15000,8000,15000,金融,11500,三级
金融销售主管,武汉市惠诚致诚商务服务有限公司,2-4万,武汉·武昌区,2,3,"通讯补贴
弹性工作
交通补贴
年终奖金
绩效奖金
员工旅游
出国机会
专业培训
周末双休
融资
抵押
征信
电话销售
销售代表
销售
业务员
贷款销售
销售主管",金融/投资/证券,,民营  |  50-150人,新一线,,20000-40000,20000,40000,金融,30000,一级
金融销售,河北云农电子商务有限公司,1-2万,石家庄·桥西区,2,2,"理财
保险
证券
五险一金
带薪年假
全勤奖
绩效奖金
节日福利
专业培训",互联网/电子商务,,合资  |  50-150人,二线,,10000-20000,10000,20000,金融,15000,二级
项目经理-海外金融项目,恩士迅信息科技（中国）有限责任公司,2.5-3.5万·13薪,上海·杨浦区,3,5,"项目管理
解决方案
项目交付
五险一金
补充医疗保险
专业培训
绩效奖金
弹性工作
定期体检",计算机软件,,合资  |  10000人以上,一线,13,25000-35000,25000,35000,金融,30000,一级
万科物业租售管家（金融港）,武汉市万科物业服务有限公司,1-1.5万,武汉·江夏区,2,2,"五险一金
绩效奖金
节日福利
专业培训
加班补贴
包吃
带薪年假
物业租售",物业管理/商业中心,,民营  |  1000-5000人,新一线,,10000-15000,10000,15000,金融,12500,二级
底薪8k-10k金融顾问,南京力恒彬助信息科技有限公司,2.5-5万,南京·秦淮区,2,1,"金融
员工旅游
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
月度奖金
亲情补贴
五险
带薪年假",金融/投资/证券,,民营  |  50-150人,新一线,,25000-50000,25000,50000,金融,37500,一级
综合金融经理人,中国人寿保险股份有限公司郑州市分公司,0.8-1万,郑州·管城回族区,2,0,"补充医疗保险
员工旅游
专业培训
绩效奖金
弹性工作",金融/投资/证券,,国企  |  10000人以上,新一线,,08000-10000,8000,10000,金融,9000,三级
大客户经理（金融行业）,武汉市德发信息技术有限公司,4.5-6千,武汉,2,2,"员工旅游
餐饮补贴
交通补贴
通讯补贴
绩效奖金
年终奖金
社会保险
节日福利
做五休二
带薪年假
金融行业经验
系统集成
大客户
客户经理
销售代表
销售
金融",计算机服务(系统、数据服务、维修),,民营  |  150-500人,新一线,,4500-6000,4500,6000,金融,5250,四级
综合金融客户经理（深圳）,广发银行股份有限公司信用卡中心,7千-1.2万,深圳·龙岗区,2,0,"***
销售及推广
金融销售
周末双休
带薪年假
节日福利
专业培训
高温补贴
营销竞赛奖
绩效奖金
五险一金
餐饮补贴
年终奖金",银行,,国企  |  10000人以上,一线,,7000-12000,7000,12000,金融,9500,三级
互联网金融产品经理/8000+软件园,招商信诺人寿保险有限公司,8千-1.6万·13薪,武汉·洪山区,2,0,"电话销售
销售
销售代表
渠道销售
直销销售
业务员
客户代表
客服
客服专员
网络销售
六险一金
带薪年假
专业培训
免费学历提升
高温补贴
节日福利
补充医疗保险
子女保险
年终奖金
员工旅游",金融/投资/证券,,合资  |  5000-10000人,新一线,13,8000-16000,8000,16000,金融,12000,三级
江门双碳实验室博士后招聘：绿色金融政策方向,江门双碳实验室,4-5万,江门·新会区,5,0,"五险一金
加班补助
绩效奖金
周末双休",学术/科研,,事业单位  |  50-150人,三线,,40000-50000,40000,50000,金融,45000,一级
高薪金融信贷经理,无锡鸿诚嘉运企业管理有限公司,9千-1.8万·13薪,无锡·梁溪区,1,1,"五险一金
员工旅游
餐饮补贴
补充公积金
出国机会
专业培训
股票期权
弹性工作
绩效奖金
年终奖金
电脑
金融
销售",专业服务(咨询、人力资源、财会),,民营  |  150-500人,二线,13,9000-18000,9000,18000,金融,13500,二级
月薪1w+金融服务经理+国企待遇,苏州景城科技有限公司,8千-1.5万,苏州·工业园区,1,0,"金融助贷
互联网金融
企业服务
分期业务经理
金融从业经验
客户资源
定期体检
弹性工作
出国机会
专业培训
员工旅游
五险一金
补充医疗保险
通讯补贴
年终奖金
绩效奖金",金融/投资/证券,,民营  |  500-1000人,新一线,,8000-15000,8000,15000,金融,11500,三级
（金融央企）财险安徽-合肥中支-销售支持岗（内勤）,太平财产保险有限公司合肥中心支公司,4-8千,合肥,3,1,"销售推动
销售管理
补充公积金
绩效奖金
年终奖金
定期体检
补充医疗保险
六险二金
生日福利",保险,,国企  |  150-500人,新一线,,4000-8000,4000,8000,金融,6000,四级
江门双碳实验室科研人才招聘：绿色金融政策方向,江门双碳实验室,1-2万,江门·新会区,4,0,"绿色金融政策
碳市场
五险一金
加班补助
绩效奖金
周末双休",学术/科研,,事业单位  |  50-150人,三线,,10000-20000,10000,20000,金融,15000,二级
金融行业-猎头顾问助理（Fin-Assistant-SH）,上海好伯人力资源咨询有限公司,7-8千,上海,3,0,"五险一金
员工旅游
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
餐饮补贴",专业服务(咨询、人力资源、财会),,民营  |  50-150人,一线,,7000-8000,7000,8000,金融,7500,四级
综合金融助理,中国人寿保险股份有限公司昆明市西山区支公司大观营业部,5-8千·15薪,昆明·五华区,2,1,"保险理赔
咨询服务
维护客户关系
二次开发
绩效奖金
年终奖金
补充医疗保险
员工旅游
专业培训
出国机会
弹性工作",保险,,民营  ,二线,15,5000-8000,5000,8000,金融,6500,四级
汽车金融客服专员,陕西德瑞行汽车贸易有限公司,3.5-7千,咸阳·秦都区,2,1,"绩效奖金
节日福利
专业培训
餐饮补贴
弹性工作
客服
电商
车抵贷
续保
电销
销售
网销
保险",汽车,,民营  |  50-150人,三线,,3500-7000,3500,7000,金融,5250,四级
金融产品推广文案策划,上海点掌文化科技股份有限公司,1.3-2万,上海·普陀区,3,3,"文案
策划营销
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
股票期权
带薪年假",金融/投资/证券,,民营  |  500-1000人,一线,,13000-20000,13000,20000,金融,16500,二级
金融投资行业-猎头顾问助理（Fin-I-Assistant-SH）,上海好伯人力资源咨询有限公司,7-8千,上海,3,0,"五险一金
员工旅游
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
餐饮补贴",专业服务(咨询、人力资源、财会),,民营  |  50-150人,一线,,7000-8000,7000,8000,金融,7500,四级
金融行业实施顾问,天津鑫海宇宏科技发展有限公司,7-9千,天津·河西区,3,2,"实施
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金",计算机软件,,民营  |  少于50人,新一线,,7000-9000,7000,9000,金融,8000,四级
金融峰会销售顾问,上海翱蒲会展有限公司,9千-1.6万,上海·浦东新区,2,1,"电话销售
销售
客户代表
销售代表
渠道销售
客户经理
直销销售
五险一金
员工旅游
年终奖金
弹性工作
定期体检
做五休二
带薪年假
专业培训
节日福利
包住宿",公关/市场推广/会展,,民营  |  50-150人,一线,,9000-16000,9000,16000,金融,12500,二级
互联网金融客服+五险+月入过万,苏州臻展信息科技有限公司,7千-1.4万,苏州·高新区,1,1,"员工旅游
通讯补贴
专业培训
绩效奖金
五险
客户资源
审核客户资料",金融/投资/证券,,民营  |  50-150人,新一线,,7000-14000,7000,14000,金融,10500,三级
保底4k 金融顾问 朝九晚六,四川创优生涯人才服务有限公司,8千-1.5万,成都·青羊区,1,0,"互联网
销售
金融
银行
贷款
五险一金
无责底薪
新人保护
市中心
地铁口
五险一金
补充医疗保险
补充公积金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
弹性工作",专业服务(咨询、人力资源、财会),,民营  ,新一线,,8000-15000,8000,15000,金融,11500,三级
（C端金融）产品经理,深圳炬亚科技有限公司,1-1.5万·13薪,深圳·福田区,3,3,"产品经理
五险一金
员工旅游
年终奖金
定期体检
专业培训
周末双休
节日福利
团建活动
丰厚节日礼金
生日大红包",计算机软件,,民营  |  150-500人,一线,13,10000-15000,10000,15000,金融,12500,二级
金融实习生  近地铁 高提成,广州百汇按揭服务有限公司,8千-1.3万,广州·天河区,1,0,"银行
金融
互联网
绩效奖金
通讯补贴
员工旅游
交通补贴
专业培训
五险一金",金融/投资/证券,,民营  |  50-150人,一线,,8000-13000,8000,13000,金融,10500,三级
JAVA项目经理（支付/场景金融方向）,广州穗通金融服务有限公司,1.5-2万·13薪,广州·天河区,3,4,"开发
需求分析
项目管理
五险一金
带薪年假
补充医疗保险
年终奖金
定期体检",计算机软件,,国企  |  150-500人,一线,13,15000-20000,15000,20000,金融,17500,二级
综合金融客户经理,中国平安人寿保险股份有限公司云南分公司昆明直属第二支公司,9千-1.3万,昆明·盘龙区,2,1,,保险,,民营  ,二线,,9000-13000,9000,13000,金融,11000,三级
金融保单售后专员,中国人寿保险股份有限公司广东省分公司,8千-1万,广州·天河区,2,1,"电话客服
无销售性质
周末双休
带薪年假
绩效奖金
全勤奖
节日福利
专业培训
续保
寿险
售后",保险,,国企  ,一线,,8000-10000,8000,10000,金融,9000,三级
金融行业交付架构师-火山引擎,字节跳动,5-8万,深圳,3,4,"下午茶
健身瑜伽
六险一金
股票期权
团队氛围好
晋升空间大
带薪休假
扁平管理
用户过亿
大牛带队",互联网/电子商务,,民营  |  10000人以上,一线,,50000-80000,50000,80000,金融,65000,一级
金融港客服-稳定-双休,湖北金炉节能股份有限公司,4-7千,武汉·东湖新技术产业开发区,2,1,"补充医疗保险
员工旅游
交通补贴
通讯补贴
专业培训
年终奖金
餐饮补贴
定期体检
绩效奖金
呼叫中心
售后
接听
文职
稳定
社保公积金
售前
客户咨询
客情维护",新能源,,合资  ,新一线,,4000-7000,4000,7000,金融,5500,四级
国际金融线销售经理,广东天波信息技术股份有限公司,2-4万,佛山,3,3,"国际市场
海外业务
金融产品
PSP平台商
银行客户
五险一金
专业培训
员工旅游
提供住宿
通讯补贴
节日福利
餐饮补贴",电子技术/半导体/集成电路,,民营  |  500-1000人,新一线,,20000-40000,20000,40000,金融,30000,一级
金融贷款销售经理,恒昌国际投资担保（北京）有限公司,2-4万,北京·朝阳区,2,0,"做五休二
周末双休
带薪年假
五险
绩效奖金
全勤奖
节日福利",金融/投资/证券,,民营  |  50-150人,一线,,20000-40000,20000,40000,金融,30000,一级
日系客户项目经理（金融）,NTT通信系统（中国）有限公司,1.5-3万,上海·黄浦区,2,3,"pmp证书
ccnp
技术方案
网络技术
日语
需求分析
五险一金
补充医疗保险
员工旅游
通讯补贴
年终奖金
绩效奖金
定期体检
专业培训",通信/电信/网络设备,,外资（非欧美）  |  150-500人,一线,,15000-30000,15000,30000,金融,22500,二级
分期专员/金融电销/月薪8000+,四川争一商务服务有限公司,8千-1.6万,成都·龙泉驿区,2,0,"五险一金
餐饮补贴
员工旅游
专业培训
周末双休
法定假
绩效奖金
银行后台坐席
呼叫中心
电话销售
客服",专业服务(咨询、人力资源、财会),,民营  ,新一线,,8000-16000,8000,16000,金融,12000,三级
金融代表+双休+晋升,云南宏洲商贸有限责任公司,8千-1.6万,昆明·五华区,2,4,"金融
销售
大客户代表
甲级写字楼
银行
渠道
客户经理
晋升机制
高提成
周末双休
绩效奖金
通讯补贴
带薪年假
弹性工作
五险一金
专业培训
员工旅游
年终奖金
周末双休
节假日休息",金融/投资/证券,,民营  |  50-150人,二线,,8000-16000,8000,16000,金融,12000,三级
金融服务专员-汇款调查部,汇丰环球客户服务(广东)有限公司,5-6.5千,广州·天河区,2,1,"金融
汇款
客服
五险一金
带薪年假
绩效奖金
补充医疗保险
定期体检
专业培训
加班补助",金融/投资/证券,,外资（欧美）  |  10000人以上,一线,,5000-6500,5000,6500,金融,5750,四级
金融销售代表,宜臻（深圳）信息咨询服务有限公司,1.5-2万,深圳·罗湖区,1,0,"销售经理
电话销售
行销专员
行销经理
渠道经理
小微信贷
做五休二
周末双休
弹性工作
带薪年假
五险一金
绩效奖金",金融/投资/证券,,民营  |  150-500人,一线,,15000-20000,15000,20000,金融,17500,二级
金融科技委员会-应用开发二部-数据开发岗G01040,中信期货有限公司,1.5-3万,上海,3,4,"五险一金
绩效奖金
餐补
通讯补贴
带薪年假
补充医疗保险
定期体检
节日福利",金融/投资/证券,,国企  |  1000-5000人,一线,,15000-30000,15000,30000,金融,22500,二级
#NAME?,泰保商贸（武汉）有限公司,5-6千,武汉,2,0,"五险一金
绩效奖金
年终奖金
弹性工作
月休8天
客服
在线客服
淘宝客服
月休8天",批发/零售,,民营  |  150-500人,新一线,,5000-6000,5000,6000,金融,5500,四级
资深/高级客户经理（负责公务类、金融保险类客户）,中青旅(上海)国际会议展览有限公司,1.5-3万,上海,3,4,"会展
会务
五险一金
补充公积金
补充医疗保险
年终奖金
工会福利
出差补贴",公关/市场推广/会展,,国企  |  150-500人,一线,,15000-30000,15000,30000,金融,22500,二级
金融产品销售经理（时间自由+客户资源好）,中国平安人寿保险股份有限公司四川分公司,1.2-1.8万,成都·龙泉驿区,2,1,"补充医疗保险
员工旅游
专业培训
出国机会
绩效奖金
年终奖金
弹性工作",保险,,合资  ,新一线,,12000-18000,12000,18000,金融,15000,二级
无责底薪4000+金融客户经理,小当家（广州）信息科技有限责任公司,1-1.5万,广州·天河区,1,1,"金融客户经理
信贷管理
贷款
销售
大客户经理
渠道销售
金融电话销售
绩效奖金",计算机软件,,民营  |  少于50人,一线,,10000-15000,10000,15000,金融,12500,二级
储备干部/财务规划师（金融）,中国人寿保险股份有限公司广州市分公司,8千-1.5万,广州·天河区,1,1,,保险,,民营  ,一线,,8000-15000,8000,15000,金融,11500,三级
销售经理（金融行业）,云宏信息科技股份有限公司,1-2万,北京·东城区,3,3,"云计算
大客户销售
it软件
五险一金
绩效奖金
通讯补贴
弹性工作",计算机软件,,民营  |  150-500人,一线,,10000-20000,10000,20000,金融,15000,二级
金融产品销售经理（时间自由+,中国平安人寿保险股份有限公司四川分公司,1.4-1.6万·13薪,成都·龙泉驿区,2,1,,保险,,合资  ,新一线,13,14000-16000,14000,16000,金融,15000,二级
百分之50通提+金融贷款专员+双休,成都金匣子金服企业服务有限公司,8千-1.6万,成都·成华区,1,0,"员工旅游
专业培训
年终奖金
绩效奖金
五险一金
周末双休
全勤奖
节日福利
带薪年假
贷款顾问
销售专员
客户代表",金融/投资/证券,,民营  ,新一线,,8000-16000,8000,16000,金融,12000,三级
行业销售经理（政府/金融/交通/军工/制造）,上海恒驰信息系统有限公司,2-3万,上海·静安区,2,4,"政府
tob
销售
行业
五险一金
定期体检
专业培训
通讯补贴
餐饮补贴
交通补贴
绩效奖金",计算机服务(系统、数据服务、维修),,民营  |  150-500人,一线,,20000-30000,20000,30000,金融,25000,二级
销售经理（金融行业）,云宏信息科技股份有限公司,1-2万,福州·台江区,3,3,"云计算
大客户销售
it软件
五险一金
绩效奖金
通讯补贴
弹性工作",计算机软件,,民营  |  150-500人,二线,,10000-20000,10000,20000,金融,15000,二级
Java中级开发工程师（金融行业）,上海金指软件技术有限公司,1.2-1.8万,上海·浦东新区,2,3,"Java
SSM
SSH
分布式
Redis
MQ
五险一金
餐饮补贴
定期体检
专业培训
免费班车
员工旅游
交通补贴
年终奖金
股票期权
绩效奖金",互联网/电子商务,,民营  |  50-150人,一线,,12000-18000,12000,18000,金融,15000,二级
互联网金融电话客服+双休+高薪,北大方正人寿保险有限公司,8千-1.2万·13薪,上海·浦东新区,2,0,"五险一金
员工旅游
专业培训
绩效奖金
年终奖金
定期体检
出国机会
双休
弹性工作
晋升大
营销
维护客户关系
电话销售
销售模式
经营客户
介绍公司产品
指引下单",保险,,合资  |  5000-10000人,一线,13,8000-12000,8000,12000,金融,10000,三级
金融贷款销售经理,恒昌国际投资担保（北京）有限公司,2-4万,北京·朝阳区,1,1,"做五休二
周末双休
带薪年假
五险
绩效奖金
全勤奖
节日福利",金融/投资/证券,,民营  |  50-150人,一线,,20000-40000,20000,40000,金融,30000,一级
销售经理（金融行业）,云宏信息科技股份有限公司,1-2万,上海·普陀区,3,3,"云计算
大客户销售
it软件
五险一金
绩效奖金
通讯补贴
弹性工作",计算机软件,,民营  |  150-500人,一线,,10000-20000,10000,20000,金融,15000,二级
金融理财规划师,中国平安人寿保险股份有限公司四川分公司,1-2万,成都·武侯区,2,1,,保险,,民营  ,新一线,,10000-20000,10000,20000,金融,15000,二级
综合金融储备主管,中国人寿保险股份有限公司郑州市分公司,6千-1.2万,郑州·管城回族区,2,1,"弹性工作
绩效奖金
专业培训
双休
年终奖
外出旅游
定期体检
补充医疗保险
补充医疗保险
员工旅游
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
弹性工作
定期体检
出国机会",保险,,国企  |  500-1000人,新一线,,6000-12000,6000,12000,金融,9000,三级
金融销售代表-13薪-福利好,招商信诺人寿保险有限公司,1.1-2.2万,广州·天河区,2,0,"带薪年假
五险一金
绩效奖金
全勤奖
节日福利
专业培训
高温补贴
六险一金
定期体检",保险,,合资  |  1000-5000人,一线,,11000-22000,11000,22000,金融,16500,二级
高级金融客服经理,中美联泰大都会人寿保险有限公司,6千-1万,广州·天河区,2,1,"五险一金
员工旅游
补充公积金
定期体检
绩效奖金
专业培训
出国机会
事业管理
金融
银行
无责底薪
应届生
销售精英",保险,,外资（欧美）  ,一线,,6000-10000,6000,10000,金融,8000,四级
金融电销专员,南京雷易诺信息科技有限公司,5-8千·13薪,南京·建邺区,2,3,"五险一金
员工旅游
餐饮补贴
通讯补贴
年终奖金
绩效奖金
专业培训
补充公积金
交通补贴
定期体检
金融
信贷
抵押贷款
房押
电销
互联网
信用卡
销售
信贷专员
银行",金融/投资/证券,,民营  |  50-150人,新一线,13,5000-8000,5000,8000,金融,6500,四级
综合金融客户经理（包吃住）,广发银行股份有限公司信用卡中心,1-1.3万,佛山·南海区,2,0,"销售
金融
销售代表
客户经理
直销销售
带薪年假
五险一金
周末双休
高温补贴
节日福利
补充医疗保险
专业培训
年终奖金",银行,,国企  |  10000人以上,新一线,,10000-13000,10000,13000,金融,11500,三级
金融培训策划专员,北京当代金融培训有限公司,6千-1.2万·14薪,广州·天河区,3,3,"培训教育
产品经理
运营专员
五险一金
补充医疗保险
补充公积金
餐饮补贴
通讯补贴
绩效奖金",教育/培训/院校,,民营  |  150-500人,一线,14,6000-12000,6000,12000,金融,9000,三级
营销讲师（金融行业经验优先）,深圳前海移联科技有限公司,1-1.5万,深圳·南山区,2,3,"ppt
培训
主持
培训课程
销售
培训管理
演讲
金融行业
现代培训工具
培训管理体系
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
生日会
下午茶
团建活动
周末双休",互联网/电子商务,,民营  |  150-500人,一线,,10000-15000,10000,15000,金融,12500,二级
金融行业BD,亚信科技OBC,1.6-2.5万·13薪,北京·海淀区,3,4,"弹性工作
五险一金
定期体检
年终奖金
通讯补贴
销售
市场开拓
客户拓展",计算机软件,,民营  |  10000人以上,一线,13,16000-25000,16000,25000,金融,20500,二级
运营中心-证券部-金融科技岗（技术经理方向）G00741,中信期货有限公司,1.5-2.5万,深圳,3,4,"java
数据库
spring
五险一金
绩效奖金
餐补
通讯补贴
带薪年假
补充医疗保险
定期体检
节日福利",金融/投资/证券,,国企  |  1000-5000人,一线,,15000-25000,15000,25000,金融,20000,二级
短视频金融编导,精融狮（广州）传媒科技有限公司,1-1.5万,广州·黄埔区,2,2,"金融
抖音
编导
抖音短视频
财经金融
做五休二
弹性工作
带薪年假
绩效奖金
全勤奖
节日福利",影视/媒体/艺术/文化传播,,民营  |  50-150人,一线,,10000-15000,10000,15000,金融,12500,二级
金融事业部市场总监（大平台）,深圳市深商酒业控股集团有限公司,1-1.5万,深圳·福田区,2,3,"市场总监
金融板块开拓
周末双休
社会保险
员工旅游
节日津贴
专业培训",快速消费品(食品、饮料、化妆品),,民营  |  50-150人,一线,,10000-15000,10000,15000,金融,12500,二级
金融电话销售（年薪10-30万）,政秦（上海）人力资源服务有限公司,8千-1.6万,上海·浦东新区,1,0,"客服
销售
保险
金融
信贷
贷款
平安
渠道
网络
电销",专业服务(咨询、人力资源、财会),,民营  ,一线,,8000-16000,8000,16000,金融,12000,三级
金融营销管理管培生,中财招商投资集团有限公司,5-7千,杭州·滨江区,3,0,"五险一金
餐饮补贴
年终奖金
带薪年假",金融/投资/证券,,民营  |  10000人以上,新一线,,5000-7000,5000,7000,金融,6000,四级
互联网金融部-新媒体运营,一德期货有限公司,4.5-6千,天津,3,0,"五险一金
专业培训
年终奖金
绩效奖金
定期体检
带薪年假",金融/投资/证券,,国企  |  150-500人,新一线,,4500-6000,4500,6000,金融,5250,四级
金融投资理财顾问,中国人寿保险股份有限公司郑州市分公司,1-1.2万,郑州·管城回族区,2,1,"专业培训
五险一金
弹性工作
绩效奖金
年终奖金",保险,,国企  |  10000人以上,新一线,,10000-12000,10000,12000,金融,11000,三级
金融电话销售,中美联泰大都会人寿保险有限公司,8千-1.6万,重庆·渝中区,2,0,"销售
销售代表
渠道销售
电话客服
电话销售
客服专员
保险
直销销售
客户经理
金融
周末双休
五险一金
带薪年假
全勤奖
绩效奖金
节日福利
定期体检
出国机会
员工旅游
补充医疗保险",保险,,外资（欧美）  |  少于50人,新一线,,8000-16000,8000,16000,金融,12000,三级
金融销售顾问,郑州卡民信息技术有限公司,6千-1万,郑州·管城回族区,2,1,"五险一金
年终奖金
专业培训
员工旅游
绩效奖金
全勤奖
节日福利
带薪年假",互联网/电子商务,,民营  |  少于50人,新一线,,6000-10000,6000,10000,金融,8000,四级
金融客户经理+真实无责底薪+高提成,苏州农益晨科技服务有限公司,1.5-3万,苏州·工业园区,2,1,"理财
保险
证券
银行
贷款
房产
金融
年终奖金
绩效奖金
专业培训
五险一金",金融/投资/证券,,民营  |  少于50人,新一线,,15000-30000,15000,30000,金融,22500,二级
ebay电商运营-天河区金融城一带,广州裔仕麟国际贸易有限公司,6千-1.2万,广州·天河区,2,1,"Ebay运营
Ebay操作
账号操作专员
电商账号管理
电商账号运营
ebay
员工旅游
专业培训
出国机会
年终奖金
绩效奖金
医保",互联网/电子商务,,外资（欧美）  |  少于50人,一线,,6000-12000,6000,12000,金融,9000,三级
金融投资理财顾问4800,中国人寿保险股份有限公司郑州市分公司,1-2万,郑州·管城回族区,2,1,"金融产品销售
维护协调客户
服务
客户服务
维护客户关系
销售
专业培训
五险一金
弹性工作
绩效奖金
年终奖金",保险,,国企  |  10000人以上,新一线,,10000-20000,10000,20000,金融,15000,二级
金融/保险/银行软件售前顾问,上海扶丕悌软件有限公司,1-1.5万·13薪,南宁·青秀区,3,3,"五险一金
补充医疗保险
专业培训
出国机会
年终奖金
定期体检
节日福利
员工旅游
金融
银行
PMP
保险
售前顾问
软件销售
英语
Cloud
BA证书",计算机软件,,外资（非欧美）  |  10000人以上,二线,13,10000-15000,10000,15000,金融,12500,二级
金融猎头,深圳亨特尔人力资源有限公司,9千-1.8万,上海·浦东新区,3,1,"招聘
人力资源
销售
猎头顾问
咨询
电话销售
五险一金
员工旅游
绩效奖金
年终奖金
节日福利
带薪年假
出国机会
定期体检
股票期权
专业培训",专业服务(咨询、人力资源、财会),,民营  |  50-150人,一线,,9000-18000,9000,18000,金融,13500,二级
销售顾问金融产品,厦门云汇泽网络科技有限公司,4.5-6千,宜春,2,0,"做五休二
五险一金
全勤奖
带薪年假
节日福利
销售代表
销售
渠道销售
客户代表
直销销售
电话销售
业务员",互联网/电子商务,,民营  |  少于50人,三线,,4500-6000,4500,6000,金融,5250,四级
招金融经理+丰厚奖金+带薪年假,北大方正人寿保险有限公司,1.5-3万,上海·浦东新区,2,1,"电销主管
电话营销
销售
计划制定
电话销售
维护客户档案
电话沟通
客服主管
五险一金
年终奖金
带薪休假
出国机会
员工旅游
定期体检
补充公积金
专业培训
弹性工作
绩效奖金",保险,,合资  |  5000-10000人,一线,,15000-30000,15000,30000,金融,22500,二级
