职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值,行业类型,平均薪酬,工资级别
金融/经济研究员,武汉迅鑫智能科技有限公司,1-2万,武汉·硚口区,2,0,"员工旅游
绩效奖金
专业培训
五险一金
餐饮补贴
年终奖金
弹性工作",计算机软件,,民营  |  50-150人,新一线,,10000-20000,10000,20000,经济,15000,二级
数据分析师/经济研究员,深圳市煜益新统计师事务所有限公司,8千-1.1万,深圳·光明区,3,0,"专业培训
五险一金
加班补贴
包餐
住房补贴
考核奖金",专业服务(咨询、人力资源、财会),,民营  |  少于50人,一线,,8000-11000,8000,11000,经济,9500,三级
金融经济研究员,广州慧晟商务咨询有限公司,9千-1.4万·13薪,广州·天河区,2,1,"经济
金融行业
分析报告
分析
数据敏感
金融市场
五险一金
补充医疗保险
补充公积金
员工旅游
年终奖金
绩效奖金
出国机会
专业培训",互联网/电子商务,,民营  |  50-150人,一线,,9000-14000,9000,14000,经济,11500,三级
金融/经济研究员,广州慧晟商务咨询有限公司,9千-1.4万·13薪,广州·天河区,2,1,"经济
金融行业
分析报告
分析
数据敏感
金融
金融市场
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
出国机会
股票期权",计算机软件,,民营  |  50-150人,一线,,9000-14000,9000,14000,经济,11500,三级
金融/经济研究员,广州慧晟商务咨询有限公司,9千-1.4万·13薪,广州·天河区,2,1,"经济
金融行业
分析报告
分析
数据敏感
五险一金
补充医疗保险
补充公积金
员工旅游
年终奖金
绩效奖金
出国机会
专业培训",互联网/电子商务,,民营  |  50-150人,一线,,9000-14000,9000,14000,经济,11500,三级
初级研究员（产业经济方向）,深圳市智通国际科技创新研究中心,7千-1万,深圳·龙岗区,3,1,"咨询
数据分析处理
报告撰写
研究报告
咨询方案
产业研究
园区规划
产业经济
图表呈现
归纳总结
五险一金
绩效奖金
定期体检
员工旅游
周末双休
弹性工作",学术/科研,,非营利组织  |  少于50人,一线,,7000-10000,7000,10000,经济,8500,三级
双语经济学老师,美中国际教育集团,8千-1.5万,成都·锦江区,3,1,"五险一金
绩效奖金
年终奖金
专业培训
定期体检
员工旅游
补充医疗保险",教育/培训/院校,,外资（欧美）  |  150-500人,新一线,,8000-15000,8000,15000,经济,11500,三级
数字经济与产业研究员[重庆南岸],重庆信息通信研究院,8千-1万,重庆·南岸区,3,3,"绩效奖金
专业培训
补充医疗保险",通信/电信/网络设备,,事业单位  |  150-500人,新一线,,8000-10000,8000,10000,经济,9000,三级
经济研究员,广州港晟商务咨询有限公司,9千-1.3万·13薪,广州·天河区,2,1,"经济
金融行业
分析报告
分析
数据敏感
金融
金融市场
五险一金
补充医疗保险
补充公积金
专业培训
绩效奖金",金融/投资/证券,,民营  |  50-150人,一线,,9000-13000,9000,13000,经济,11000,三级
技术经济师,润和催化剂股份有限公司,1-2万,上海·浦东新区,3,3,"做五休二
五险一金
周末双休
包住宿
节日福利",石油/化工/矿产/地质,,民营  |  150-500人,一线,,10000-20000,10000,20000,经济,15000,二级
经济研究员（双休+高薪）,广州港晟商务咨询有限公司,8千-1.3万·13薪,广州,2,1,"经济
金融行业
分析报告
分析
金融
金融市场
五险一金
补充医疗保险
补充公积金
专业培训
绩效奖金",金融/投资/证券,,民营  |  50-150人,一线,,8000-13000,8000,13000,经济,10500,三级
区域经济研究员,王牌智库（深圳）有限公司,8千-1.3万,深圳·福田区,3,2,"经济研究
撰写报告
市场调研
调研报告
经济
咨询行业
舆情监控
统计学
数据分析
项目定位报告
社会保险
专业培训
年终奖金
自有办公楼",专业服务(咨询、人力资源、财会),,民营  |  50-150人,一线,,8000-13000,8000,13000,经济,10500,三级
数据分析（经济数据）,深圳格隆汇信息科技有限公司,1-2万,深圳·南山区,3,2,"数据
数据处理
数据挖掘
统计
数据分析师
宏观经济
股票期权
年终奖金
五险一金
专业培训",互联网/电子商务,,民营  |  150-500人,一线,,10000-20000,10000,20000,经济,15000,二级
经济运行管理主管,东方通信股份有限公司,8千-1.2万,杭州·滨江区,3,3,"数据分析
做五休二
带薪年假
五险一金
高温补贴
周末双休
补充医疗保险
交通补贴
餐饮补贴
通讯补贴",通信/电信/网络设备,,国企  |  1000-5000人,新一线,,8000-12000,8000,12000,经济,10000,三级
财新智库宏观经济研究员,财新数据科技有限公司,1.2-1.8万·13薪,北京,4,1,宏观经济,金融/投资/证券,,合资  |  150-500人,一线,,12000-18000,12000,18000,经济,15000,二级
总部经济招商顾问（深圳）,谷川联行有限公司,8千-1.5万,深圳·福田区,3,2,"招商
销售
大客户代表
出差
总部经济
财税
专业培训
五险一金
绩效奖金
年终奖金
每年调薪
晋升空间
周末双休
快速发展期
行业领先
体系化管理",多元化业务集团公司,,民营  |  500-1000人,一线,,8000-15000,8000,15000,经济,11500,三级
企业经营管理主管（经济运行方向）,东方通信股份有限公司,8千-1.2万,杭州·滨江区,3,3,"会计
房地产
审计
做五休二
带薪年假
五险一金
高温补贴
周末双休
补充医疗保险
交通补贴
餐饮补贴
通讯补贴",通信/电信/网络设备,,国企  |  1000-5000人,新一线,,8000-12000,8000,12000,经济,10000,三级
工程咨询师（经济评价）,河南油田工程科技股份有限公司,8千-1.6万,郑州·郑东新区,3,1,"五险一金
绩效奖金
通讯补贴
交通补贴
定期体检
专业培训
优秀员工奖
销售
咨询
顾问
咨询顾问
销售代表
渠道销售",石油/化工/矿产/地质,,民营  |  50-150人,新一线,,8000-16000,8000,16000,经济,12000,三级
能源经济研究员,广东信通通信有限公司,1-2万·13薪,广州·海珠区,4,1,"需求设计
研究报告
数据收集
统计分析
能源经济
计量分析
数字经济
数据敏感
能源
电力行业
专业培训
年终奖金
定期体检
六险一金
季度劳保",通信/电信/网络设备,,国企  |  150-500人,一线,,10000-20000,10000,20000,经济,15000,二级
研究员（产业经济）,深圳市维度数据科技股份有限公司,7千-1.2万·13薪,深圳·福田区,4,1,"产业经济
宏观经济
宏观政策
研究
通讯补贴
周末双休
专业培训
五险一金
年终奖金
定期体检",专业服务(咨询、人力资源、财会),,已上市  |  150-500人,一线,,7000-12000,7000,12000,经济,9500,三级
董事长秘书（政治经济学方向）,北京中智时代信息技术有限公司,9千-1.8万,北京·海淀区,4,3,"政治经济学
宏观经济学
发展战略
党务党建
五险一金
绩效奖金
年终奖金
周末双休
带薪年假
专业培训
员工旅游",计算机软件,,民营  ,一线,,9000-18000,9000,18000,经济,13500,二级
副总经理（金融、经济）,威海鲁银私募基金管理有限公司,1.5-2万,威海,3,3,"总经理
副总经理
副总
总监
***
经理
ceo
销售
五险一金
年终奖金
绩效奖金
零食茶点
专业培训
现金补贴",金融/投资/证券,,合资  |  少于50人,三线,,15000-20000,15000,20000,经济,17500,二级
楼宇经济项目负责人,湖北广美城市运维服务有限公司,5-8千,武汉·洪山区,3,3,"做五休二
周末双休
带薪年假
节日福利",政府/公共事业,,国企  |  150-500人,新一线,,5000-8000,5000,8000,经济,6500,四级
总部经济咨询顾问,浙江牛领数字技术有限公司,1-1.5万,杭州·临平区,3,4,"财税筹划
企业客户资源
税务咨询
五险一金
餐饮补贴
专业培训
年终奖金",影视/媒体/艺术/文化传播,,民营  |  50-150人,新一线,,10000-15000,10000,15000,经济,12500,二级
经济（咨询、造价、可研）专家,哈尔滨天源石化工程设计有限责任公司,1.5-2.5万,哈尔滨,3,6,"工程造价
预算
决算
经济分析
经济法规
包吃
节日福利
加班补贴
五险一金
通讯补贴
绩效奖金
年终奖金
定期体检",石油/化工/矿产/地质,,民营  |  500-1000人,二线,,15000-25000,15000,25000,经济,20000,二级
研究员（宏观经济方向 惠州）,深圳市维度数据科技股份有限公司,6-8千,惠州·仲恺区,3,0,"数据分析
客户沟通
分析报告
报告撰写
行业分析
项目分析
项目汇报
研究
研究咨询
经济分析
五险一金
员工旅游
绩效奖金
年终奖金
定期体检",专业服务(咨询、人力资源、财会),,已上市  |  150-500人,二线,,6000-8000,6000,8000,经济,7000,四级
助理经济咨询师,四川中鼎汇智社会经济咨询有限公司,5-8千,成都·金牛区,2,1,"五险一金
员工旅游
年终奖金
绩效奖金",学术/科研,,民营  |  50-150人,新一线,,5000-8000,5000,8000,经济,6500,四级
经济（咨询、造价、可研）专家,哈尔滨天源石化工程设计有限责任公司云南分公司,9千-1.3万,昆明·西山区,3,3,"经济学
工程管理
工程造价
预算
造价
决算
经济分析
加油站
加气站
经济法规
五险一金
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金",石油/化工/矿产/地质,,民营  |  1000-5000人,二线,,9000-13000,9000,13000,经济,11000,三级
经济（咨询、造价、可研）专家,哈尔滨天源石化工程设计有限责任公司武汉分公司,1.5-2.5万,武汉·硚口区,3,5,"五险一金
绩效奖金
节日福利
高温补贴
包吃",石油/化工/矿产/地质,,民营  |  500-1000人,新一线,,15000-25000,15000,25000,经济,20000,二级
产业经济高级研究员,深圳赛西信息技术有限公司,1.5-1.8万,深圳·南山区,4,2,"工业政策
市场洞察
数字经济
绿色低碳产业
电子信息领域
产业分析
周末双休
带薪年假
五险一金
绩效奖金",检测，认证,,国企  |  50-150人,一线,,15000-18000,15000,18000,经济,16500,二级
产业经济研究,广东铭太信息科技有限公司,8千-1.5万,广州,3,0,"五险一金
弹性工作
绩效奖金
节日福利",计算机软件,,民营  |  150-500人,一线,,8000-15000,8000,15000,经济,11500,三级
经济学期刊编辑,武汉研锶信息科技有限公司,7千-1.4万,武汉·洪山区,3,0,"经济
金融
管理
经管
外贸
期刊
出版
学术
科研
会议
五险一金
带薪年假
绩效奖金
节日福利
团建旅游
餐饮补贴
交通补贴
专业培训
名企游学",互联网/电子商务,,民营  |  少于50人,新一线,,7000-14000,7000,14000,经济,10500,三级
数字经济与产业研究员[陕西西安],重庆信息通信研究院,6-8千,西安·长安区,3,2,"绩效奖金
专业培训
补充医疗保险",通信/电信/网络设备,,事业单位  |  150-500人,新一线,,6000-8000,6000,8000,经济,7000,四级
经济商科教师,海南微城未来教育学校,1.2-2万,澄迈,4,1,"五险一金
专业培训
定期体检
寒暑假
多通道晋升
商业保险",教育/培训/院校,,民营  |  500-1000人,五线,,12000-20000,12000,20000,经济,16000,二级
总部经济招商经理/拱墅区,谷川联行有限公司,8千-1.2万,杭州·拱墅区,3,2,"专业培训
五险一金
绩效奖金
年终奖金
每年调薪
晋升空间
周末双休
快速发展期
行业领先
体系化管理",多元化业务集团公司,,民营  |  500-1000人,新一线,,8000-12000,8000,12000,经济,10000,三级
金融/经济/统计/数学/建模/计量留学生辅导,成都领可教育信息咨询有限公司,3-4万,北京·朝阳区,3,0,"五险一金
员工旅游
交通补贴
餐饮补贴
补充公积金
通讯补贴
年终奖金
绩效奖金
专业培训",教育/培训/院校,,外资（非欧美）  |  50-150人,一线,,30000-40000,30000,40000,经济,35000,一级
经济运行专员,中国长江动力集团有限公司,5-8千,武汉,3,3,"经济运行
规划
做五休二
周末双休
带薪年假
五险一金
免费班车
餐饮补贴",机械/设备/重工,,国企  |  1000-5000人,新一线,,5000-8000,5000,8000,经济,6500,四级
研究人员（数字经济及科技创新系列）,北大计算与数字经济研究院,1.2-2.4万·15薪,长沙,3,3,"数字经济
智库
研究报告
调研
行研
五险一金
交通补贴
通讯补贴
餐饮补贴
年终奖金
双休",计算机软件,,事业单位  |  150-500人,新一线,,12000-24000,12000,24000,经济,18000,二级
（急聘）项目专员（经济、统计学专业）,深圳市鼎诚技术经济评价中心,5千-1万,深圳·福田区,3,1,"五险一金
周末双休
弹性工作
带薪年假
绩效奖金
全勤奖
节日福利",非营利组织,,非营利组织  |  少于50人,一线,,5000-10000,5000,10000,经济,7500,四级
金融/经济研究员(月薪12k起),广州丰荣发展有限公司,7千-1.4万·14薪,广州·越秀区,3,1,"经济分析研究
弹性工作
定期体检
五险一金
员工旅游
专业培训
出国机会
绩效奖金
年终奖金",计算机软件,,民营  ,一线,,7000-14000,7000,14000,经济,10500,三级
