公司名称,职位名称,薪酬,城市地区,经验要求,学历要求,公司名称.1,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值
广州纲德财务咨询有限公司,财务会计专员（餐补+周末双休）,4.5-6千,广州·番禺区,2年,中技/中专,"财务
会计
助理
带薪年假
绩效奖金
免费班车
专业培训
节日福利
加班补贴
周末双休",民营  |  少于50人,会计/审计,广州,4500-6000,4500,6000
上海骏森明电子科技有限公司,资金会计,8千-1万,上海·普陀区,3-4年,大专,"会计
审计
资金
应收
出纳
五险一金
员工旅游
通讯补贴
专业培训
绩效奖金
年终奖金
弹性工作
定期体检",民营  |  150-500人,电子技术/半导体/集成电路,上海,8000-10000,8000,10000
维佳集团,会计（房地产方向）,4-5千,武汉,3-4年,本科,"会计
周末双休
带薪年假
专业培训
绩效奖金
年终奖金
节日福利
缴纳五险",民营  |  500-1000人,房地产,武汉,4000-5000,4000,5000
苏州优派克电子科技有限公司,总账会计,4-8千,苏州·吴中区,3-4年,大专,"五险一金
定期体检
专业培训
员工旅游
带薪年假
补充医疗保险",民营  |  50-150人,原材料和加工,苏州,4000-8000,4000,8000
芜湖三花自控元器件有限公司,主办会计,5-7千,芜湖,2年,本科,"免费班车
节日福利
专业培训
五险一金
周末双休
年终奖金
定期体检",已上市  |  1000-5000人,机械/设备/重工,芜湖,5000-7000,5000,7000
湖州御梵化妆品科技有限公司,成本会计主管（工作地：湖州工厂）,8千-1万,湖州,3-4年,大专,"财务
成本分析
成本控制
成本核算
成本费用归集
成本分析报表
督导成本控制
财务总账
专业培训
入职缴纳五险",民营  |  150-500人,快速消费品(食品、饮料、化妆品),湖州,8000-10000,8000,10000
广州市七彩澳游旅游发展有限公司,会计,4.5-5千,广州·增城区,3-4年,大专,"餐饮补贴
商业意外险
包住宿
节日福利
五险一金",民营  |  50-150人,酒店/旅游,广州,4500-5000,4500,5000
中财商业运营管理（云南）有限公司,会计,4-7千,昆明·五华区,2年,大专,"周末双休
节日福利
年终奖金
法定节假日
绩效奖金
通讯补贴
弹性工作",民营  |  150-500人,专业服务(咨询、人力资源、财会),昆明,4000-7000,4000,7000
湖州御梵化妆品科技有限公司,成本会计（工作地：湖州工厂）,7千-1万,湖州,3-4年,大专,"财务
成本分析
成本控制
成本核算
成本费用归集
成本分析报表
督导成本控制
财务总账
专业培训
入职缴纳五险",民营  |  150-500人,快速消费品(食品、饮料、化妆品),湖州,7000-10000,7000,10000
深圳市创飞格环保实业有限公司,会计,5-6.5千,深圳·宝安区,3-4年,大专,"会计
财务
财务管理",民营  |  500-1000人,环保,深圳,5000-6500,5000,6500
浙江伟星商贸有限公司福州分公司,财务会计,5-6千,福州·鼓楼区,1年,本科,"会计
审计
财务
建材
五险一金
包住宿
带薪年假
交通补贴
高温补贴
餐饮补贴
绩效奖金
通讯补贴
弹性工作
节日福利",已上市  |  50-150人,建筑/建材/工程,福州,5000-6000,5000,6000
深圳誉天建设装饰工程有限公司,会计,6千-1万,深圳·南山区,3-4年,大专,"会计证
会计
帐务处理
财务软件
五险一金",民营  |  50-150人,家居/室内设计/装潢,深圳,6000-10000,6000,10000
南昌杰力艾科技有限公司,会计,3-4.5千,南昌·西湖区,3-4年,大专,会计,民营  |  少于50人,计算机硬件,南昌,3000-4500,3000,4500
星源材质（南通）新材料科技有限公司,销售会计,5-6千·14薪,南通·崇川区,3-4年,本科,"财务
销售会计
五险一金
专业培训
年终奖金",民营  |  1000-5000人,新能源,南通,5000-6000,5000,6000
广西优善医疗科技有限公司,会计主管（储备）,5-7千,南宁·良庆区,3-4年,本科,"交通补贴
通讯补贴
员工旅游
五险一金
绩效奖金
年终奖金
专业培训
弹性工作
定期体检",民营  |  少于50人,医疗设备/器械,南宁,5000-7000,5000,7000
广东东电化广晟稀土高新材料有限公司,会计（成本 ）,5-6千,梅州,2年,本科,"成本
会计
五险一金
专业培训
包吃包住
年终奖金
免费班车
员工旅游
出国机会
交通补贴",合资  |  150-500人,电子技术/半导体/集成电路,梅州,5000-6000,5000,6000
重庆千润新材料科技有限公司,会计经理/会计主管,6千-1.2万,重庆·江津区,3-4年,大专,"会计
账务处理
中级会计
办公软件
记账
报账
核帐
报表
财务
按期报账
专业培训
五险
包吃包住",民营  |  50-150人,原材料和加工,重庆,6000-12000,6000,12000
衡水云辉环保科技有限公司,会计,5千-1万,天津·西青区,1年,大专,"报表
会计科目
损益表
总账
资产负债表
应收应付账单
登记明细账
账实相符
会计资料整理
记账凭证
通讯补贴
年终奖金
五险
五险一金",民营  |  50-150人,环保,天津,5000-10000,5000,10000
昆明新知集团有限公司,总账会计,3-6千,昆明·五华区,2年,中技/中专,"出国机会
绩效奖金",民营  |  1000-5000人,文字媒体/出版,昆明,3000-6000,3000,6000
广东新华发行集团股份有限公司,总账会计主管,1.2-1.4万,广州·天河区,3-4年,本科,"五险一金
带薪年假
绩效奖金
定期体检
节日福利",国企  |  1000-5000人,影视/媒体/艺术/文化传播,广州,12000-14000,12000,14000
上海保资智能科技有限公司,财务主办会计,8千-1万,上海,3-4年,大专,"会计
总账
中级
财务
税务
成本
五险一金
免费班车
交通补贴
通讯补贴
股权激励
专业培训
带薪年假
周末双休",民营  |  50-150人,计算机软件,上海,8000-10000,8000,10000
深圳开沃汽车有限公司,会计,6-8千,深圳·坪山区,2年,大专,"带薪年假
五险一金
包住宿
餐饮补贴
定期体检",民营  |  150-500人,新能源,深圳,6000-8000,6000,8000
深圳市新盛洁净科技有限公司,全盘会计,7-9千·13薪,深圳·宝安区,3-4年,大专,"全盘会计
总账会计
会计主管
五险一金
周末双休
员工旅游
弹性工作
绩效奖金",民营  |  少于50人,建筑/建材/工程,深圳,7000-9000,7000,9000
深圳市创企驿站科技有限公司,中级代账会计,6.5-8.5千,深圳·南山区,1年,大专,"代理记账
做账报税
全盘账务
总账会计
税务
五险一金
带薪年假
节日福利
双休
包午餐晚餐",民营  |  150-500人,互联网/电子商务,深圳,6500-8500,6500,8500
深圳市达讯通科技有限公司,会计,7-9千·13薪,深圳·南山区,1年,大专,"预算
会计
财务管理
金蝶
财务软件
税务申报
税收筹划
账实相符
财务决算
企业财务制度
带薪年假
五险
年底双薪",民营  |  少于50人,计算机软件,深圳,7000-9000,7000,9000
海阳科技股份有限公司,会计助理,4-6千,泰州,1年,本科,"会计助理
财务助理
五险一金
专业培训
绩效奖金
周末双休
通讯补贴",民营  |  1000-5000人,石油/化工/矿产/地质,泰州,4000-6000,4000,6000
贵州京泊腾科贸有限公司,会计,4-8千,贵阳,2年,大专,"财务
会计
五险一金
节日福利
全勤奖
餐饮补贴
周末双休
带薪年假
绩效奖金
加班补贴
结婚生育礼金",民营  |  少于50人,医疗设备/器械,贵阳,4000-8000,4000,8000
南京三惠建设工程股份有限公司,成本会计（生产型企业+大小休）,6-8千·13薪,南京·浦口区,2年,大专,"会计
会计核算
生产成本
控制成本
生产成本核算
成本开支
生产型企业
分类管理
五险一金
节日福利
绩效奖金
带薪年假
专业培训
交通补贴
年终奖金",民营  |  150-500人,建筑/建材/工程,南京,6000-8000,6000,8000
北京永新医疗设备有限公司,会计,8千-1万,北京·昌平区,5-7年,本科,"金蝶
用友
税收政策
财务管理
工业会计
制造业
五险一金
员工旅游
定期体检
周末双休
年终奖金",合资  |  150-500人,医疗设备/器械,北京,8000-10000,8000,10000
咸宁南玻玻璃有限公司,会计,6-8千,咸宁,3-4年,本科,"五险一金
补充医疗保险
绩效奖金
年终奖金
定期体检
员工宿舍
高温补贴",合资  |  1000-5000人,原材料和加工,咸宁,6000-8000,6000,8000
宁波开元鼎晟商业经营管理有限公司,会计兼人事,5-6千·14薪,衢州,1年,大专,"会计
五险一金
年终奖金
专业培训
周末双休
节日福利
高温补贴",民营  |  50-150人,生活服务,衢州,5000-6000,5000,6000
唯品会（中国）有限公司,录票会计 (MJ013094),5-7千·13薪,重庆,2年,本科,"录票
应付
员工旅游
专业培训
五险一金
年终奖金
定期体检
通讯补贴
交通补贴",已上市  |  10000人以上,互联网/电子商务,重庆,5000-7000,5000,7000
长沙赢利财务咨询有限公司,外账处理会计人员,5-7千,长沙,3-4年,中技/中专,"全盘会计
周末双休
包吃
节日福利
高温补贴
全勤奖
满一年购社保
专业培训
绩效奖金
弹性工作",民营  |  少于50人,专业服务(咨询、人力资源、财会),长沙,5000-7000,5000,7000
陕西琦诚建设有限公司,会计助理文员,3-4千,西安·灞桥区,1年,大专,"办公软件
财务
印章管理
资料保管
建筑业
员工旅游
节日福利
年终奖金",民营  |  50-150人,建筑/建材/工程,西安,3000-4000,3000,4000
陕西省富源酒业有限公司,会计,4.5-6千,西安,3-4年,大专,"交通补贴
通讯补贴
员工旅游
节日福利
生日礼品
高额提成
季度奖励
五险
出差补助",民营  |  150-500人,快速消费品(食品、饮料、化妆品),西安,4500-6000,4500,6000
黑龙江恒隆房地产开发有限责任公司,会计,6-8千,哈尔滨·南岗区,5-7年,大专,"会计
房地产
开发
通讯补贴
餐饮补贴
节日福利",民营  |  50-150人,房地产,哈尔,6000-8000,6000,8000
江苏皇宅建筑工程有限公司,总账会计主管,7千-1万,南京·浦口区,5-7年,大专,"总账会计
税务处理
财务分析
税务统筹
经营报表
登记管理
绩效奖金
节日福利
弹性工作
带薪年假
五险
专业培训
团建活动
餐饮补贴",民营  |  50-150人,建筑/建材/工程,南京,7000-10000,7000,10000
兴证期货有限公司,兴证期货-财务部会计核算岗（兼资金管理）,1-1.5万,上海·浦东新区,1年,硕士,"五险一金
补充医疗保险
补充公积金
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",国企  |  500-1000人,金融/投资/证券,上海,10000-15000,10000,15000
宿州市徽香源食品有限公司,会计,3-4千,宿州,2年,大专,"费用报销
账目核对
绩效奖金
年终奖金
交通补贴
社保
提供住宿",民营  |  150-500人,快速消费品(食品、饮料、化妆品),宿州,3000-4000,3000,4000
广州广兴牧业设备集团有限公司,成本会计,5.5-7.5千,广州,2年,大专,"会计
会计核算
控制成本
生产成本
成本开支
事前审核
督导成本控制
带薪年假
五险一金
绩效奖金
节日福利
专业培训",民营  |  1000-5000人,机械/设备/重工,广州,5500-7500,5500,7500
广州恒德会计师事务所（普通合伙）,注册会计师（主任会计师）,200元/天,深圳·福田区,无需经验,大专,"周末双休
五险一金
带薪年假
专业培训
交通补贴
节日福利
绩效奖金
年终奖金",民营  |  少于50人,会计/审计,深圳,nan,,
瑞玛思特（深圳）科技有限公司,会计财务专员,6-8千·13薪,深圳·南山区,1年,大专,"五险一金
员工旅游
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",民营  ,计算机软件,深圳,6000-8000,6000,8000
杭州京杭生物科技有限公司,会计,5-8千,杭州·余杭区,3-4年,大专,"会计
绩效奖金
带薪年假
节日福利
专业培训
交纳五险
餐饮补贴",民营  |  50-150人,贸易/进出口,杭州,5000-8000,5000,8000
清陶（昆山）能源发展股份有限公司,往来会计,3.5-4.5千,宜春,2年,大专,"周末双休
五险一金
包吃
包住宿
绩效奖金
节日福利",民营  |  150-500人,新能源,宜春,3500-4500,3500,4500
深圳市格润电器有限公司,会计,8千-1.1万,深圳·宝安区,2年,大专,"会计
五险一金
专业培训
包吃
包住宿
节日福利
带薪年假
大小周",民营  |  50-150人,家具/家电/玩具/礼品,深圳,8000-11000,8000,11000
成都菁华世茂商业管理有限公司,会计主管,6-7千,成都·天府新区,5-7年,大专,"五险一金
绩效奖金
节日福利
定期体检",民营  |  少于50人,多元化业务集团公司,成都,6000-7000,6000,7000
云南田园牧歌投资集团有限公司,会计,4-6千,昆明·五华区,3-4年,大专,"会计
总账会计
五险",民营  |  50-150人,金融/投资/证券,昆明,4000-6000,4000,6000
宿迁凯丽纺织品有限公司,会计,4.5-5千,宿迁,2年,大专,"财务
出纳
财务主管
会计助理
财务助理
会计主管
总账会计
税务
绩效奖金
五险一金
专业培训
上六休一
包吃住",民营  ,服装/纺织/皮革,宿迁,4500-5000,4500,5000
善能（南京）数字技术有限公司,会计助理,3.5-7千,南京·建邺区,无需经验,大专,"会计助理
出纳
五险一金
补充医疗保险
员工旅游
年终奖金
绩效奖金
通讯补贴
定期体检
弹性工作
餐饮补贴",民营  |  150-500人,通信/电信/网络设备,南京,3500-7000,3500,7000
广州索正电子商务有限公司,电商会计,6千-1万,广州·番禺区,2年,大专,"财务
会计
日语
税务
跨境电商
年假",民营  |  50-150人,互联网/电子商务,广州,6000-10000,6000,10000
深圳市卓美瑞科技有限公司,全盘会计,1-1.2万,深圳·宝安区,3-4年,大专,"会计
五险一金
员工旅游
餐饮补贴
定期体检
年终奖金",民营  |  150-500人,电子技术/半导体/集成电路,深圳,10000-12000,10000,12000
重庆斯泰克瑞登梅尔材料技术有限公司,会计,4.5-7千,重庆·长寿区,2年,大专,"五险一金
绩效奖金
年终奖金
免费班车",合资  |  50-150人,制药/生物工程,重庆,4500-7000,4500,7000
扬州丰源博能电气有限公司,财务会计,3.8-5.5千·13薪,扬州,3-4年,大专,"财务
出纳
会计助理
财务助理
五险一金
员工旅游
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",民营  |  50-150人,仪器仪表/工业自动化,扬州,3800-5500,3800,5500
西子德森电梯深圳有限公司,会计/财务专员,6-8千,深圳·龙岗区,2年,大专,"财务
出纳
财务助理
总账会计
财务主管
税务
五险一金
年终奖金
绩效奖金
包吃包住",民营  |  50-150人,机械/设备/重工,深圳,6000-8000,6000,8000
深圳市沃尔核材股份有限公司,信用会计,6-8千,深圳·坪山区,2年,本科,"周末双休
免费班车
包住宿",民营  |  5000-10000人,原材料和加工,深圳,6000-8000,6000,8000
南京润楚化工有限公司,外贸会计,8千-1万·14薪,南京,3-4年,本科,"财务
外贸
财务核算
中级会计师
做五休二
五险一金
绩效奖金
全勤奖
节日福利
交通补贴
餐饮补贴
住房补贴
年终奖金",民营  |  少于50人,贸易/进出口,南京,8000-10000,8000,10000
内蒙古骅扬高新材料科技有限公司,成本会计,6千-1万,乌兰察布,5-7年,大专,"财务
成本会计
办公软件
成本分析报表
成本管控
监督管理
包吃
包住宿
五险一金
专业培训
定期体检
免费班车
绩效奖金",合资  |  少于50人,原材料和加工,乌兰,6000-10000,6000,10000
陕西环保（集团）朗新环境服务有限公司,会计,4.5-5.5千,榆林,3-4年,本科,"财务
对帐
财务软件
记帐
五险一金
通讯补贴
年终奖金
定期体检
周末双休
法定节假日",民营  ,环保,榆林,4500-5500,4500,5500
东来涂料技术（上海）股份有限公司,管理会计主管,1.5-2.5万·13薪,上海,3-4年,本科,"财务
会计主管
财务主管
财务分析
销售管理
五险一金
交通补贴
通讯补贴
绩效奖金
年终奖金
股票期权
节日福利
每年定期调薪",已上市  |  500-1000人,汽车,上海,15000-25000,15000,25000
广州燕语堂装饰设计有限公司,会计助理,4-6千,广州·天河区,1年,大专,"财务
会计
餐厅
咖啡店
帐务核对
财务核算
室内设计
财务管理
财务报表
税收政策
员工旅游
年终奖金
补充医疗保险",民营  |  150-500人,家居/室内设计/装潢,广州,4000-6000,4000,6000
内蒙古骅扬高新材料科技有限公司,会计,6-8千,乌兰察布,3-4年,大专,"财务
出纳
会计助理
总账会计
会计
五险一金
包吃
包住宿",合资  |  少于50人,原材料和加工,乌兰,6000-8000,6000,8000
广东丙辛新材料有限公司,会计,6-8千,广州·南沙区,5-7年,大专,"会计
审计
电商
包三餐
广州社保
年终奖
工龄奖
高温补贴
住房补贴
法定假期",民营  ,计算机软件,广州,6000-8000,6000,8000
深圳尚景豪酒店有限公司,会计,6-7千,深圳·龙岗区,2年,大专,"会计
五险一金
年终奖金
员工旅游
专业培训
绩效奖金
包吃住",民营  ,计算机软件,深圳,6000-7000,6000,7000
强生（苏州）医疗器材有限公司,总账会计（韩语流利）- Contractor,8-9千·13薪,苏州,2年,本科,"会计
总账会计
韩语
朝鲜语
五险一金",外资（欧美）  ,医疗设备/器械,苏州,8000-9000,8000,9000
深圳科瑞技术股份有限公司,应收会计,7千-1万,深圳·光明区,2年,本科,"五险一金
绩效奖金
餐饮补贴
年终奖金
员工旅游",已上市  |  1000-5000人,仪器仪表/工业自动化,深圳,7000-10000,7000,10000
北京印诚物业管理有限公司,会计,5-8千,北京·昌平区,1年,本科,"会计
五险一金
通讯补贴
定期体检
交通补贴
绩效奖金",民营  ,建筑/建材/工程,北京,5000-8000,5000,8000
雅居乐雅生活集团雅卓房地产营销公司,会计,6-8千,广州·天河区,2年,本科,"核算会计
总账会计
会计
文旅
节日福利
周末双休
专业培训
弹性工作",已上市  |  1000-5000人,房地产,广州,6000-8000,6000,8000
上海瞻芯电子科技有限公司,成本会计,9千-1.5万,上海·浦东新区,3-4年,本科,"财务
会计
成本核算
成本管理
成本分析
五险一金
年终奖金
股票期权",民营  |  50-150人,电子技术/半导体/集成电路,上海,9000-15000,9000,15000
宁波科尔维特照明有限公司,主办会计,1-1.1万,宁波·鄞州区,3-4年,大专,"会计
五险一金
餐饮补贴
节日福利
年终奖金",民营  |  150-500人,电子技术/半导体/集成电路,宁波,10000-11000,10000,11000
深圳汇银通产业互联网有限公司,会计（大宗商品贸易供应链）,1-1.5万,深圳·南山区,2年,大专,"税务
会计凭证
财务软件
财务核算
财务分析报告
五险一金
团队氛围活泼
通讯补贴
交通补贴
餐饮补贴",民营  |  150-500人,多元化业务集团公司,深圳,10000-15000,10000,15000
江苏蒲公英房地产咨询有限公司,应付会计,4-5千,常州·钟楼区,1年,大专,"财务
会计
节日福利
五险一金
全勤奖
带薪年假",民营  |  50-150人,房地产,常州,4000-5000,4000,5000
重庆外商服务有限公司,会计（赴新疆项目）,1-1.2万,重庆·江北区,5-7年,大专,"高度公路
会计
弹性工作
买社保
冬休带薪假",国企  |  50-150人,专业服务(咨询、人力资源、财会),重庆,10000-12000,10000,12000
上海保资智能科技有限公司,涉外会计,8千-1.2万,上海,1年,大专,"五险一金
免费班车
交通补贴
通讯补贴
股权激励
绩效奖金
年休假
专业培训
出国机会
老总好",民营  |  50-150人,计算机软件,上海,8000-12000,8000,12000
成都市上坤星创教育咨询有限公司,会计主管,4-6千,成都·新都区,3-4年,大专,"企业会计
财务计划
报表管理
包住
五险一金
专业培训
绩效奖金
年终奖金
全勤奖
节日福利
带薪寒假",民营  |  50-150人,教育/培训/院校,成都,4000-6000,4000,6000
绿能碳汇（集团）有限公司,会计,5-8千,鄂尔多斯,1年,本科,"会计核算
通讯补贴
交通补贴
定期体检",民营  |  50-150人,多元化业务集团公司,鄂尔,5000-8000,5000,8000
上海甬荆自动化控制设备有限公司,财务会计,7-9千,上海·闵行区,8-9年,本科,"五险一金
免费班车
员工旅游
交通补贴
年终奖金",民营  |  50-150人,仪器仪表/工业自动化,上海,7000-9000,7000,9000
吉配恩（上海）汽车配件有限公司,做帐会计,6-9千,上海·嘉定区,3-4年,大专,"会计
费用成本核算
纳税申报
报表
记账
餐饮补贴
年终奖金
专业培训",外资（非欧美）  |  少于50人,贸易/进出口,上海,6000-9000,6000,9000
江苏正诺企业服务集团有限公司,主办会计,6千-1万,常熟,3-4年,大专,"财务主管
总账会计
五险一金
餐饮补贴
年终奖金
周末双休
做五休二
绩效奖金
住房公积金",民营  |  50-150人,多元化业务集团公司,常熟,6000-10000,6000,10000
成都华神科技集团股份有限公司,会计-矿泉水,4-8千,成都·郫都区,2年,大专,"财务软件
快消品
会计
账务核算
制造业
金蝶
五险一金
餐饮补贴
年终奖金
通讯补贴
绩效奖金
股票期权
定期体检
补充公积金",已上市  |  500-1000人,制药/生物工程,成都,4000-8000,4000,8000
重庆多多汇商贸有限公司,会计,4-4.5千·13薪,重庆,2年,大专,"会计
带薪年假
绩效奖金
节日福利
专业培训
交通补贴
餐饮补贴
通讯补贴
五险
免费班车
年终奖金",民营  |  500-1000人,服装/纺织/皮革,重庆,4000-4500,4000,4500
菲沃泰纳米科技（深圳）有限公司,成本会计,8千-1.5万·13薪,深圳·光明区,3-4年,本科,"会计
成本分析
固定资产管理
成本核算
存货盘点
成本报表
库存核对
财务管理
erp
excel
五险一金
员工旅游
年终奖金
定期体检
交通补贴
通讯补贴
专业培训
周末双休",已上市  |  500-1000人,电子技术/半导体/集成电路,深圳,8000-15000,8000,15000
中审众环会计师事务所（特殊普通合伙）江苏分所,注册会计师,1-1.5万,南京·鼓楼区,2年,本科,注册会计师,民营  |  50-150人,中介服务,南京,10000-15000,10000,15000
深圳克莱维尔电源有限公司,外贸会计（退税）,6-8千,深圳·宝安区,2年,本科,"外贸会计
财务
会计主管
税务
年终奖金
绩效奖金
补充医疗保险
交通补贴
餐饮补贴
五险一金",合资  |  少于50人,新能源,深圳,6000-8000,6000,8000
昆山佰奥智能装备股份有限公司,出纳会计,5-6千·13薪,昆山,1年,大专,"五险一金
员工旅游
专业培训
绩效奖金
定期体检
年终奖金",已上市  |  500-1000人,仪器仪表/工业自动化,昆山,5000-6000,5000,6000
重庆星宸整形美容医院有限公司,会计专员,6-8千,重庆,1年,本科,"带薪年假
包三餐
包住宿
绩效奖金
节日福利
专业培训
员工旅游
五险",民营  |  150-500人,医疗/护理/卫生,重庆,6000-8000,6000,8000
上海恳大实业有限公司,会计,6.5-8千,上海·金山区,3-4年,大专,"财务凭证
财务报表
驾驶证
汇算清缴
生产型企业
年终奖金
专业培训
餐饮补贴
五险一金",民营  |  150-500人,贸易/进出口,上海,6500-8000,6500,8000
江苏烽禾升智能科技有限公司,成本会计,7千-1万,苏州,3-4年,本科,"五险一金
专业培训
年终奖金",民营  |  1000-5000人,仪器仪表/工业自动化,苏州,7000-10000,7000,10000
西卡（上海）管理有限公司,会计(J12079),7千-1万,上海·静安区,3-4年,本科,"五险一金
补充医疗保险
补充公积金
餐饮补贴
通讯补贴
绩效奖金
年终奖金",外资（欧美）  |  1000-5000人,建筑/建材/工程,上海,7000-10000,7000,10000
上海尚志家居有限公司,成本会计,7-7.5千,上海·徐汇区,2年,中技/中专,"会计
成本
五险一金
员工旅游
绩效奖金
年终奖金
节日礼品",已上市  |  500-1000人,建筑/建材/工程,上海,7000-7500,7000,7500
云南石金炭素有限公司,成本会计,6-8千,曲靖,2年,本科,"财务
财务主管
成本经理
成本主管
会计
五险一金
年终奖金
员工旅游
定期体检
专业培训
食宿福利
生日福利
假期福利",民营  |  50-150人,机械/设备/重工,曲靖,6000-8000,6000,8000
上海竞舟雨水科技有限公司,财务会计专员,4-5千,上海·浦东新区,1年,大专,"会计
餐饮补贴
通讯补贴
年终奖金
周末双休",合资  |  50-150人,环保,上海,4000-5000,4000,5000
苏州红杉信息科技有限公司,财务会计,5-9千·13薪,苏州·工业园区,1年,本科,"互联网
电子商务
财务
会计
带薪年假
节日福利
餐饮补贴
年终奖金
员工旅游
专业培训
定期体检
五险一金
绩效奖金",民营  |  少于50人,贸易/进出口,苏州,5000-9000,5000,9000
东莞市东侨智谷科技园有限责任公司,会计,6-8千,东莞·东城区,5-7年,大专,"带薪年假
包住宿
绩效奖金
节日福利
专业培训
餐饮补贴
五险一金",民营  |  50-150人,互联网/电子商务,东莞,6000-8000,6000,8000
锦翰网络科技（广州）有限公司,会计主管,8千-1.5万·13薪,广州·番禺区,2年,本科,"会计
财务管理
出口退税
财会
会计核算
总帐
帐务处理
审核会计凭证
绩效奖金
专业培训
交通补贴
通讯补贴
年终奖
定期体检
出国机会
员工旅游
弹性工作
五险一金",民营  |  150-500人,贸易/进出口,广州,8000-15000,8000,15000
上海百利来企业服务有限公司,会计/财务,8千-1.5万·13薪,上海·徐汇区,2年,大专,"会计
会计助理
财务
审计
做帐
报税
年终双薪
奖金丰厚
年终分红
立即上岗
做五休二
周末双休
带薪年假
五险一金
专业培训
节日福利
全勤奖
绩效奖金",民营  |  少于50人,专业服务(咨询、人力资源、财会),上海,8000-15000,8000,15000
四川永昊兴泰贸易有限责任公司,会计,4-7千,南充,3-4年,中技/中专,"会计
审计
房地产
年终奖金
绩效奖金
专业培训
员工旅游
餐饮补贴",民营  |  50-150人,建筑/建材/工程,南充,4000-7000,4000,7000
上海怡申科技股份有限公司,出纳会计,5-7千·13薪,上海·徐汇区,1年,大专,"五险一金
交通补贴
餐饮补贴
通讯补贴
出国机会
定期体检
年终奖金
专业培训
绩效奖金
弹性工作",民营  |  150-500人,仪器仪表/工业自动化,上海,5000-7000,5000,7000
东莞嘉顺针织有限公司,会计,5-5.5千,东莞,3-4年,大专,"财务
五险
年底双薪
餐饮补贴
包住
节日福利
带薪年假",外资（非欧美）  |  500-1000人,服装/纺织/皮革,东莞,5000-5500,5000,5500
深圳市汇诚行信息科技股份有限公司,财务经理/主管/全盘会计,8千-1.2万,深圳·福田区,3-4年,本科,"带薪年假
五险一金
节日福利
专业培训
绩效奖金
年终奖金
人性化管理
出国机会
不定期团建
补充商业保险",已上市  |  50-150人,房地产,深圳,8000-12000,8000,12000
深圳市爱德泰科技有限公司,总账会计,1-1.4万,深圳·南山区,3-4年,本科,"会计
总账
带薪年假
节日福利
专业培训
餐饮补贴
五险一金
年终奖金
员工旅游
包住宿
周末双休",民营  |  1000-5000人,通信/电信/网络设备,深圳,10000-14000,10000,14000
杭州千岛湖云上天泉水业有限公司,会计,4.6-8千,杭州·淳安县,1年,大专,"会计
成本会计
五险一金
专业培训
集体宿舍
免费就餐
过节福利费",民营  |  50-150人,快速消费品(食品、饮料、化妆品),杭州,4600-8000,4600,8000
米粒优合家居科技（上海）有限公司,总账会计,7-9千,上海·嘉定区,3-4年,本科,"财务
会计
进出口贸易
账务处理
财务分析
审核
财税法律法规
业务核算
带薪年假
五险一金
绩效奖金
全勤奖
节日福利
专业培训
做五休二
周末双休",民营  |  50-150人,互联网/电子商务,上海,7000-9000,7000,9000
南京国信电力设备有限公司,会计,10-14万/年,南京,2年,本科,"成本会计
周末双休
弹性工作
带薪年假
五险一金
交通补贴
餐饮补贴
加班补贴
住房补贴
通讯补贴
节日福利",民营  |  少于50人,仪器仪表/工业自动化,南京,nan,,
上海巴比古贸易有限公司,国际贸易会计,8千-1.2万,上海,3-4年,本科,"会计
出口退税
财务软件
财务
税务报表
账务处理
记账凭证
五险一金
年终奖金",外资（非欧美）  |  少于50人,贸易/进出口,上海,8000-12000,8000,12000
张家港富士金属制品有限公司,会计,6-7千·13薪,苏州,3-4年,大专,"五险一金
专业培训
节假日福利",民营  |  150-500人,机械/设备/重工,苏州,6000-7000,6000,7000
浙江光越传动科技有限公司,主办会计,10-15万/年,杭州·拱墅区,3-4年,本科,"主办会计
五险一金
员工旅游
餐饮补贴
专业培训
年终奖金
定期体检",民营  |  150-500人,机械/设备/重工,杭州,nan,,
武汉聚天良品科技有限公司,销售会计,3.2-4.5千,武汉·硚口区,1年,大专,"销售会计
财务
会计助理
财务助理
节日福利
年终奖金
员工旅游
五险
免费工作餐",民营  |  50-150人,贸易/进出口,武汉,3200-4500,3200,4500
广东正凌实业发展有限公司,会计助理,4-6千,广州·番禺区,1年,中技/中专,"会计助理
账单核对
凭证装订
单据整理
五险
员工旅游
绩效奖金
年终奖金
弹性工作
专业培训",民营  |  150-500人,多元化业务集团公司,广州,4000-6000,4000,6000
深圳市赛德乐科技有限公司,财务/会计,5-8千,深圳·龙岗区,1年,大专,"财务
会计
账务处理
对账结算
财务分析
五险一金
餐饮补贴
绩效奖金
员工旅游",民营  ,服装/纺织/皮革,深圳,5000-8000,5000,8000
上海鱼尾科技有限公司,总帐会计,1-1.5万,湖州,8-9年,大专,"五险一金
员工旅游
弹性工作
年终奖金",民营  |  150-500人,互联网/电子商务,湖州,10000-15000,10000,15000
广州东江新能源控股集团股份有限公司,会计,6-8千,江门,2年,大专,"税务
内账
全盘
节日福利
高温补贴
包住宿
加班补贴
专业培训
餐饮补贴
团建活动",民营  |  150-500人,石油/化工/矿产/地质,江门,6000-8000,6000,8000
