公司名称,职位名称,薪酬,城市地区,经验要求,学历要求,公司名称.1,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值
上海艾枫机电设备有限公司,应付会计兼出纳,5-6.5千,上海·松江区,1年,大专,"办公软件
会计初级
费用支付
开具发票
费用报销审核
记账登记
五险一金
出差补贴
带薪年假
专业培训
加班补贴
年终奖金",民营  |  50-150人,机械/设备/重工,上海,5000-6500,5000,6500
杭州市临空建设投资集团有限公司,会计岗（信息化建设）,15-30万/年,杭州·萧山区,5-7年,本科,"sql
财务管理
会计学
维护
财务软件系统
会计师
五险一金
员工旅游
餐饮补贴
通讯补贴
定期体检
补充医疗保险
企业年金",国企  |  150-500人,多元化业务集团公司,杭州,nan,,
阜南联美农产品有限公司,会计,4.5-5.5千,阜阳,5-7年,大专,"会计
包吃
包住宿
节日福利
专业培训",合资  |  150-500人,快速消费品(食品、饮料、化妆品),阜阳,4500-5500,4500,5500
苏州亿源智能装备有限公司,主办会计,7-9千,滁州,3-4年,大专,"五险一金
年终奖金
定期体检
专业培训",民营  |  少于50人,仪器仪表/工业自动化,滁州,7000-9000,7000,9000
华晨鑫源重庆汽车有限公司九龙坡分公司,成本核算会计,5-6千,重庆·涪陵区,3-4年,本科,"会计
五险一金
餐饮补贴
年终奖金
带薪年假
节日礼物
员工班车
员工宿舍",民营  |  5000-10000人,机械/设备/重工,重庆,5000-6000,5000,6000
四川西南联盛通讯技术有限公司深圳市分公司,税务会计+近地铁+五险一金,1-2万,深圳·南山区,3-4年,大专,"税务
税务申报
税务筹划
税务管理
税务政策
税收政策
控制税务风险
税收筹划方案
税务报告
税务自查
五险一金
节日礼品",民营  |  1000-5000人,贸易/进出口,深圳,10000-20000,10000,20000
上海墨润塑料科技有限公司,财务会计专员,7千-1.2万,上海·闵行区,3-4年,大专,"财务主管
总账会计
财务
五险一金
通讯补贴
出国机会
绩效奖金
年终奖金
交通补贴
员工旅游
周末双休
节日福利
带薪年假",民营  |  50-150人,贸易/进出口,上海,7000-12000,7000,12000
佛山市威王日用电器有限公司,应付会计,5-6千,佛山·顺德区,1年,大专,"应付会计
五险一金
交通补贴
餐饮补贴
专业培训",合资  |  500-1000人,家具/家电/玩具/礼品,佛山,5000-6000,5000,6000
东莞市蓓凡家居有限公司,主办会计,5-6千,东莞·厚街镇,3-4年,中技/中专,"总账会计
节日福利
专业培训
包住宿
包吃
购买社保",民营  |  150-500人,家具/家电/玩具/礼品,东莞,5000-6000,5000,6000
广州市本港集装箱工程技术服务有限公司,会计（深圳）,6-8千,深圳·宝安区,2年,大专,"会计
财务
会计凭证
会计法规
成本分析报告
会计证
报销费用审核
成本核算
财务软件
数据统计
带薪年假
工龄工资
节日福利
高温补贴
专业培训
社会保险
商业保险
年终奖金",民营  |  150-500人,交通/运输/物流,深圳,6000-8000,6000,8000
佛山市威王日用电器有限公司,成本会计,7-8千,佛山·顺德区,1年,大专,"财务
五险一金
交通补贴
餐饮补贴
专业培训",合资  |  500-1000人,家具/家电/玩具/礼品,佛山,7000-8000,7000,8000
广东小崧科技股份有限公司,会计主管,5-8千,江门,3-4年,本科,"财务
财务主管
会计主管
通讯补贴
购置社保
上市公司
晋升空间
包三餐
节日福利
绩效奖金
年终奖金
专业培训",已上市  |  1000-5000人,电子技术/半导体/集成电路,江门,5000-8000,5000,8000
长沙淘顺信息科技有限公司,全盘会计,6-8千,长沙·芙蓉区,5-7年,大专,"总账会计
财务
周末双休
节日福利
带薪年假
五险",民营  |  50-150人,通信/电信运营、增值服务,长沙,6000-8000,6000,8000
浙江杰记科技有限公司,会计,5.5-9千,湖州·德清县,无需经验,本科,"会计
五险
员工旅游
餐饮补贴
年终奖金
满合同奖
住房补贴",民营  |  50-150人,机械/设备/重工,湖州,5500-9000,5500,9000
成都富江工业股份有限公司,财务会计,5-7千,成都·温江区,1年,本科,"会计
五险一金
补充公积金
餐饮补贴
通讯补贴
绩效奖金",民营  |  150-500人,机械/设备/重工,成都,5000-7000,5000,7000
维苏威高级陶瓷（中国）有限公司,财务会计,6.5-7千,苏州·工业园区,1年,本科,"五险一金
补充医疗保险
交通补贴
通讯补贴
绩效奖金
年终奖金
定期体检
专业培训",外资（欧美）  |  1000-5000人,采掘业/冶炼,苏州,6500-7000,6500,7000
南京化纤股份有限公司,核算会计岗,6千-1万,南京·建邺区,3-4年,本科,"账账
账表
账证
财会
会计
税务报表
生产成本核算
涉税
会计账务处理
税务评估
五险一金
年终奖金
定期体检
周末双休
免费早、午餐
专业培训
双通道发展
带薪年休假",已上市  |  1000-5000人,石油/化工/矿产/地质,南京,6000-10000,6000,10000
浙江中能变压器有限公司,主办会计,6千-1万·13薪,杭州·建德市,5-7年,大专,"五险一金
餐饮补贴
专业培训
定期体检
弹性工作",民营  |  150-500人,机械/设备/重工,杭州,6000-10000,6000,10000
斯特透平科技（北京）有限公司,资深总账会计,6千-1.2万,沈阳·沈北新区,10年以上,大专,"会计
五险一金
免费班车
餐饮补贴",民营  |  150-500人,机械/设备/重工,沈阳,6000-12000,6000,12000
乐昌市鑫东穗汽车用品有限公司,总账会计,5-8千,广州·白云区,3-4年,大专,"退税
财务成本
做账
出国机会
五险一金
员工旅游
绩效奖金",合资  ,汽车,广州,5000-8000,5000,8000
江苏泽辉镁基新材料科技有限公司,总账会计,6-7千,无锡,3-4年,本科,"绩效奖金
年终奖金
五险一金
专业培训",外资（欧美）  ,计算机软件,无锡,6000-7000,6000,7000
洛阳瑞临煤炭物资有限公司,总账会计,8-10万/年,洛阳,5-7年,本科,"包住宿
包三餐
节日福利",民营  |  50-150人,机械/设备/重工,洛阳,nan,,
云南阔袤建设有限公司,会计,5-8千,昆明·西山区,2年,大专,"五险一金
年终奖金
弹性工作",民营  |  50-150人,建筑/建材/工程,昆明,5000-8000,5000,8000
广东省中源九峰材料科技股份有限公司,会计,6-9千,深圳·宝安区,2年,大专,"会计
财务报表
税务
审核
会计报表
财务软件
会计证
报销费用审核
登帐
财务会计
五险一金
专业培训
员工旅游
补充医疗保险
补充公积金",民营  |  50-150人,石油/化工/矿产/地质,深圳,6000-9000,6000,9000
西安乾坤保险代理有限公司,财务会计助理,3.5-4千,西安·莲湖区,无需经验,高中,"财务
会计助理
财务助理
出纳
做五休二
全勤奖
高温补贴
专业培训
交通补贴",民营  |  50-150人,保险,西安,3500-4000,3500,4000
航天云网数据研究院（江苏）有限公司,财务会计,8千-1.3万,常州·天宁区,5-7年,本科,"五险一金
餐饮补贴
高温补贴
定期体检
交通补贴",国企  |  50-150人,互联网/电子商务,常州,8000-13000,8000,13000
