el_链接,名称,时间,sal,d,d1,d2,关键词,名称_链接,名称3,dc,int
https://jobs.51job.com/dongguan/145648438.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,汽车金融销售,03-09发布,6千-1.2万,东莞·南城区,1年,大专,"周末双休
节日福利
融资
金融
汽车租赁
租赁",https://jobs.51job.com/all/coVjFRPAJpVWIPaFQwXDA.html,和运国际融资租赁有限公司,外资（非欧美）  |  500-1000人,金融/投资/证券
https://jobs.51job.com/kunming/145774670.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,综合金融客户经理,03-09发布,6千-1万·13薪,昆明·五华区,1年,大专,"金融
市场营销
售后服务
客户资源
客户经营
二次开发
理财方案
绩效奖金
年终奖金
补充医疗保险
员工旅游
专业培训
出国机会
弹性工作",https://jobs.51job.com/all/coBGUCY147VGtVOFc9UzQ.html,中国人寿保险股份有限公司昆明市西山区支公司大观营业部,民营  ,保险
https://jobs.51job.com/hangzhou/146723348.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,银行保险金融储备经理人,03-09发布,8千-1.6万,杭州·上城区,1年,大专,"市场营销
销售行业
理赔
老客户维护
人寿保险
财产保险
养老规划
风险规划
子教规划
理财分析
五险一金
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",https://jobs.51job.com/all/coCWpcPQBlVWMObQFgVDA.html,中国人寿保险股份有限公司杭州市分公司,已上市  |  10000人以上,保险
https://jobs.51job.com/guangzhou/146470429.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融专员,03-09发布,1.5-2万·13薪,广州·南沙区,5-7年,本科,"证券法律法规
董事会秘书
股权登记
临时公告
发行债券
五险一金
通讯补贴
专业培训
出国机会
绩效奖金
年终奖金
定期体检",https://jobs.51job.com/all/coB2MAY180UWwCZFM3VDc.html,广东迪生力汽配股份有限公司,已上市  |  500-1000人,汽车零配件
https://jobs.51job.com/dongguan/48356950.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,汽车金融销售,03-09发布,6千-1.2万,东莞·长安镇,1年,大专,"周末双休
节日福利
融资
金融
汽车租赁
租赁",https://jobs.51job.com/all/coVjFRPAJpVWIPaFQwXDA.html,和运国际融资租赁有限公司,外资（非欧美）  |  500-1000人,金融/投资/证券
https://jobs.51job.com/shanghai/146638622.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融行业大客户销售,03-09发布,8千-1.5万,上海·浦东新区,3-4年,大专,"五险一金
补充医疗保险
餐饮补贴
定期体检
节日福利",https://jobs.51job.com/all/coUzFVNlYzAToHZAJiAWE.html,上海磐厚投资管理有限公司,民营  |  150-500人,金融/投资/证券
https://jobs.51job.com/jiangmen/146470431.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融专员,03-09发布,1.5-2万·13薪,广州·南沙区,5-7年,本科,"证券法律法规
董事会秘书
股权登记
临时公告
发行债券
五险一金
通讯补贴
专业培训
出国机会
绩效奖金
年终奖金
定期体检",https://jobs.51job.com/all/coB2MAY180UWwCZFM3VDc.html,广东迪生力汽配股份有限公司,已上市  |  500-1000人,汽车零配件
https://jobs.51job.com/wuxi/136998798.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,高级金融服务顾问,03-09发布,1.5-2万,无锡·梁溪区,1年,大专,"销售
金融
销售代表
渠道销售
客户经理
直销销售
保险
补充医疗保险
补充公积金
出国机会
专业培训
年终奖金
绩效奖金
弹性工作
员工旅游",https://jobs.51job.com/all/coA2BXOgNlBT1UNVM1AmI.html,中国平安人寿保险股份有限公司无锡中心支公司,民营  |  10000人以上,保险
https://jobs.51job.com/guangzhou/142353039.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,诚聘综合金融销售经理,03-07发布,1-2万,广州·天河区,无需经验,大专,"保险
岗位津贴
季度奖
外出旅游",https://jobs.51job.com/all/coA2IFYFM0UWdVMQFrAmU.html,广州艺凡商务服务有限公司,民营  |  少于50人,互联网/电子商务
https://jobs.51job.com/hangzhou/140400281.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融信贷经理+精准客户+高提成,03-09发布,3-6万,杭州·上城区,无需经验,大专,"五险一金
通讯补贴
年终奖金
专业培训
员工旅游
业绩奖金
工龄奖金
下午茶
信贷
电销
面销
金融
公司提供资源
贷款",https://jobs.51job.com/all/coVjYGZQBiUmgHZQJpB2Q.html,杭州以融网络信息科技有限公司,民营  |  50-150人,信托/担保/拍卖/典当
https://jobs.51job.com/jiaxing/146654461.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,2023届春招-小微金融培训生（嘉兴分行）(002794),03-09发布,6千-1万,嘉兴,无需经验,本科,"五险一金
交通补贴
餐饮补贴
通讯补贴
专业培训
年终奖金",https://jobs.51job.com/all/coB2VTNFAzBzACYQNjB2I.html,台州银行股份有限公司嘉兴分行,外资（欧美）  |  50-150人,银行
https://jobs.51job.com/shenzhen/146235101.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融贷款销售-新人培训-精准客户,03-09发布,1.5-3万,深圳·福田区,1年,,"销售
金融
拜访客户
跟进客户
邀约
贷款
房贷
开发客户
展业
五险一金
员工旅游
专业培训
弹性工作
绩效奖金",https://jobs.51job.com/all/coBmcCYAVkU2xWMFAyUDY.html,深圳市华铭信信息咨询有限公司,民营  ,计算机软件
https://jobs.51job.com/changsha/144305912.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融技术专员,03-09发布,6千-1.2万,长沙·开福区,1年,本科,"金融
期货
证券
市场走势
经济
外汇
五险一金
专业培训
绩效奖金
弹性工作",https://jobs.51job.com/all/coVDVSMwdkVWoDZgJmVTk.html,福建天宜软件科技有限公司,民营  ,计算机软件
https://jobs.51job.com/changsha/146717972.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融数据分析师,03-09发布,1.2-2.2万,长沙·岳麓区,3-4年,本科,"数据分析
经济
数学
风险管理
统计分析
python
量化计算
风控策略
数据建模
bi系统
五险一金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
带薪假期",https://jobs.51job.com/all/coBGVXMlY0Vm8EZwVmXT8.html,富鸿资本（湖南）融资租赁有限公司,国企  |  50-150人,金融/投资/证券
