职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
期货营销经理,上海东证期货有限公司,5千-1万,郑州·郑东新区,本科,1年,"五险一金
补充医疗保险
补充公积金
餐饮补贴
交通补贴
绩效奖金
年终奖金
定期体检
弹性工作
专业培训
金融
期货
客户开发
营销推广",金融/投资/证券,,,国企  |  150-500人,,,,,
营销团队 HRBP,上海爱谱华顿电子科技（集团）有限公司上海分公司,1.5-2万,上海·浦东新区,本科,3-4年,"五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
带薪年假
做五休二",电子技术/半导体/集成电路,,,民营  |  1000-5000人,,,,,
价值营销-东创紫联,东风汽车集团股份有限公司,1-1.5万,襄阳,本科,3-4年,"带薪年假
交通补助
通讯津贴
午餐补助
定期体检
五险一金",汽车,,,国企  |  10000人以上,,,,,
数字化营销经理-岚图汽车,东风汽车集团股份有限公司,2.5-4万,武汉,本科,8-9年,"带薪年假
五险二金
年终奖金
补充商业保险
交通补贴
餐饮补贴
通讯补贴",汽车,,,国企  |  10000人以上,,,,,
产品营销管理-岚图汽车,东风汽车集团股份有限公司,1.5-2.5万,武汉,本科,3-4年,"带薪年假
五险二金
年终奖金
补充商业保险
交通补贴
餐饮补贴
通讯补贴",汽车,,,国企  |  10000人以上,,,,,
营销总部VAN车事业部副总经理,东风汽车集团股份有限公司,3-3.3万,湖北省,本科,5-7年,"五险二金
生日慰问
节日慰问
定期体检
补充商业保险
交通补贴
餐饮补贴
通讯补贴
年终奖金",汽车,,,国企  |  10000人以上,,,,,
营销大区总经理,兴三星云科技股份有限公司,50-100万/年,海宁,大专,8-9年,"五险一金
全勤奖
节日福利
加班补贴
住房补贴
弹性工作
餐饮补贴
通讯补贴",建筑/建材/工程,,,民营  |  1000-5000人,,,,,
国内营销人员,广东珠江管业集团有限公司,7千-1.3万,广州·海珠区,大专,1年,"销售代表
业务员
客户代表",多元化业务集团公司,,,民营  |  150-500人,,,,,
营销员,安徽建工建材科技集团有限公司,5千-1万,济南·历下区,本科,无需经验,"节日福利
交通补贴
餐饮补贴
高温补贴
五险一金
包三餐
年终奖金
周末双休
销售
销售代表
渠道销售
直销销售
业务员
客户代表",建筑/建材/工程,,,国企  |  500-1000人,,,,,
市场/营销/拓展专员/顾问,诺康方舟联合（武汉）国医养生馆,1-1.6万,武汉·武昌区,大专,2年,"五险一金
年终奖金
员工旅游
绩效奖金
通讯补贴
专业培训
医药
快消品
销售
市场营销
营销
客户关系
市场开拓管理
保健",生活服务,,,民营  |  少于50人,,,,,
营销策划总监,苏州希盟科技股份有限公司,4-7万,昆山,大专,10年以上,"五险一金
员工旅游
股票期权
年终奖金
绩效奖金
餐饮补贴
通讯补贴",仪器仪表/工业自动化,,,民营  |  150-500人,,,,,
营销助理/专员,深圳柏睿网络科技有限公司,8千-1.2万,深圳·南山区,本科,2年,"商务助理
商务专员
商务
销售助理
市场营销
跟单
大客户销售
总经理助理
营销推广
在线营销
专业培训
员工旅游
通讯补贴
年终奖金
弹性工作
五险一金
交通补贴
绩效奖金",计算机服务(系统、数据服务、维修),,,民营  |  少于50人,,,,,
营销策划经理,上海优智者科技有限公司,1-1.5万,上海·松江区,大专,2年,"营销策划
照明
文案策划
终端陈列
促销推广
营销推广
优化方案
用户研究
建材行业
餐饮补贴
专业培训
绩效奖金
弹性工作",建筑/建材/工程,,,民营  |  50-150人,,,,,
市场营销专员+房产+底薪5000+,合肥盛丰房产代理销售有限公司,0.8-1万,合肥·庐阳区,大专,无需经验,"绩效奖金
全勤奖
专业培训
带薪年假
节日福利
团建
五险一金
弹性工作
销售
置业顾问
销售代表
电话销售
房地产
渠道销售
房产销售
房产经纪人",房地产,,,民营  ,,,,,
市场营销经理,广东玺俊营销有限公司,8千-1.5万,江门·台山市,中技/中专,1年,"饮料
快消品
城市经理
营销经理
区域经理
交通补贴
通讯补贴
专业培训
弹性工作",批发/零售,,,民营  ,,,,,
营销督导,联想（上海）信息技术有限公司,5-7千,杭州·拱墅区,大专,1年,市场营销,计算机服务(系统、数据服务、维修),,,已上市  |  10000人以上,,,,,
全渠道营销/项目营销,壹品慧生活科技有限公司,7-9千,深圳·罗湖区,大专,2年,"五险一金
餐饮补贴
绩效奖金
年终奖金
通讯补贴
交通补贴",互联网/电子商务,,,民营  |  500-1000人,,,,,
营销总监（婴儿食品）,福建富佳宝食品科技有限公司,1-2万,漳州,大专,8-9年,"母婴
婴儿食品
经销商
市场营销
营养品
五险
晋升空间
提供食宿
通讯补贴
交通补贴
绩效奖金",快速消费品(食品、饮料、化妆品),,,民营  |  500-1000人,,,,,
3D建模专员(数字营销类),浙江宇视科技有限公司,7千-1.4万,杭州,大专,无需经验,"五险一金
餐饮补贴
定期体检
绩效奖金
年终奖金
弹性工作
员工旅游
专业培训
通讯补贴",计算机软件,,,民营  |  1000-5000人,,,,,
海外数字营销专员,浙江宇视科技有限公司,1-1.5万·14薪,杭州,本科,无需经验,"五险一金
专业培训
出国机会
年终奖金
绩效奖金
定期体检
通讯补贴",计算机软件,,,民营  |  1000-5000人,,,,,
营销总监,湛江市正裕房地产开发有限公司,50-80万/年,湛江·坡头区,大专,10年以上,"房地产
市场营销
营销
营销策划管理
房地产项目
团队领导
管理团队
年终奖金
包吃包住
专业培训
通讯补贴
工作餐
节日福利",房地产,,,民营  |  50-150人,,,,,
西宁营销顾问,国泰新点软件股份有限公司,7-9千,西宁,本科,2年,"五险一金
专业培训
定期体检
法定节假日
绩效奖金
旅游基金
生日福利
定期体验
过节费
带薪年假
销售
招投标",计算机软件,,,已上市  |  5000-10000人,,,,,
网络营销专员,上海微联实业有限公司,4-8千,上海·闵行区,中技/中专,2年,"做五休二
周末双休
带薪年假
五险一金
节日福利
网站维护
网络营销
公众号维护
网络销售
IT专员
半导体材料
电子胶粘剂
铝合金材料",电子技术/半导体/集成电路,,,合资  |  少于50人,,,,,
急聘市场营销专员7K有住宿,深圳市乐有家控股集团有限公司,7千-1.4万,深圳,大专,无需经验,"五险一金
通讯补贴
餐饮补贴
绩效奖金
弹性工作
专业培训
员工旅游",房地产,,,民营  |  10000人以上,,,,,
本科7500底薪+提成另算+营销副总经理带教,深圳市乐有家控股集团有限公司,7千-1.4万,深圳·龙岗区,大专,无需经验,"五险一金
专业培训
弹性工作
出国机会",房地产,,,民营  |  10000人以上,,,,,
新媒体营销,中赋投资管理（上海）有限公司,1-1.5万,上海·黄浦区,大专,3-4年,"自媒体
视频
公众号
电商
五险一金
员工旅游",金融/投资/证券,,,民营  |  少于50人,,,,,
市场/营销/拓展经理,深圳市鑫景福科技有限公司,1.5-1.8万·13薪,深圳·宝安区,大专,5-7年,"推广
品牌宣传
外联
文案策划
跨部门沟通
推广活动策划
独立站运营
市场企划
管理团队
事务对接
年终奖金
餐饮补贴
员工旅游
通讯补贴
专业培训
出国机会",电子技术/半导体/集成电路,,,民营  |  150-500人,,,,,
营销专员,北京迈淩医疗技术发展有限公司,4-8千,大连·高新园区,,1年,"五险一金
免费班车",医疗设备/器械,,,民营  |  150-500人,,,,,
网络营销总监,意梓（上海）电子商务有限公司,30-60万/年,上海·静安区,本科,3-4年,"网络营销
管理
市场策略
出国机会
五险一金
员工旅游
通讯补贴",互联网/电子商务,,,外资（欧美）  |  50-150人,,,,,
市场/营销/拓展专员,东莞市嘉曜兴包装制品有限公司,6-9千,东莞,本科,1年,"市场营销
撰写文案
市场推广
五险一金
全勤奖
专业培训",印刷/包装/造纸,,,民营  |  500-1000人,,,,,
市场营销总监（北京）,深圳市朗坤环境集团股份有限公司,2-3.5万,北京·通州区,本科,3-4年,"销售
市场营销",环保,,,民营  |  1000-5000人,,,,,
营销经理,三一汽车起重机械有限公司,1-1.6万·13薪,长沙·宁乡市,大专,3-4年,"销售
机械
市场营销
市场调研
客户关系维护
销售合同谈判
商务谈判
五险一金
免费班车
餐饮补贴
交通补贴
股票期权
专业培训
出国机会
年终奖金",机械/设备/重工,,,民营  |  少于50人,,,,,
市场营销经理,济南卓高建材有限公司,6千-1万,济南·槐荫区,大专,3-4年,"五险
节日福利
全勤奖
绩效奖金",建筑/建材/工程,,,民营  |  1000-5000人,,,,,
市场营销经理,济南卓高建材有限公司,6千-1.2万,济南·槐荫区,大专,3-4年,"五险
节日福利
绩效奖金
高提成",建筑/建材/工程,,,民营  |  1000-5000人,,,,,
网络营销,中山合家欢便利店有限公司,3-6千,中山·东区,,3-4年,"全勤奖
节日福利
专业培训
交通补贴
通讯补贴
绩效奖金
社保
网络营销
销售专员
招商专员",批发/零售,,,民营  |  50-150人,,,,,
市场营销专员,广州市野草科技有限责任公司,5-8.5千,广州·黄埔区,中技/中专,无需经验,"弹性工作
包住宿
五险一金
全勤奖
专业培训
绩效奖金
节日福利
员工旅游
美女帅哥多
国内外旅游
渠道销售
直销销售
电话销售
业务员
客户代表",互联网/电子商务,,,民营  |  50-150人,,,,,
电话营销岗,招商信诺人寿保险有限公司,8千-1万,成都·龙泉驿区,大专,1年,,保险,,,合资  |  5000-10000人,,,,,
济南_社群运营_公考项目_私域运营营销策划,海纳鸿图教育咨询（山东）有限公司,6千-1.2万,济南,大专,1年,"数据分析
新媒体
社群运营
私域流量
营销策划
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
弹性工作
股票期权",教育/培训/院校,,,民营  |  少于50人,,,,,
营销总监,广州惠方新材料科技有限公司,1-2万,广州·黄埔区,大专,3-4年,"五险一金
餐饮补贴
项目奖励",医疗设备/器械,,,民营  |  少于50人,,,,,
营销管理岗,蓝星工程有限公司,1-1.5万,北京·顺义区,本科,3-4年,"五险一金
补充医疗保险
餐饮补贴
定期体检
绩效奖金
免费班车
专业培训",石油/化工/矿产/地质,,,国企  |  150-500人,,,,,
市场营销专员（江苏区域）,上海市安装工程集团有限公司武汉分公司,8千-1万,武汉,本科,5-7年,"市场营销
投标
建筑工程
机电安装
市场开拓
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
工会福利",建筑/建材/工程,,,民营  |  500-1000人,,,,,
营销中心南部分中心销售经理,广州广哈通信股份有限公司,8千-1.5万·13薪,广州,本科,2年,"销售
客户关系维护
五险一金
专业培训
年终奖金
弹性工作
定期体检
篮球/羽毛球
通讯补贴
绩效奖金",通信/电信/网络设备,,,已上市  |  150-500人,,,,,
HRBP专员-营销中心,上海诺赛泵业制造有限公司,6-7.5千,上海·松江区,大专,2年,"招聘
营销
简历筛选
招聘渠道
入职
面试邀约
营销报表
执行计划
会议记录
专业培训
绩效奖金
通讯补贴
五险
节日福利",机械/设备/重工,,,合资  |  50-150人,,,,,
OTC业务经理（合肥营销中心）,安徽惠丰国药有限公司,6千-1.2万,合肥·包河区,大专,3-4年,"医药行业
中医药
中药饮片销售
员工旅游
通讯补贴
绩效奖金
年终奖金
定期体检
节日福利
带薪年假
生日福利",制药/生物工程,,,民营  |  150-500人,,,,,
市场营销主管,太平人寿保险有限公司北京分公司,8千-1.6万,北京·海淀区,大专,2年,"市场营销
专业培训
补充医疗保险
绩效奖金
弹性工作",保险,,,民营  ,,,,,
营销专员,八匹马新能源科技有限公司,3.5-7千,海口·龙华区,大专,1年,"五险一金
餐饮补贴
绩效奖金
专业培训
销售
汽车行业
二手车销售
新能源车",交通/运输/物流,,,民营  |  150-500人,,,,,
营销总监,必果文创（北京）科技有限公司,2-3万,广州·天河区,本科,5-7年,"市场营销
游戏营销
五险一金
定期体检
周末双休
包餐
零食下午茶
不加班
管理轻松
年终奖金
团队稳定
氛围轻松",网络游戏,,,民营  |  50-150人,,,,,
营销主管(J10065),湖南法恩莱特新能源科技有限公司,6-8千,柳州·鹿寨县,本科,3-4年,"五险一金
餐饮补贴
年终奖金
住宿补贴",新能源,,,民营  |  150-500人,,,,,
营销经理助理,深圳市济世堂医生集团有限公司,5-8千,广州·番禺区,大专,2年,"营销，业务
员工旅游
弹性工作
餐饮补贴
专业培训
绩效奖金",医疗/护理/卫生,,,民营  |  50-150人,,,,,
市场营销专员,上海俊纳商贸发展有限公司,1-1.5万·13薪,上海·徐汇区,本科,2年,"五险一金
补充公积金
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检
补充医疗保险
通讯补贴",贸易/进出口,,,合资  |  少于50人,,,,,
营销编辑,北京传文启智文化传播有限公司,6千-1.2万,北京·朝阳区,本科,2年,"五险一金
餐饮补贴
年终奖金",文字媒体/出版,,,国企  |  少于50人,,,,,
市场/营销专员,辽宁正泰电器销售有限公司,4-5千,沈阳·和平区,大专,1年,"五险一金
绩效奖金
全勤奖
节日福利
营销专员
奖金丰厚
立即上岗",批发/零售,,,民营  |  50-150人,,,,,
营销结算统计员（周末双休）,福州泰普医学检验所有限公司,4-6千,福州,大专,2年,"会计
五险一金
通讯补贴
员工旅游
绩效奖金
年终奖金
高温补贴
节日福利
带薪年假
做五休二
住房补贴",医疗设备/器械,,,民营  |  50-150人,,,,,
营销精英（工作地点：广州）,广发银行股份有限公司信用卡中心,1-2万,广州·天河区,大专,1年,"五险一金
专业培训
绩效奖金
年终奖金
销售
保险行业
电话外呼
客户信息审核
信用卡
需求沟通",银行,,,国企  |  10000人以上,,,,,
市场/营销/扩展专员+食宿,湖南安拓贸易有限公司,4-8千,长沙·芙蓉区,,无需经验,"五险一金
年终奖金
绩效奖金
专业培训
销售
销售代表
销售专员
业务员
客户代表
销售顾问
区域销售",快速消费品(食品、饮料、化妆品),,,民营  |  50-150人,,,,,
营销总监,广州白云新天地置业有限公司,1.2-2万,广州·白云区,本科,8-9年,"购买社保
提供中餐",房地产,,,民营  |  50-150人,,,,,
营销大区经理（社保+节日福利）,河南今三麦食品有限公司,9千-1.8万,驻马店,大专,3-4年,"绩效奖金
交通补贴
专业培训",快速消费品(食品、饮料、化妆品),,,民营  |  1000-5000人,,,,,
营销推广专员,南京威法家居有限公司,7千-1.3万,南京·秦淮区,大专,2年,"内容营销
市场推广
小红书运营
抖音运营
文案策划
节日福利
绩效奖金
带薪年假
专业培训
五险一金
年终奖金
员工旅游",家居/室内设计/装潢,,,民营  |  50-150人,,,,,
市场/营销/拓展专员,四川诚翔餐饮管理有限公司,5千-1万,成都·金牛区,大专,1年,,餐饮业,,,民营  |  少于50人,,,,,
营销总监助理（楚邦）,杭州聚艺企业管理有限公司,6千-1万,杭州·余杭区,大专,2年,"员工旅游
带薪年假
节假日福利
五险
通讯补贴
交通补贴",物业管理/商业中心,,,民营  |  50-150人,,,,,
营销官培生/接受实习生/有住宿,深圳市乐有家控股集团有限公司,6千-1.2万,深圳·福田区,大专,无需经验,"营销
营销管培
五险一金
专业培训
弹性工作
绩效奖金
餐饮补贴
员工旅游
住房补贴
提供住宿
牛人带队
自主创业",房地产,,,民营  |  10000人以上,,,,,
营销文案策划（B端客户销售）,广东合生信息科技有限公司,1-1.6万,广州,本科,3-4年,营销策划,计算机软件,,,民营  |  1000-5000人,,,,,
营销部长,银讯汽车部件（重庆）有限公司,18-25万/年,重庆·江北区,本科,10年以上,"交通补贴
专业培训
通讯补贴
年终奖金
工作餐
生日福利
节假日福利",汽车零配件,,,民营  |  50-150人,,,,,
高级营销专员,龙元明筑,8千-1.2万·14薪,上海·闵行区,大专,2年,"带薪年假
周末双休
五险一金
绩效奖金
全勤奖
节日福利
餐饮补贴
交通补贴",建筑/建材/工程,,,民营  |  50-150人,,,,,
市场营销助理,兰洋（宁波）科技有限公司,5-8千,宁波·鄞州区,大专,无需经验,"市场分析
电子产品
业务洽谈
业务开发
弹性工作
绩效奖金
五险一金
包住宿
带薪年假
餐饮补贴
住房补贴",新能源,,,民营  |  50-150人,,,,,
营销部负责人,瑞诗房地产开发（上海）有限公司,3-4万,上海,本科,8-9年,"五险一金
补充公积金
交通补贴
餐饮补贴
通讯补贴
专业培训
年终奖金
定期体检
市场
营销
租售",房地产,,,已上市  |  150-500人,,,,,
市场/营销/拓展专员,深圳前海星航网科技物流有限公司,6-8千·13薪,深圳·宝安区,大专,1年,"成本控制
推广
电脑
外贸
空运
询价
搜集市场信息
空运市场专员
空运市场
五险一金
员工旅游
专业培训
年终奖金
定期体检",交通/运输/物流,,,民营  |  少于50人,,,,,
营销策划主管,陕西丹凤葡萄酒销售有限公司,4-5千,商洛,大专,3-4年,"营销方案
线下营销策划
五险
定期体检
年终奖金
节日福利
带薪年假
即时奖金",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
双休客服营销,中美联泰大都会人寿保险有限公司,9千-1.2万,重庆·渝中区,大专,无需经验,"六险一金
专业培训
员工旅游
绩效奖金
定期体检
团建活动丰富
工作氛围欢乐
周末节假日休",保险,,,外资（欧美）  |  10000人以上,,,,,
市场营销运营经理,深圳筑造建设有限公司,1-2万,深圳·宝安区,大专,5-7年,"年终奖金
绩效奖金
周末双休
带薪年假
五险
员工旅游
全勤奖",家居/室内设计/装潢,,,民营  |  50-150人,,,,,
电话营销专员,小雨伞保险经纪有限公司深圳分公司,6千-1.2万,深圳·福田区,大专,1年,"电话销售
销售
销售代表
客户代表
网络销售
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
弹性工作
定期体检
做五休二
全勤奖
节日福利",互联网/电子商务,,,民营  |  500-1000人,,,,,
营销经理,苏交科集团股份有限公司,1.5-2.5万,南京·江宁区,本科,2年,"五险一金
餐饮补贴
定期体检
补充医疗保险
交通补贴
通讯补贴
年终奖金
带薪年假
职工食堂
免费停车",建筑/建材/工程,,,已上市  |  5000-10000人,,,,,
龙泉驿区客服营销岗+底薪4.2k+入职六险一金,招商信诺人寿保险有限公司,8千-1万,成都·龙泉驿区,大专,1年,,保险,,,合资  |  5000-10000人,,,,,
超级宝量化指标系统营销经理,武汉德正金诺资本投资管理合伙企业（有限合伙）,990元/天,武汉·武昌区,,1年,"专业培训
弹性工作
年终奖金
绩效奖金
软件
股票交易软件
期货交易软件
外汇交易软件
量化行情软件",专业服务(咨询、人力资源、财会),,,民营  |  少于50人,,,,,
电话营销员（电销专员）,东莞市合宝汽车销售服务有限公司,1-1.5万,东莞·南城区,中技/中专,1年,"节日福利
专业培训
提供食宿
绩效奖金
定期体检
弹性工作
员工旅游
生日福利
购买社保
电话销售",汽车,,,合资  |  150-500人,,,,,
营销经理,南充市君信财务服务有限公司,1-1.6万,南充,大专,3-4年,"市场营销
市场开拓
市场分析
营销管理
市场开发
关系维护
业务拓展
会销
财税顾问
谈判
绩效奖金
年终奖金
员工旅游
节日福利
通讯补贴
周末双休
五险
年终分红",专业服务(咨询、人力资源、财会),,,民营  |  少于50人,,,,,
OTC营销总监,武汉维奥营销管理有限公司,20-38万/年,武汉,大专,3-4年,"otc销售
团队管理
营销规划
营销预算
目标实施
五险一金
交通补贴
年终奖金",批发/零售,,,民营  |  50-150人,,,,,
营销经理,苏州中卫宝佳净化科技有限公司,6千-1.2万·13薪,苏州·吴江区,大专,2年,"营销
暖通
销售
客户开发管理
分析潜在客户
专业培训
员工旅游
周末双休
年终奖金
绩效奖金
提供午餐",建筑/建材/工程,,,民营  |  150-500人,,,,,
营销总监（上海）,深圳市易飞扬通信技术有限公司,3-4万·14薪,上海·浦东新区,硕士,8-9年,"销售
光通信行业
高速线缆
DAC线缆
AOC线缆
周末双休
带薪年假
五险一金
餐饮补贴
加班补贴
年终奖金
股票期权
绩效奖金
弹性工作
业绩提成",通信/电信/网络设备,,,民营  |  500-1000人,,,,,
南通中支银保营销部CSP培训岗,阳光人寿保险股份有限公司江苏分公司,4-8千,南通·崇川区,本科,1年,"五险一金
年终奖金
定期体检
补充公积金
补充医疗保险
专业培训
通讯补贴
餐饮补贴
交通补贴",保险,,,民营  |  150-500人,,,,,
营销高储（未来总裁）,深圳市乐有家控股集团有限公司,7.5千-1.5万,东莞·常平镇,本科,1年,"营销
管理
搭建营销团队
执行落地
门店日常管理
专业培训
五险一金
绩效奖金
就近安排
晋升空间大",房地产,,,民营  |  10000人以上,,,,,
营销助理,上海争飞科技发展有限公司,5-7千,上海·嘉定区,大专,无需经验,"做五休二
周末双休
五险一金
带薪年假
绩效奖金
全勤奖
节日福利
交通补贴
餐饮补贴
通讯补贴
营销
内勤
客服
销售助理
网络客服
在线客服
电话客服
营销推广
助理
网络推广",石油/化工/矿产/地质,,,民营  |  少于50人,,,,,
市场营销经理,顺昌润滑油（广东）有限公司,8千-1万,江门,本科,5-7年,"快消品
品牌推广
品牌建设
五险一金
定期体检
员工旅游
年终奖金
免费班车
专业培训",石油/化工/矿产/地质,,,外资（非欧美）  |  50-150人,,,,,
销售助理/营销支持文员,益海嘉里食品营销有限公司武汉分公司,6-8千,武汉,大专,1年,"销售助理
营销支持
文员
周末双休
五险一金
免费班车
员工旅游
餐饮补贴
绩效奖金
定期体检",快速消费品(食品、饮料、化妆品),,,外资（非欧美）  |  500-1000人,,,,,
日语营销总监,沪江网校,3-5万,上海·杨浦区,硕士,8-9年,"五险一金
弹性工作
节日福利
餐饮补贴",互联网/电子商务,,,民营  |  1000-5000人,,,,,
奶粉创新品类营销主管-海南办5779,健合集团—BNC事业部,1.5-1.8万·13薪,海口,大专,3-4年,"五险一金
通讯补贴
绩效奖金
年终奖金
弹性工作",快速消费品(食品、饮料、化妆品),,,外资（欧美）  |  1000-5000人,,,,,
海外营销部 营销经理,张家港富瑞阀门有限公司,12-20万/年,张家港,本科,3-4年,"外贸
销售
海外
节日福利
五险一金
周末双休
带薪年假
出国机会
定期体检
提供住宿
绩效奖金
专业培训",机械/设备/重工,,,已上市  |  1000-5000人,,,,,
营销总监/经理,浙江网驿产业园运营管理有限公司,12-18万/年,杭州·滨江区,大专,2年,"销售
营销
团队管理
销售绩效考核
团队培训
招商
绩效奖金
年底奖金
节日福利
专业培训
餐饮补贴
通讯补贴
交通补贴
住房补贴
社险",房地产,,,民营  |  50-150人,,,,,
市场营销管培生,广州艾玫格生物科技有限公司,6-9千,广州·天河区,本科,无需经验,"英语
市场营销
培训生
周末双休
带薪年假
五险一金
专业培训
交通补贴
餐饮补贴
通讯补贴
年终奖金
员工旅游",快速消费品(食品、饮料、化妆品),,,民营  |  少于50人,,,,,
市场营销主管[美克美家海口],美克家居-美克美家,8千-1.2万,海口,大专,3-4年,"带薪年假
五险一金
绩效奖金
节日福利
做五休二
弹性工作
交通补贴
餐饮补贴
专业培训",家具/家电/玩具/礼品,,,已上市  |  10000人以上,,,,,
POCT产品经理（营销端）,上海科华生物工程股份有限公司,1.5-2.5万,上海,本科,5-7年,"五险一金
年终奖金
绩效奖金",医疗设备/器械,,,已上市  |  1000-5000人,,,,,
营销业务助理,师宗县沃莱迪金属材料有限公司,4-6千,昆明·呈贡区,大专,1年,"带薪年假
包住宿
绩效奖金
五险一金
定期体检",采掘业/冶炼,,,国企  |  500-1000人,,,,,
营销专员,浙江非攻机械有限公司,5-8千,苏州,高中,无需经验,"五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
股票期权
年终奖金
绩效奖金
定期体检
营销
品牌推广
渠道",机械/设备/重工,,,外资（非欧美）  |  少于50人,,,,,
营销策划专员(J10076),宁波三生生物科技股份有限公司,7千-1万·13薪,宁波,本科,1年,"五险一金
绩效奖金
节日福利
专业培训
高温补贴
带薪年假",制药/生物工程,,,民营  |  150-500人,,,,,
HRBP（营销+研发）,上海朋到企业管理咨询有限公司,1.5-2.5万,上海·闵行区,本科,5-7年,,专业服务(咨询、人力资源、财会),,,民营  |  少于50人,,,,,
营销储备干部,武汉盛大神农生物工程有限公司,6-7千,武汉·东湖新技术产业开发区,本科,1年,"销售
经销商管理
客情维护
农业
学生干部
客户拜访
服务
通讯补贴
交通补贴
餐饮补贴
绩效奖金
员工旅游
年终奖金
专业培训
五险一金",农/林/牧/渔,,,民营  |  50-150人,,,,,
营销总监,广东先达数控机械有限公司,20-30万/年,佛山,本科,5-7年,"销售管理
市场
营销
总监
销售
员工旅游
社保
节日福利
带薪年假
工费培训
餐饮补贴",机械/设备/重工,,,民营  |  150-500人,,,,,
海外kol网红营销专员,广州市玛速玛汽车零部件有限公司,8千-1万,广州·花都区,大专,3-4年,"策划方案
英语4级
行业媒体
红人资源
茶水间
全勤奖
包吃包住
医保社保
奖金提成
节日福利
不定期团建",批发/零售,,,民营  |  500-1000人,,,,,
营销总监（ToB/G）,深圳市怡亚通供应链股份有限公司,2-3万·13薪,深圳·龙岗区,本科,5-7年,"线下路演
客户管理
营销管理
***体系
周末双休
五险一金
绩效奖金
免费班车
餐饮补贴
带薪年假
专业培训
年终奖金
定期体检",多元化业务集团公司,,,已上市  |  10000人以上,,,,,
（不外跑+双休）营销代表,中美联泰大都会人寿保险有限公司,1-1.5万,重庆·渝中区,大专,无需经验,"六险一金
绩效奖金
补充医疗保险
带薪培训
定期体检
电话销售
销售代表
销售",金融/投资/证券,,,外资（欧美）  |  10000人以上,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,廊坊,大专,5-7年,"导航
遥感
开拓市场
农业
商务洽谈
水利
软件产品
政府行业
销售
合同签订
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
畅游营销运营,美团,1.3-2万,北京·朝阳区,,5-7年,,互联网/电子商务,,,已上市  |  10000人以上,,,,,
市场营销专员,郑州市倾程众联网络科技有限公司,0.8-1万,邓州,,无需经验,"销售代表
市场专员
客户经理
弹性工作
五险一金
绩效奖金
交通补贴
节日福利",计算机软件,,,民营  |  少于50人,,,,,
市场营销专员,郑州市倾程众联网络科技有限公司,0.8-1万,平顶山,,无需经验,"销售代表
市场专员
客户经理
弹性工作
五险一金
绩效奖金
交通补贴
节日福利",计算机软件,,,民营  |  少于50人,,,,,
市场/营销/拓展主管,中安盛世（北京）土地房地产评估有限责任公司,3-4.5千,北京·朝阳区,大专,1年,,房地产,,,民营  |  少于50人,,,,,
渠道营销（中珠）,华润雪花啤酒,8千-1万·13薪,中山,本科,2年,"交通补贴
餐饮补贴
通讯补贴
年终奖金
专业培训
定期体检
国企编制
六险二金
快消品行业
市场营销
市场策划
市场推广",快速消费品(食品、饮料、化妆品),,,国企  |  10000人以上,,,,,
营销经理,三一汽车起重机械有限公司,1-1.6万·13薪,长沙·宁乡市,大专,3-4年,"销售
机械
市场营销
市场调研
客户关系维护
销售合同谈判
商务谈判
五险一金
免费班车
餐饮补贴
交通补贴
股票期权
专业培训
出国机会
年终奖金",机械/设备/重工,,,民营  |  少于50人,,,,,
营销HRBP(J12817),浙江天正电气股份有限公司,1-1.5万,上海,本科,5-7年,"绩效奖金
五险一金
交通补贴
餐饮补贴
通讯补贴
员工旅游
免费班车
定期体检",多元化业务集团公司,,,民营  |  1000-5000人,,,,,
区域营销总监,四川力士达照明设备股份有限公司,1-1.5万,成都·温江区,大专,5-7年,"销售
需求分析
市场营销
销售计划
目标分解
政府资源
区域客户关系
沟通渠道
驾驶
协调
五险一金
节日福利
专业培训
员工旅游
包吃包住
通讯补贴
绩效奖金
交通补贴
餐饮补贴
业绩提成",政府/公共事业,,,民营  |  150-500人,,,,,
集团营销管理部部长（副部长）,杭州市房地产开发集团有限公司,3.5-4万,杭州·拱墅区,本科,10年以上,"房地产
带薪年假
五险一金
节日福利
高温补贴
通讯补贴
餐饮补贴",房地产,,,国企  |  50-150人,,,,,
营销业务员,广东百捷教育投资有限公司,5-6千,广州·白云区,大专,3-4年,"图书出版发行
大中专院校
教材/教辅
教育
营销业务
销售业务
市场推广
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
弹性工作
员工旅游
专业培训",教育/培训/院校,,,民营  |  150-500人,,,,,
