职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
营销策划,襄阳市杨四郎生物科技有限公司,5-8千,武汉·洪山区,大专,2年,"方案撰写
市场动态
内容编辑
制定方案
活动策略
营销文案
新媒体渠道
绩效奖金
全勤奖
节日福利
带薪年假
加班补贴
通讯补贴",制药/生物工程,,,民营  |  150-500人,,,,,
广发银行信用卡岗（电话营销员,广发银行股份有限公司信用卡中心,6千-1万,成都·高新区,大专,1年,"带薪年假
五险一金
节日福利
年终奖金
朝九晚六
法定节假日
岗前带薪培训
银行正编机会
单双休
银行客服
客户主管
客户专员
客服
银行
业务员
销售
金融",银行,,,国企  |  10000人以上,,,,,
市场营销总监,深圳美莱口腔门诊部,4-6万,深圳·福田区,本科,3-4年,"广告
设计
市场营销
市场推广
品牌策划
市场策划
医疗
口腔
五险一金
年终奖金
绩效奖金
弹性工作
包吃中晚餐
员工旅游",医疗/护理/卫生,,,民营  |  150-500人,,,,,
主动营销专员,九牧厨卫苏南运营中心,7-8千·13薪,南京,大专,3-4年,"市场活动策划
执行落地
落地执行
交通补贴
餐饮补贴
通讯补贴
员工旅游
五险一金
绩效奖金
话补",建筑/建材/工程,,,民营  |  50-150人,,,,,
海外营销副总,深圳云普星河科技服务有限公司,2.5-5万,深圳·宝安区,本科,3-4年,"开发海外市场
海外市场开发
海外市场
营销管理
销售
市场战略规划
英语六级
产品销售
开发客户资源
客户资源
五险一金
包住宿
节日福利
餐饮补贴
带薪年假
年终奖金
空调公寓
风味餐厅
定期团建
弹性工作",印刷/包装/造纸,,,民营  |  1000-5000人,,,,,
营销专员,上海高羽代理记账有限公司,8千-1万,上海·虹口区,大专,1年,"销售
电销
市场营销
面销
拜访客户
寻找潜在客户
客户面谈
网销
洽谈
五险一金
员工旅游
通讯补贴
年终奖金",专业服务(咨询、人力资源、财会),,,民营  |  少于50人,,,,,
营销总监,上海中腾食品科技有限公司,2.5-3万,上海·松江区,本科,5-7年,"快消品
节日福利
加班补贴
包住宿
做五休二
周末双休
带薪年假
包吃
专业培训",餐饮业,,,民营  |  150-500人,,,,,
主动营销专员,九牧厨卫苏南运营中心,7-8千·13薪,南京,大专,3-4年,"市场活动策划
执行落地
落地执行
交通补贴
餐饮补贴
通讯补贴
员工旅游
五险一金
绩效奖金
话补",建筑/建材/工程,,,民营  |  50-150人,,,,,
市场营销经理,云南信威食品有限公司,4.5-6千,昆明·呈贡区,大专,1年,"市场营销
市场拓展
客户跟单
商务沟通
外贸专员
跟单销售
业务员
外贸助理
交通补贴
通讯补贴
专业培训
弹性工作
定期体检",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
