职位名称,薪酬,城市地区,工作经验要求,学历要求,公司福利,公司名称,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值,公司规模,公司类型,平均薪资,工资级别
人力资源总监/经理,1.5-3万,北京·海淀区,5-7年,大专,"五险一金
定期体检
周末双休
年终奖金",宁夏多维药业有限公司北京咨询分公司,民营  |  5000-10000人,制药/生物工程,一线,15000-30000,15000,30000,5000-10000人,民营,22500,二级
人力资源管理岗,6-8千,淮安·金湖县,无需经验,大专,"招聘
培训
薪酬绩效
员工关系
五险一金
专业培训
绩效奖金
股票期权
提供住宿
上市公司",牧原食品股份有限公司,已上市  |  10000人以上,农/林/牧/渔,三线,6000-8000,6000,8000,10000人以上,已上市,7000,四级
人力资源专员,6.5-8.5千·13薪,深圳·龙岗区,2年,本科,"招聘
人才发展
员工关系
五险一金
周末双休
节日福利
餐饮补贴
年终奖金",深圳市金荣达投资发展有限公司,民营  |  50-150人,物业管理/商业中心,一线,6500-8500,6500,8500,50-150人,民营,7500,四级
人力资源管理,5-8千,滁州,2年,本科,"人事
招聘
招聘专员
人事主管
五险一金
餐饮补贴
专业培训
免费住宿
节日福利",安徽扬子空调股份有限公司,民营  |  500-1000人,机械/设备/重工,三线,5000-8000,5000,8000,500-1000人,民营,6500,四级
人力资源经理,1-1.5万,广州,5-7年,大专,"人力资源经理
员工旅游
专业培训
节日福利
全勤奖
通讯补贴
社保",广州泰晟时尚科技有限公司,民营  |  150-500人,贸易/进出口,一线,10000-15000,10000,15000,150-500人,民营,12500,二级
人力资源专员,7千-1万,深圳,1年,本科,"人力资源
周末双休
五险一金
通讯补贴
餐饮补贴
补充医疗保险
免费班车
定期体检
节日福利",深圳市轴心自控技术有限公司,外资（欧美）  |  500-1000人,仪器仪表/工业自动化,一线,7000-10000,7000,10000,500-1000人,外资（欧美）,8500,三级
行政人力资源专员/主管（双休）,6-9千·13薪,广州·天河区,3-4年,本科,"行政
人力资源
员工关系
人事运营
薪酬福利
五险一金
专业培训
定期体检
周末双休
年底双薪",景鸿环球集团 EK INTERNATIONAL,外资（非欧美）  |  150-500人,专业服务(咨询、人力资源、财会),一线,6000-9000,6000,9000,150-500人,外资（非欧美）,7500,四级
人力资源主管,4.5-5千,济宁,1年,本科,"hrbp
招聘
薪酬绩效
考勤
人才发展
培训
员工关系
五险一金
专业培训
节日福利
定期体检
发展空间广阔
带薪年假
免费食宿",山东良福制药有限公司,民营  |  150-500人,制药/生物工程,三线,4500-5000,4500,5000,150-500人,民营,4750,五级
人力资源管理,1-2万,惠州·惠东县,8-9年,本科,"人力资源
团队管理
企业文化建设
人力资源战略
员工发展
人员结构
行政制度
组织建设
培训及评估
人才储备
五险一金
餐饮补贴
员工旅游
专业培训
绩效奖金
年终奖金
高温补贴
免费班车",南京沪江复合材料股份有限公司,已上市  |  150-500人,原材料和加工,二线,10000-20000,10000,20000,150-500人,已上市,15000,二级
人力资源岗-总部,6-7.5千,东莞·厚街镇,2年,本科,"招聘
人事专员
节日福利
五险一金
专业培训
周末双休",广东安德烈斯教育咨询有限公司,民营  |  1000-5000人,教育/培训/院校,新一线,6000-7500,6000,7500,1000-5000人,民营,6750,四级
