职位名称,薪酬,城市地区,工作经验要求,学历要求,公司福利,公司名称,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值,公司规模,公司类型,平均薪资,工资级别
人力资源主管—薪酬绩效方向,1-1.5万,北京·朝阳区,3-4年,本科,"人力资源
绩效管理
绩效考核方案
薪酬管理
人力资源管理
薪酬设计
数据分析
五险一金
补充医疗保险
餐饮补贴
绩效奖金
定期体检",首创京都期货有限公司,国企  |  50-150人,金融/投资/证券,一线,10000-15000,10000,15000,50-150人,国企,12500,二级
人力资源主管,6千-1万,西安·雁塔区,3-4年,本科,"人事主管
绩效奖金
年终奖金
员工旅游
专业培训
弹性工作",陕西通变电力建设集团有限公司,民营  |  50-150人,电气/电力/水利,新一线,6000-10000,6000,10000,50-150人,民营,8000,四级
月星集团-人力资源管理中心副总经理,4-4.5万,上海·普陀区,10年以上,本科,"绩效奖金
年终奖金
公司规模大
发展空间大",月星集团总部,民营  |  10000人以上,多元化业务集团公司,一线,40000-45000,40000,45000,10000人以上,民营,42500,一级
人力资源专员,6-8千,海口·龙华区,3-4年,大专,"人力专员
五险一金
年终奖金
绩效奖金",海南品慕景观工程有限公司,民营  |  50-150人,建筑/建材/工程,三线,6000-8000,6000,8000,50-150人,民营,7000,四级
人力资源总监,2.6-3万,广州,10年以上,本科,"五险一金
专业培训
周末双休
带薪年假
餐饮补贴
交通补贴",华邦美好家园养老集团有限公司,民营  |  1000-5000人,医疗/护理/卫生,一线,26000-30000,26000,30000,1000-5000人,民营,28000,一级
人力资源专员,4.5-6千,昆明·五华区,2年,大专,"专业培训
绩效奖金
年终奖金
餐饮补贴
节假日福利
五险",昆明珍茗食品有限责任公司,民营  |  500-1000人,快速消费品(食品、饮料、化妆品),二线,4500-6000,4500,6000,500-1000人,民营,5250,四级
人力资源管理,0.8-1万,深圳·南山区,5-7年,本科,"人事
人力资源
人事专员
周末双休
五险一金
带薪年假
包吃
免费班车
节日福利
通讯补贴
高温补贴
全勤奖",深圳新能电力开发设计院有限公司,创业公司  |  150-500人,电气/电力/水利,一线,08000-10000,8000,10000,150-500人,创业公司,9000,三级
人力资源助理,6-8千·13薪,北京·朝阳区,2年,大专,"五险一金
全勤奖
餐饮补贴
带薪年假
节日福利
年底双薪",上海风袅桐影服饰有限公司,民营  |  150-500人,批发/零售,一线,6000-8000,6000,8000,150-500人,民营,7000,四级
人力资源主管（国际化产业园）,9千-1.3万·13薪,深圳·龙岗区,5-7年,本科,"人事主管
人力发展
人事
招聘
五险一金
餐饮补贴
交通补贴
年终奖金
周末双休
国际化产业园",深圳市金荣达投资发展有限公司,民营  |  50-150人,物业管理/商业中心,一线,9000-13000,9000,13000,50-150人,民营,11000,三级
人力资源总监,2.5-4万·24薪,茂名,5-7年,本科,"培训
招聘
员工关系
人才发展
考勤
薪酬绩效
劳务派遣
人力资源规划
五险一金
通讯补贴
定期体检
节日福利
工作餐
带薪年假
周末双休
高温补贴",东华能源股份有限公司,已上市  |  1000-5000人,石油/化工/矿产/地质,四线,25000-40000,25000,40000,1000-5000人,已上市,32500,一级
人力资源主管,5-8千,荆门,5-7年,大专,"五险一金
包住宿
高温补贴
专业培训
带薪年假
节日福利
绩效奖金",湖北中迅长青科技有限公司,民营  |  150-500人,制药/生物工程,五线,5000-8000,5000,8000,150-500人,民营,6500,四级
人力资源总监,1.5-2万·14薪,武汉·洪山区,10年以上,本科,"人力资源总监
人力资源
人事经理
人事主管
人事副总
人事
人力资源管理
行政管理
人力行政管理
人力行政
通讯补贴
交通补贴
餐饮补贴
绩效奖金
员工旅游
年终奖金
专业培训
五险一金",武汉盛大神农生物工程有限公司,民营  |  50-150人,农/林/牧/渔,新一线,15000-20000,15000,20000,50-150人,民营,17500,二级
人事专员/人力资源管理,6.5-8千,九江,无需经验,本科,"人力资源管理
五险一金
补充医疗保险
补充公积金
免费班车
员工旅游
专业培训
出国机会
定期体检",巨石集团九江有限公司,已上市  |  1000-5000人,原材料和加工,三线,6500-8000,6500,8000,1000-5000人,已上市,7250,四级
人力资源主管,0.8-1万,太仓,2年,大专,"人事
人事主管
招聘
人力资源
人力
人力资源管理
人力资源主管
制造业
五险一金
交通补贴
餐饮补贴
年终奖金
专业培训",万宸环境科技有限公司,民营  |  50-150人,环保,新一线,08000-10000,8000,10000,50-150人,民营,9000,三级
人力资源经理,7千-1.2万,武汉·洪山区,3-4年,本科,"人事
人事主管
人事经理
绩效奖金
节日福利
专业培训
年终奖金
五险
弹性工作
通讯补贴",武汉华工后勤管理有限公司,民营  |  5000-10000人,餐饮业,新一线,7000-12000,7000,12000,5000-10000人,民营,9500,三级
人力资源经理,6-7千,惠州·惠城区,3-4年,大专,"员工招聘
人才盘点
弹性工作",广东省广窑记餐饮管理服务有限公司,民营  |  150-500人,餐饮业,二线,6000-7000,6000,7000,150-500人,民营,6500,四级
人力资源管理咨询岗（工匠城）,6千-1万,泸州,3-4年,本科,"专业培训
带薪年假
定期体检
交通补贴
六险两金",泸州老窖集团有限责任公司,国企  |  1000-5000人,多元化业务集团公司,四线,6000-10000,6000,10000,1000-5000人,国企,8000,四级
人力资源经理,1.5-2万,深圳,5-7年,本科,"人力资源
人力资源管理
团队建设
考核指标
人力资源体系
团队管理
招聘
企业文化建设
员工关系管理
绩效奖金
节日福利
五险一金
年终奖金
交通补贴
餐饮补贴",蛙来哒（广东）咨询管理有限公司,民营  |  1000-5000人,餐饮业,一线,15000-20000,15000,20000,1000-5000人,民营,17500,二级
人力资源储备主管,8千-1.6万,惠州·惠城区,2年,本科,"人力资源管理
人事管理
人力资源制度
人力资源
法律法规
员工关系管理
运营管理
员工激励
绩效管理
五险
意外险
节日福利",广东都乐健康管理咨询有限公司,民营  |  50-150人,美容/保健,二线,8000-16000,8000,16000,50-150人,民营,12000,三级
资深人力资源管理,6-8千·13薪,西安·雁塔区,5-7年,本科,"人力资源
人力资源管理
绩效管理
员工关系
绩效管理体系
薪资福利管理
培训培养体系
招聘管理
绩效评价
定岗定编
五险一金
员工旅游
餐饮补贴
年终奖金
定期体检
周末双休
全勤奖
节日福利
结婚礼金
生育礼金",西安华舜测量设备有限责任公司,民营  |  50-150人,仪器仪表/工业自动化,新一线,6000-8000,6000,8000,50-150人,民营,7000,四级
人力资源主管（内江）,5-8千,内江,3-4年,大专,"人力资源管理
五险一金
定期体检
周末双休
业绩奖励",四川效率源信息安全技术股份有限公司,民营  |  150-500人,计算机服务(系统、数据服务、维修),四线,5000-8000,5000,8000,150-500人,民营,6500,四级
人力资源部经理,1.5-2万,上海·静安区,8-9年,本科,"人力资源管理
人力资源战略
组织结构
绩效管理体系
人才发展体系
薪资体系
带薪年假
绩效奖金
补充公积金
交通补贴
餐饮补贴
通讯补贴
定期体检
五险一金",上海上柯医药有限公司,国企  |  150-500人,制药/生物工程,一线,15000-20000,15000,20000,150-500人,国企,17500,二级
人力资源储备主管,1-1.5万,深圳·龙岗区,3-4年,本科,"人力资源管理
人力资源
法律法规
员工激励
人力资源制度
员工关系管理
五险
意外险
节日福利",广东都乐健康管理咨询有限公司,民营  |  50-150人,美容/保健,一线,10000-15000,10000,15000,50-150人,民营,12500,二级
人力资源专员,4-6千,济宁,无需经验,本科,"人事
五险一金
做五休二
绩效奖金
年终奖金
弹性工作
专业培训
节日福利",山东良福制药有限公司,民营  |  150-500人,制药/生物工程,三线,4000-6000,4000,6000,150-500人,民营,5000,五级
人力资源主管,6-8千,东莞·东城区,3-4年,大专,"培训
招聘
员工关系
考勤
薪酬绩效
人才发展
专业培训
员工旅游
五险
包吃
包住宿
带薪年假",广东旗峰企业管理咨询有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),新一线,6000-8000,6000,8000,50-150人,民营,7000,四级
人力资源经理--合肥 (MJ000127),1.8-2.5万,苏州·工业园区,10年以上,本科,"五险一金
免费班车
员工旅游
餐饮补贴
年终奖金
绩效奖金
专业培训
定期体检",苏州智华汽车电子有限公司,民营  |  150-500人,汽车,新一线,18000-25000,18000,25000,150-500人,民营,21500,二级
人力资源管理（浦东高桥）,6-6.5千,上海·浦东新区,3-4年,大专,"五险一金
年终奖金
高温补贴
带薪年假
专业培训
餐饮补贴
节日福利",上海高桥捷派克石化工程建设有限公司,民营  |  1000-5000人,建筑/建材/工程,一线,6000-6500,6000,6500,1000-5000人,民营,6250,四级
人力资源主管,8千-1.2万·13薪,赣州·赣县区,5-7年,本科,"五险一金
年终奖金
定期体检
住房补助
节日福利
生日福利",江西恒创睿能新能源科技有限公司,民营  |  少于50人,新能源,三线,8000-12000,8000,12000,少于50人,民营,10000,三级
人力资源HRBP,5-7千,成都,5-7年,本科,"人力资源
人力资源管理
五险
年终奖金",成都正奇致远商贸有限公司,民营  |  少于50人,批发/零售,新一线,5000-7000,5000,7000,少于50人,民营,6000,四级
人力资源管理,1-1.5万,杭州·萧山区,1年,本科,"薪酬绩效
招聘
培训
轮岗
组织发展",顺发能城有限公司,民营  |  50-150人,建筑/建材/工程,新一线,10000-15000,10000,15000,50-150人,民营,12500,二级
人力资源高级专员/主管（工厂BP方向）,7千-1万·13薪,肇庆·四会市,3-4年,本科,"弹性工作
全勤奖
节日福利
专业培训
餐饮补贴
通讯补贴
社会保险
带薪年假",扬格艺术餐具有限公司,民营  |  150-500人,批发/零售,三线,7000-10000,7000,10000,150-500人,民营,8500,三级
人力资源经理,1-1.5万,邵阳,5-7年,本科,人事主管,东莞富兰地工具股份有限公司,民营  |  150-500人,机械/设备/重工,四线,10000-15000,10000,15000,150-500人,民营,12500,二级
人力资源专员,4.5-6千,成都·邛崃市,1年,本科,"薪酬统计
人力资源
招聘渠道
培训计划
绩效管理
校园招聘
人事档案管理
人员招聘培训
档案简历
行政人事
免费班车
专业培训
绩效奖金
年终奖金
通讯补贴
五险
包吃包住",昆明明超电缆有限公司,民营  |  1000-5000人,建筑/建材/工程,新一线,4500-6000,4500,6000,1000-5000人,民营,5250,四级
人力资源专员,5-6千,广州·花都区,2年,大专,"培训
行政
人力资源
人事
绩效管理
人力资源规划
员工招聘
人才梯队
考勤工资核算
制度建设
员工旅游
年终奖金
带薪年假
包吃
包住宿
社保
大小周休息",广州市比帝富塑胶五金制品有限公司,民营  |  50-150人,贸易/进出口,一线,5000-6000,5000,6000,50-150人,民营,5500,四级
人力资源部经理,6-7千,淮安,5-7年,大专,"人力资源
人力资源管理
行政管理
培训计划
企业文化建设
培训方案
薪酬政策
职业规划
劳动合同签订
企业管理
五险
员工旅游
年终奖金
绩效奖金
专业培训
定期体检
通讯补贴
生日福利",江苏创力教育科技发展有限公司,民营  |  50-150人,教育/培训/院校,三线,6000-7000,6000,7000,50-150人,民营,6500,四级
人力资源专员,5-8千·13薪,衡阳,5-7年,本科,"燃气发电
能源
生产技术
电力
五险一金
通讯补贴
定期体检
年终奖金
包吃
包住
补充医疗保险",湖南湘投国际投资有限公司,合资  |  150-500人,电气/电力/水利,三线,5000-8000,5000,8000,150-500人,合资,6500,四级
人力资源数字化岗,1-2万,南昌·青山湖区,5-7年,硕士,"节假日福利
五险一金",赣江新区创新产业投资有限公司,民营  |  50-150人,金融/投资/证券,二线,10000-20000,10000,20000,50-150人,民营,15000,二级
人力资源副部长,1-1.5万,铜陵,8-9年,本科,"五险一金
定期体检
员工旅游
年终奖金
周末双休
高温补贴
绩效奖金",上海申和投资有限公司,外资（非欧美）  |  500-1000人,电子技术/半导体/集成电路,四线,10000-15000,10000,15000,500-1000人,外资（非欧美）,12500,二级
人力资源专员,5-7千,成都,3-4年,本科,"五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
周末双休
带薪年假",成都大公博创信息技术有限公司,民营  |  150-500人,通信/电信/网络设备,新一线,5000-7000,5000,7000,150-500人,民营,6000,四级
人力资源专员,5-8千·13薪,成都·郫都区,2年,本科,"人力资源
员工考勤管理
员工关系管理
员工活动策划
劳动合同续签
转正
员工入职
绩效奖金
年终奖金
团队聚餐
全勤奖
优秀员工奖
六险一金",清陶（昆山）能源发展股份有限公司,民营  |  150-500人,新能源,新一线,5000-8000,5000,8000,150-500人,民营,6500,四级
人力资源总监,4-7千,昆明·官渡区,5-7年,本科,"招聘
人力资源
人才队伍建设
人力资源规划
专业培训
五险一金
周末双休
包吃包住
年终奖金
交通补贴",云南易通电气设备有限公司,民营  |  150-500人,机械/设备/重工,二线,4000-7000,4000,7000,150-500人,民营,5500,四级
人力资源经理/hrbp,9千-1.6万·15薪,深圳·罗湖区,5-7年,本科,"人力资源
人才招聘
绩效管理
培训
五险一金
餐饮补贴
通讯补贴
年终奖金
定期体检",中国燃气控股有限公司,合资  |  500-1000人,新能源,一线,9000-16000,9000,16000,500-1000人,合资,12500,二级
人力资源部总经理助理,1.5-2万,上海·浦东新区,5-7年,本科,"培训
招聘
人力资源管理
培训方案
金融行业
组织氛围建设
做五休二
周末双休
专业培训
五险一金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检",国金期货有限责任公司,已上市  |  150-500人,金融/投资/证券,一线,15000-20000,15000,20000,150-500人,已上市,17500,二级
人力资源专员,7-9千·14薪,杭州,1年,本科,"人力资源管理
校园招聘
人事管理
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金",浙江国自机器人技术股份有限公司,民营  |  500-1000人,仪器仪表/工业自动化,新一线,7000-9000,7000,9000,500-1000人,民营,8000,四级
