职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
整合营销负责人 (MJ006850),广州市钱大妈农产品有限公司,3-3.5万,湖州,大专,3-4年经验,营销策略,快速消费品(食品、饮料、化妆品),"岗位职责：1、	编制相应的市场开发计划、审核并执行2、	定期组织开展市场调研工作，实时掌握市场动态，完成市场分析并制定相应的市场策略3、	编制市场拓展各项费用预算，并控制相关费用的支出4、	目标市场的谈判与合作5、	团队建设与管理",民营  |  5000-10000人
网络营销主管,昆明市官渡区解药服装经营部,1-1.2万,深圳-龙岗区,大专,3-4年经验,运营,服装/纺织/皮革,1：根据营销4P策略，策划营销方案，并且推进落地2：依据品牌CIS系统，进行品牌塑造，包括传播、用户培育与管理、品牌应用、活动等3：管理官网、公众号等官方传播平台4：根据业务需要，制定站外推广计划并且推进实施5：策划公司的活动，比如招商会，市场调研，新品发布等,民营  |  150-500人
营销经理,青岛合力嘉环保建材集团有限公司,10-15万/年,南充,大专,5-7年经验,五险一金,建筑/建材/工程,岗位要求：1、5年以上房地产行业销售工作经验，具有3年同岗位管理经验；2、熟悉房地产开发相关流程和制度，具备一定的建筑及地产行业基础知识，熟悉房地产市场，熟悉营销推广过程，熟悉房地产供求特征和发展趋势；3、对于土地、住宅、商铺市场有系统研究和分析，对市场敏感度高，有专业经验和研究方法，具有把握行业市场动态和市场方向的能力，具有战略思维；4、对项目的研制、定位和规划设计有独特思考角度，对全盘营销工作有深刻认知并有独到见解；5、优秀的团队建设经验，团队管理能力强，善于协调营销团队的工作，较强的沟通能力、协调能力、计划与执行能力；任职资格：1、负责组织修改及审核开发项目的市场调研报告、可行性报告、项目市场定位方案和营销策划方案、销售定价方案、付款方式、项目营销费用等；2、负责设置销售目标、销售模式、销售战略、销售预算和奖励计划；3、负责市场划分和建立科学、合理的营销网络；4、建立和管理销售队伍，负责合理进行内部考核与分配，建立切实有效的激励机制，规范销售流程，完成销售目标；5、负责向主管领导及公司相关领导等进行部门工作汇报，提出工作中存在的问题及解决方案等,民营  |  50-150人
网络营销（室内办公，无需外出）,武汉毫厘企业管理有限公司,4-7千,天津-武清区,大专,1年经验,周末双休,中介服务,年龄：25-40周岁性别：不限学历：大专及以上工作内容：全力完成公司的销售指标和跟进计划，负责指定区域的市场调研，开发，客户维护和销售等工作，管理好销售团队，带领队拓展业务。1.搜集与寻找潜在客户，建立客户维护和潜在客户跟进表2.制定自己的工作目标跟进计划，并按计划跟进3.熟悉产品知识，和工作流程。建立公司专业负责的良好形象4.学习并掌握有效的工作技巧，掌握收集信息渠道，建立自己在区域内的关系网。5.有市场开拓能力和团队精神，有仪器仪表设备销售经验优先考虑。6.沟通能力比较强。基本要求：有激情、勤奋、吃苦耐劳、性格开朗、善于沟通，具有团队协作能力,民营  |  少于50人
市场营销专员,集邦咨询顾问（深圳）有限公司,8千-1.2万·13薪,湖州,大专,3-4年经验,市场营销,电子技术/半导体/集成电路,"岗位职责：1、	编制相应的市场开发计划、审核并执行2、	定期组织开展市场调研工作，实时掌握市场动态，完成市场分析并制定相应的市场策略3、	编制市场拓展各项费用预算，并控制相关费用的支出4、	目标市场的谈判与合作5、	团队建设与管理",外资（非欧美）  |  50-150人
市场营销专员,大连安洋国际物流有限公司,8千-1.5万·13薪,湖州,大专,3-4年经验,经销商,交通/运输/物流,"岗位职责：1、	编制相应的市场开发计划、审核并执行2、	定期组织开展市场调研工作，实时掌握市场动态，完成市场分析并制定相应的市场策略3、	编制市场拓展各项费用预算，并控制相关费用的支出4、	目标市场的谈判与合作5、	团队建设与管理",民营  |  少于50人
餐饮营销经理,昆明凯碧餐饮管理有限公司,7千-1万,武汉,大专,5-7年经验,餐饮,餐饮业,岗位职责：1、根据公司总体战略，结合市场情况制定销售策略与规划并组织实施，达成销售目标；2、根据既有的销售体系，完善优化销售体系和流程；3、制定销售费用的预算，控制销售成本，提高销售利润；4、负责销售部大型推广和其他临时性推广活动的审批；5、负责销售部的组织架构构建、调整和人员管理；6、深入了解本行业，把握销售信息，为企业提供业务发展和价格定位的战略依据；任职要求：1、饮料一线品牌销售高管工作经验，5年以上销售管理岗位工作经验；2、有敏锐的市场意识、应变能力、领导能力和独立开拓市场的能力，学习能力强；逻辑性强和良好的语言表达能力；3、具备一定市场人脉资源和市场理解力；4、年富力强，适应出差，有较强的目标意识；,民营  |  1000-5000人
市场营销专员,南昌洪福人文纪念有限责任公司,8-10万/年,长沙,本科,3-4年经验,五险一金,生活服务,职位描述：1、负责所在地的经销商相关产品的售卖与服务，完成公司制定的销售目标；2、宣传推广公司产品、品牌，负责新客户的拓展和开发，并维护和管理老客户；3、负责客户营销方案的制作和提报，以及销售合同的谈判、签订、收款；4、组织所在地用户和经销商的培训及活动。职位要求：1、本科及以上学历，有互联网、汽车、媒体等相关行业销售经验；2、诚实有信，做事坚持原则，有责任心，吃苦耐劳；3、热爱销售工作，有激情，积极主动，有强烈的团队协作意识；4、有创业心态，愿意投入付出。,合资  |  50-150人
营销主管（硕士）,汇润电气有限公司,7千-1万,深圳-宝安区,本科,3-4年经验,五险一金,汽车,营销总监岗位职责：1.负责奢侈品宠物项圈的市场分析和竞争对手调研工作；2.负责奢侈品宠物项圈的客户调研和价值曲线绘制工作；3.负责奢侈品宠物项圈的线下渠道拓展工作；4.负责奢侈品宠物项圈的小红书营销策划工作；5.负责侈品宠物项圈的的天猫和抖音店铺的运营工作；6.负责侈品宠物项圈的产品定位和定价工作；7.参与侈品宠物项圈的设计工作。任职要求：1.有强烈的企图心，愿意在一年内赚100万以上；2.对国内宠物市场有深刻的洞察和理解；3.具有线下宠物店资源或者线上宠物用品运营经验；4.能够参与宠物用品的调研、定位和产品研发环节。5.本科及以上学历，年龄在30-60之间。,民营  |  150-500人
营销策划总监,苏州希盟科技股份有限公司,4-7万,湖州,大专,5-7年经验,五险一金,仪器仪表/工业自动化,"岗位职责：1、	编制相应的市场开发计划、审核并执行2、	定期组织开展市场调研工作，实时掌握市场动态，完成市场分析并制定相应的市场策略3、	编制市场拓展各项费用预算，并控制相关费用的支出4、	目标市场的谈判与合作5、	团队建设与管理",民营  |  150-500人
营销专员,成都高新区社事投资发展有限公司,5-7千,东莞-东城区,本科,8-9年经验,推广,政府/公共事业,主要职责：整合企业产品、品牌、产能、技术、市场、组织、人力、资金、政策、管理等资源，经营国内/国际的销售，实现国内/国际市场营销战略目标；执行年度目标计划，确保销售、回款和利润指标的实现，保持公司优质经营和持续发展。1．在总经理的领导下，主持国内/国际营销公司的全局工作和日常工作。2．分析竞争环境和市埸策略，制定国内/国际市场总体营销规划并获得评审通过。3．制定国内/国际销售年度营销计划并获得评审通过。4．依据年度计划组织、指导各下属部门制定其年度计划并批准实施。5．对各部门营销计划实施督导考核，实行目标管理和计划管理，以确保计划目标达成。6．整合企业资源，与生产、技术等相关部门沟通协作，以支持国内/国际市场营销目标的达成。7．对国内/国际营销费用进行预算并将费用指标分解到人，费用控制在预算内。8．负责督导全国/国际市埸的销售与推广、促销工作。9．对各部门的应收款、回款、对帐、销售预测、库存等业务活动进行检查和控制。10.组织新市埸的开发与管理。11．做好客户档案管理与客户资料分析，实施客户分级管理。12．参与重大销售活动和重要客户的谈判。13．定期或不定期地深入市场一线巡视检查工作，做好市场调查研究和重点客户拜访工作。14．做好每个财年的货款结算结清工作，预防呆赖死账风险。15．制定国内公司的组织架构和部门职能、岗位职责。16．组织制定公司营销部门的各类管理规章制度，对运作流程进行优化。18．加强对制度、流程执行的督导考核。19．组织月度例会工作，通过例会管理，进行检查、评估、指导和考核。20．制定合理的分配体系，有效激励团队。21．加强营销团队资源的建设和管理。22．加强对中层营销管理团队的管理。招聘条件：1、本科及以上学历，年齡30-45周岁，市场营销管理、工商企业管理、机械类等相关专业2、六年以上大中型企业中高层管理经验，四年以上同等职位管理经验3、熟练掌握企业战略、营销管理、人力资源、财务、信息管理的方法和技能4、熟悉企业的内外部经营环境，对国家有关经济工作的政策、方针、法律有一定的了解。5、有公司中长期发展战略规划能力和组织实施的能力6、有较强的决策、计划、组织、领导、协调能力注：一眼万年有提成，实行企业分红，条件优异者可与公协商其它条件,国企  |  50-150人
营销总监,佛山市贝鲁门窗有限公司,3-5万,广州-黄埔区,高中,无需经验,营销总监,家具/家电/玩具/礼品,一、岗位职责：1、对有办理分期业务意向的客户介绍专项分期业务；2、协助开展活动宣传、收集整理专项分期所需申请资料、需补办的其他申请资料、专项分期贷后管理相关资料；3、具备一定的装修公司资源，能够将资源合理转化；4、负责营销业务的市场调研工作，推广银行相关产品；5、负责维护银行良好的品牌形象，促进银行分期业务的健康发展；6、具有一定的从事银行专项分期业务工作经验二、岗位要求1、高中及以上学历，专业不限，有家装、家居建材、楼盘物业等资源或驻店销售、地推销售、场景消费金融销售、行业SAAS等背景优先；2、对金融行业感兴趣，执行力较强，服务意识强，性格外向，善于沟通以及良好的团队意识；,民营  
营销策划专员,南昌市宝地科技咨询有限公司,7千-1万,重庆-璧山区,大专,2年经验,市场营销,专业服务(咨询、人力资源、财会),薪资待遇：1、底薪+高额佣金提成+业绩奖励，上不封顶；2、五险+各项节日、礼金福利；3、异地项目安排住宿，有异地补贴；4、另有项目分红、股权激励等长期激励政策。岗位职责：1、根据公司制定的销售目标，负责销售任务的完成；2、负责制定项目营销策略、铺排任务和落实执行动作，并协调组织、进行实施；3、负责拟定、修改、完善销售说辞；4、负责项目人员搭建、团队建设，定期进行业务技能培训，提升团队作战能力；5、对下属的能力和工作情况进行评价，及时给予必要的指导和支持；6、负责项目现场管理，对销售流程等重要事项进行把控，处理各类突然事件；7、负责对项目营销费用进行管控；8、负责维护各方利益（甲方、物业、分销渠道等）的合作关系；9、负责协调本部门和公司其他部门的关系；10、负责公司营销例会汇报工作。任职资格：1、大学专科及以上学历，30-38岁，男女不限；2、2年及以上同岗位工作经验，接受跨区域调动；3、有较强的市场敏锐度和市场分析能力；4、具有突出的销售能力、领导能力和管理能力，能够激发团队销售潜能，完成销售任务；5、较强的人际沟通、协调能力，分析和解决问题能力；6、有工作激情，有责任心，抗压能力强，执行力强；7、有包销、风代项目经验者优先，有同时管理2个或以上商业项目经验者优先。,民营  |  50-150人
营销策划总监,苏州希盟科技股份有限公司,4-7万,湖州,大专,3-4年经验,五险一金,仪器仪表/工业自动化,"岗位职责：1、	编制相应的市场开发计划、审核并执行2、	定期组织开展市场调研工作，实时掌握市场动态，完成市场分析并制定相应的市场策略3、	编制市场拓展各项费用预算，并控制相关费用的支出4、	目标市场的谈判与合作5、	团队建设与管理",民营  |  150-500人
营销管理资深主管,国科量子通信网络有限公司,1.5-2.5万·15薪,昆明-呈贡区,大专,3-4年经验,营销管理,通信/电信/网络设备,1、专业人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、协助上级管理、协调市场，跟踪并监察各项市场营销计划的执行；3、熟悉建筑行业，有良好的人脉资源和社交能力；任职资格：1、大专以上学历，营销、管理类专业为佳；2、熟悉建筑行业，有销售和管理经验者优先；3、具备思维活跃、有积极进取的精神及接受挑战的性格；4、为人诚实、正直，性格开朗、责任心强，擅长与人沟通；5、有一定的组织协调能力，能承担和突破工作压力，是很好的时间管理者和自我任务驱动者；6、性格外向，能熟练驾驶；,国企  |  150-500人
营销专员,北京迈淩医疗技术发展有限公司,4-8千,咸阳-秦都区,本科,5-7年经验,五险一金,医疗设备/器械,岗位职责：1、负责制定销售目标和销售战略；2、负责销售中心的营销活动；3、负责组织拟订产品价格体系；4、负责对销售中心人员进行考评及销售队伍建设；5、实现并完成销售任务。任职资格：1、本科以上学历，5年以上医疗器械类、特种车类相关销售管理工作经验；2、具有较强的学习动手能力、沟通能力及责任心，爱好销售，具备良好的团队合作意识；3、熟悉招投标相关的法律法规及招投标流程；4、熟练使用Office办公软件，熟练驾驶，有一定的医学常识，汽车常识5、有客户资源,民营  |  150-500人
网络营销专员,云南燎阳光电科技有限公司,5-9千,长沙-天心区,大专,3-4年经验,五险一金,机械/设备/重工,岗位职责：1、完成销售任务：制定所负责重点客户季度、月度销售计划，领导销售队伍完成销售目标，落实回款工作；2、落实公司政策：督导公司的销售政策的落实、各项制度的贯彻执行，控制市场费用；3、提升市场终端表现：通过促销活动的制定、预算、监督执行、事后反馈等实现售点开拓，改善市场终端表现4、收集市场信息：定期走访市场，检查产品分销情况，向重点客户提出市场开拓建议；5、拜访客户并挖掘生意机会：定期拜访客户，直接参与主持重点客户的业务谈判，保持与客户的良好关系；6、团队建设：指导销售代表共同开展工作，提升团队凝聚力。要求：1.学历：大专及以上学历2.经验：相关岗位工作经验年限：快消品销售管理工作岗位3年以上工作经验；3.专业知识能力：对市场营销工作有较深刻认知，良好的市场应变和开拓能力4.专业能力：对销售产品有深入地知识和了解；有丰富的营销知识，了解如何制定生意规划。5.基本技能：计算机应用能力：能熟练操作办公软件；沟通协调能力：有较强的沟通协调能力，能够有效地管理经销商和经销商的业务代表，具有较强的谈判能力。,民营  |  50-150人
营销经理,成都来也旅游发展股份有限公司,1-2万,武汉-江汉区,大专,5-7年经验,营销,酒店/旅游,,已上市  |  150-500人
市场营销（医院）-楚园康复医院,泰康健康产业投资控股有限公司,5-6千,上海-长宁区,大专,1年经验,五险一金,医疗/护理/卫生,岗位职责：1、销售人员职位，在上级的领导和监督下定期完成量化的任职要求，并能独立处理和解决所负责的任务2、开发客户资源，寻找潜在客户，完成销售目标3、签定销售合同，指导、协调、审核与销售服务有关的帐目和记录，协调运输等事务4、对工作有热情、勤奋、能够适应适时出差要求5、办公室工作为主，非地推公关销售任职要求：1、大专及以上学历；2、3年以上销售工作经验，有团队销售支持经验者优先，纺织销售经验者优先；3、具备较强的销售技巧及销售经验，市场营销经验及渠道拓展经验者优先；4、具备较强的市场分析、营销、推广能力和良好的人际沟通、协调能力，分析和解决问题的能力；5、具有较强的沟通能力，组织、协调能力和团队管理能力；6、具有很强的事业心，有客户销售经验者优先入用,民营  |  10000人以上
临床诊断试剂市场营销专员,迪申生物技术（上海）有限公司,4.5-6千,昆明-五华区,本科,无需经验,生物,制药/生物工程,,外资（欧美）  |  少于50人
市场营销培训生,广州艾玫格生物科技有限公司,6-9千,东莞-虎门镇,大专,5-7年经验,英语,快速消费品(食品、饮料、化妆品),职责描述：1.负责部门团队搭建；各市场信息库收集建立；制定完成年度拓展目标，季度月度指标分解实施计划。2，根据市场拓展规划，开发及储备加盟客户，组织宣传跟进客户的谈判沟通，合作签订，客户资料收集等，完成开店目标。3，指导加盟客户选址和评估，装修及开业筹备等。4，做好加盟客户销售跟踪和维护，运营日常管理，定期进行沟通并提供相关服务和支持，建立良好合作关系，二店等开发。5，关注竞品同行业市场发展，利用自身品牌条件，及时调整市场开发的方向。6，完成月度，年度销售指标和开店指标。任职资格：1.8年以上童装行业销售经验，其中5年以上营销经理或总监经验2.熟悉服装行业各相关环节；3.有敏锐的市场嗅觉，对渠道和终端管理有独到的见解4.市场规划能力较强，客户关系较好；5.有童装客户资源优先。,民营  |  少于50人
营销总监,保定市爱情地产集团有限公司,3-4万,佛山-顺德区,大专,2年经验,五险一金,房地产,"1、负责公司指定区域的销售及推广；2、对市场信息的收集及竞争对手的分析；3、开拓发展新客户,增加产品销售范围，完成销售任务；要求：1、大专以上学历;2、2年以上销售行业工作经验，业绩突出者优先，（适当考虑应届及退伍军人）；3、能独立开展业务，工作认真负责，能适应不定期出差；4、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧；5、具备一定的市场分析及判断能力，良好的客户服务意识；6、有责任心，能承受较大的工作压力；（工作地址：1：重庆办事处：2：广东佛山办事处）工资待遇：1、底薪，高额提成，年终奖金。2、出差餐补、住宿补助，交通补助。",民营  |  1000-5000人
区域营销总监,四川力士达照明设备股份有限公司,1-1.5万,张掖,本科,3-4年经验,销售,政府/公共事业,1、市场营销或相关专业本科以上学历；2、接受过市场营销、合同法、财务管理、谈判技巧等方面的培训；3、具备良好的团队领导能力、组织协调能力和较强的执行力；4、3年以上销售、市场营销管理工作经验，有新能源行业经验优先；,民营  |  150-500人
营销策划经理,广州粤泰集团股份有限公司,1.5-2.5万,广州,本科,8-9年经验,策划,房地产,,已上市  |  500-1000人
营销总监/经理,广东育新信息科技有限公司,1-1.5万,嘉兴,03-07发布,无需经验,销售,电子技术/半导体/集成电路,工作内容：通过电话、网络等方式，维护老客户，了解和发掘客户的互联网需求，为客户策划网络营销方案，建立良好的客户关系。为不同行业的知名企业进行了网络品牌重塑，提供网络营销及电子商务应用解决方案，使客户更好的运用互联网去实现网络营销，与传统营销手段互补，进行价值链集成。通过自己的努力证明自己的价值，青年伙伴的成长舞台。职位要求：1.有电话客服经验的优先；2.反映敏捷、表达能力强，具有较强的沟通能力和亲和力；3.具备一定的市场分析能力和判断能力，良好的客户服务意识；4.有责任心，能承受较大的工作压力。公司福利：五险一金、租房补贴、弹性工作、带薪年假、团建活动、国内外旅游、交通补贴、通讯费报销、生日趴、下午茶、员工俱乐部、公司年会、还有每月的现金红包、数码奖品奖励哦~,民营  |  1000-5000人
市场营销经理,苏州市三新材料科技股份有限公司,1-1.5万,重庆-渝北区,大专,3-4年经验,五险一金,石油/化工/矿产/地质,组织能力强，能够对营销部任务的完成情况负责，制定公司营销计划，分解营销计划到下辖营销部门，并对下属部门的工作及任务完成情况进行管控，能够指导、协助、督促下属完成工作任务。任职要求：1、年龄22-40岁，专科以上学历（医学相关、护理相关专业优先），有同行业销售经验3年以上优先；2、性格开朗，身体健康；3、适应出差，拜访客户工作形式优先；4、工作认真负责，有耐心；5、具有较强的沟通能力及责任心，思路清晰。福利待遇：无责任底薪+业绩提成：入职半年以上管理层平均年薪20-30万。一、公司简介：重庆28度活水馆隶属于重庆二十八度颐和体育发展有限公司，成立于2019年，位于两江新区，注册资本2200万元，经营面积11000余平方，是一家拥有独立自主产权的全新业态公司。公司将西方发达国家成熟的社区体育与国内传统中医学结合，通过以水的形式、形态、功能创新搭配与科技的完美融合，形成符合国情需求的社区体育+中医康养综合体，创建了运动行业的全新业态—28度活水馆。二、产品、发展规划：28度活水馆初衷是让每个人都能泡出健康。利用传统中医搭配脉冲、富氢实现全民健康理念；另游泳、泳训独立建造，给不同的人创建所需独立的池体深度和水温，做到全民运动以水为载，体医融合一站式体验。成立至今，赢得了广泛市民的信赖。经调研该业态具备良好的经济性，可复制性，符合市民生活需求，更符合健康中国。公司会根据不同城市地域打造不同规模的28度活水馆，解决社区游泳不足，使社区体育更加丰富完善，为市民创建更科学的体育场所，并始终坚持为社会创造更高价值的健康。三、背景为了满足公司人才扩充与储备战略的需要，公司决定从高校选拔培养人才作为公司的新生力量，充实公司各部门人才队伍，为公司发展补充新鲜血液。面试地址：重庆渝北两江新区28度活水馆办公地址：重庆渝北区恒大御峰台(郑家院子地铁站3号口步行330米),民营  |  50-150人
市场营销副总监,安吉天使小镇乐园有限公司,30-40万/年,广州-天河区,本科,8-9年经验,弹性工作,酒店/旅游,1、制定公司营销战略规划及年度目标，统筹全国市场，布局新零售体系；2、负责年度目标的分解下达并组织实施，对结果负责；3、负责线上、线下销售团队的管理、流程改进与优化、预算及费用管控；4、客户关系的拓展与维护，品牌影响力和市场占有率的提升；5、市场动态讯息的分析与汇总，及时调整营销策略。任职要求：1、本科及以上学历；2、八年以上时尚消费品行业经验，三年以上同级管理岗位经验；3、前瞻性思维和决策能力，优秀的沟通能力和组织能力；4、抗压力强，富有开拓精神，积极乐观，良好的职业素养。,民营  |  500-1000人
营销主管,惠州市吉邦精密技术有限公司,1-1.5万,上海-嘉定区,高中,1年经验,销售,汽车零配件,"岗位职责：1、做线下门店中期活动业绩的提升，营销活动方案的落地实行、督导中期现场活动；(周年庆、开业庆典、发布会等营销性质的活动,带领团队做门店业绩实收)2、具有良好的客户沟通协调,谈判技巧;3、负责中期活动的整体统筹、现场流程的整体把控;4、具有广泛的知识、敏锐的洞察力,清晰的思路优先;任职资格:1,具备一年以上面销市场营销经验、工作认真细致，吃苦耐劳，具有丰富的现场执行经验；以及完成执行工作的能力;熟悉活动执行的细节,并能很好地把控中场活动,保证活动能够顺利进行;2,活动期间对活动中场的流程及安排进行协调和指导,及时发现问题并协调解决;3,活动中期执行和遇到的问题进行汇总整理，与各部门协调沟通总结，并对不足之处提出调整方案;此岗位活动档期期间需要出差，欢迎感兴趣的小伙伴一起加入，年薪10-30万。",民营  |  500-1000人
营销总经理助理,蔻彩环保科技（上海）有限公司,1-2万·13薪,广州-天河区,本科,5-7年经验,团队建设,建筑/建材/工程,"1、主持公司项目营销策划类的日常事务管理，对市场的总体发展做出决策。2、负责整体市场运营指标、工作计划的制定，部署及监督实施，并协调下属各部门的工作。3、制订和推动公司项目营销策划招商计划，完成公司既定招商指标，确保招商指标的顺利完成。4、负责建立、完善运营相关系统及工作标准；负责公司各项规章制度的贯彻执行。5、负责组织及监管公司项目营销策划营销推广对外合作、媒体合作及推广策划等相关工作的落实。6、负责分解工作目标与绩效指标，部署监控运营中心业务运营，保障目标达成。7、参与公司例会；召开并主持营销策划中心各类会议。8、严格控制各种费用的开支，降低经营成本。9、商务拓展与合作：与商户建立良好的业务合作关系，稳住现有客户，发展与培养合作伙伴，开展公司项目营销策划的推广工作，保证项目的顺利执行与业务目标的达成。10、部门内部管理：根据公司经营方针和部门业务需要，合理设置部门组织架构和岗位，优化业务流程，合理配置人力资源，组织开展所辖员工培训、考核评价及人才梯队建设工作，对员工绩效进行管理，提升部门工作效率。11、组织开展各种推广活动，带动市场的人气扩展、提高知名度。12、贯彻执行副总经理的决议和决策，定期向副总经理汇报工作。13、完成上级临时交办的其他任务。任职要求：1、每月对管理人员及员工做一次以上工作技能等相关知识培训。2、每日和各部门沟通一次，帮他们找出问题，并拿出解决方案。3、从客观实际出发，制定分配每月招商任务，并督促完成每月制订任务。4、监督营销计划和制作任务的完成情况，监督落实资料备份，并随时加以督促、鼓励，指正,并将监督情况写在每周的工作汇报中。5、做好各部门及常务副总经理之间的沟通，在解决问题的同时完善工作流程。6、每月30日向营销策划总监/常务副总经理递交当月工作总结及下月工作计划。7、每月参与公司月度例会，会议上汇总上月工作中存在问题及需公司或其他部门给予支持事宜及下月工作重点计划。8、不断完善修订营销工作计划，并以书面形式上报营销策划总监/副总经理。9、配合各部门做好人事管理。　10、每月督促做好下属各部门绩效考核，并做出客观实际的评价。",合资  |  50-150人
市场营销经理,杭州安意家居有限公司,8千-1万·13薪,深圳-龙岗区,本科,5-7年经验,市场营销,互联网/电子商务,关键词：***体系搭建、线下路演、ToB/G数字化业务平台工作职责：1、负责怡亚通（ToB/G）产业整合服务平台品牌塑造及全面营销工作；2、负责全国线下路演规划与开展，协调集团内部资源，与各行业、协会、政府推广怡亚通产业整合服务平台；3、独立负责***体系、招商规划建设并初步运营，对业绩数据负责；4、建立客户管理体系，制定会员权益及等级体系；岗位要求：1、本科毕业，至少5年以上大型企业或互联网等行业营销管理工作经验，有***项目经验；2、精通线上线下营销渠道，有丰富的线下路演或政企对接经验；3、具有工作激情，沟通逻辑清晰，有0-1成功项目经验优秀。,民营  |  少于50人
市场营销策划经理,安吉天使小镇乐园有限公司,1.6-2.5万,南京-雨花台区,本科,3-4年经验,弹性工作,酒店/旅游,营销渠道经理（商务经理）岗位职责：1、负责公司合作渠道的拓展与维护；2、负责公司大客户商务跟进，关系维护；3、负责公司品牌营销、产品宣传推广。3、投标资料整理汇总、标书制作。岗位要求：1、本科以上学历，专业不限；2、3年以上合作渠道拓展经验或商务经验，有销售/售前相关经验者优先；熟悉制造行业业务流程者优先；3、具备良好的沟通协调能力、较强的商务谈判技巧，能承受一定的工作压力；4、具备较强的学习能力，逻辑清晰，思维敏捷，工作认真严谨，有责任心；5、能够适应短期出差。福利：薪资10-15K/月，2-5个月绩效奖金；餐补，出差补助；超长春节假期；节日福利；入职培训；入职缴纳五险一金等,民营  |  500-1000人
营销策划,深圳市德达医疗科技集团有限公司,9千-1.2万,合肥-政务区,大专,1年经验,营销方案,医疗设备/器械,"岗位职责：1、做线下门店中期活动业绩的提升，营销活动方案的落地实行、督导中期现场活动；(周年庆、开业庆典、发布会等营销性质的活动,带领团队做门店业绩实收)2、具有良好的客户沟通协调,谈判技巧;3、负责中期活动的整体统筹、现场流程的整体把控;4、具有广泛的知识、敏锐的洞察力,清晰的思路优先;任职资格:1,具备一年以上面销市场营销经验、工作认真细致，吃苦耐劳，具有丰富的现场执行经验；以及完成执行工作的能力;熟悉活动执行的细节,并能很好地把控中场活动,保证活动能够顺利进行;2,活动期间对活动中场的流程及安排进行协调和指导,及时发现问题并协调解决;3,活动中期执行和遇到的问题进行汇总整理，与各部门协调沟通总结，并对不足之处提出调整方案;此岗位活动档期期间需要出差，欢迎感兴趣的小伙伴一起加入，年薪10-30万。",民营  |  150-500人
营销总监（西充）,四川兰骏实业集团有限公司,1-1.5万·13薪,昆山,大专,1年经验,营销推广,房地产,1、对市场进行深度分析、开发及维护，对重点客户及潜在客户制定相应销售策略；2、优秀的应届毕业生，市场营销及其相关专业，男女不限；3、语言表达能力强；4、愿意从事市场销售工作，具备自我挑战精神，承压能力强！5、有汽车相关行业从业经验或相关检测行业技术工作经验者优先录用！！6、一经录用待遇优厚/高提成+高收入~！！,民营  |  50-150人
营销经理,衡水云辉环保科技有限公司,5千-1万,杭州-拱墅区,本科,5-7年经验,衡水云辉环保科技有限公司,环保,1、负责项目的整体推广策略制定、阶段性推广策略制定，编制营销费用预算，并监督执行；2、负责项目开盘前的各项筹备及管控（买卖合同的制定、价格策略和价格表的制定）；3、跟进周边项目销售动态，了解竞争楼盘销售进展以及竞争性；4、负责客户签约、备案流程的制定及管控，处理此阶段产生的各种问题；5、负责销售任务分配及销售人员组织、关系协调，并对销售秩序、客户关系进行监控和强化，为各项目销售工作提供技术支持；6、售后服务包括签约率、回款率及合同产权证等过程监督管理。任职要求：1、本科及以上学历；2、5年以上房地产开发企业营销策划、销售管理工作经验，其中至少2年团队管理经验，有大型知名房地产公司工作经验者优先；3、有项目销售全程操作经验，对项目前期策划有深入的了解和研究；4、具备良好的洞察能力和市场信息敏感度；5、较强的文字功底，具有独挡一面的能力。,民营  |  50-150人
市场营销策划经理,安吉天使小镇乐园有限公司,1.6-2.5万,广州,大专,2年经验,弹性工作,酒店/旅游,岗位职责：1、根据公司营销规划，建立完善公司的线下动销活动、产品推广等工作，针对不同类型的宠物店特点制定制定和组织实施相应的营销推广活动；2、落实公司的市场开拓活动计划，指导市场活动以及主题促销活动的制定和实施；3、负责收集、分析市场信息，进行市场预测及分析，包括市场动销活动情况及行业发展动态等，及时为公司决策提供依据；4、跟进及维护市场资源合作关系，包括当地宠物店、分销商等客户，日常拜访维系，稳定和促进公司产品销量。任职要求：1、大专及以上学历，行业内经验不限2、有丰富的市场活动策划及客情维护经验3、具有良好的客户服务意识，较强的宣传活动组织能力4、沟通良好，执行力强,民营  |  500-1000人
渠道营销,华润雪花啤酒,8千-1万·13薪,清远,大专,3-4年经验,五险一金,快速消费品(食品、饮料、化妆品),岗位职责组织、策划、推广国内销售。有建筑装修工具销售、或油漆辅料和油漆工具类的销售经验、人员优先。1、利用网络销售和市场走访形式，合理利用和维护公司客户资源，通过各种途径开发新客户；2、建立和管理销售队伍，与老客户保持联系并定期拜访，进行产品的宣传和销售；3、分析客户需求，提供针对性解决方案；4、销售合同的签定和应收款的跟踪。任职资格1、大学专科以上，市场营销相关专业优先；2、至少2年以上销售经验；3、出色的沟通和协调能力，有较强的事业心。,国企  |  10000人以上
微信营销,深圳市恒通兴科技有限公司,5千-1万,武汉-江岸区,大专,1年经验,五险一金,原材料和加工,,民营  |  50-150人
