职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
电话销售/DCC（营销专员）,上海冠松汽车股份有限公司——普陀大众4S店,1-1.5万,无锡,本科,2年经验,带薪年假,汽车,岗位职责：1.负责所在城市的项目信息收集、梳理、跟踪工作；2.分析研判所在城市同行业竞争对手发展情况，定期统计并梳理信息。3.协助城市经理进行客户维护等营销工作。4.完成领导交代的其他工作任职资格：1.年龄：30周岁以下；2.教育背景：***大学本科及以上学历；3.专业要求：工程类相关专业。4.工作年限：需具备2年以上建筑工程类或市场营销工作经验。5.其他要求：为人正直，责任心、原则性强，忠诚度高，具有敏锐的判断力和洞察力，具备较强的语言表达能力、沟通协调能力、公关策划能力及团队合作意识，具有一定地方资源优势者优先考虑。,合资  |  150-500人
营销总监（ToB/G）,深圳市怡亚通供应链股份有限公司,2-3万·13薪,太原-万柏林区,大专,无需经验,线下路演,多元化业务集团公司,,已上市  |  10000人以上
房产项目营销经理（杭州市区）,杭州市房地产开发集团有限公司,2.3-2.7万,深圳-福田区,大专,3-4年经验,带薪年假,房地产,岗位职责:1、拓展客户及业务资源;2、进行客户接待，与客户、同行业间建立良好的合作关系，挖掘客户需求;3、深入了解本行业发展趋势，把握最新招投标信息，完成招投标任务;4、营销合同的谈判与签订工作;5、掌握项目进度、对质量、安全等监督、管理，提出改善意见;6、根据公司的战略规划和销售计划，完成个人业绩指标;7、掌握行业市场动态，熟悉市场状况并提供独特见解;8、协助处理客户投诉，跟踪处理投诉处理结果;9、完成上级领导交办的其他任务。任职资格:1、大专及以上学历。2、受过市场营销、产品知识、产业经济、公共关系、管理技能开发等方面的培训;3、具有丰富的装饰设计行业人脉资源、社会关系;4、对市场营销工作有较深刻认知;5、有良好的市场判断能力和开拓能力有极强的组织管理能力;6、责任心强，有较强的抗压能力。,国企  |  50-150人
大客户营销（公司提供资源） s,中国人民人寿保险股份有限公司四川省分公司,30-40万/年,上海,本科,无需经验,主管,金融/投资/证券,职位描述：1.引流拉新：通过策划并组织大型线上+线下活动、异业合作、全域媒体合作等资源，进行市场营销推广，可有效通过市场活动提升新用户量、活跃度、转化率和渗透率；2.营销策划：按消费者特征和节日节点规划年度营销策略，提升线上、线下销售额和粘度；3.品牌建设：与主站市场部同步抖音盒子推广策略并承接相关市场资源；4.口碑传播：负责搭建和打通各媒体和渠道进行内容运营，培养粉丝用户，形成线上线下的口碑传播，提升品牌价值和影响力；5.负责市场端推广策划、落地与广告投放等。职位要求：1.5年以上知名品牌公司，电商平台，广告公司市场经验；2.对品牌推广和定位、市场营销策划有深入理解，具有较强的系统性思考能力、洞见用户需求与市场预判能力、策略性思考能力。,国企  |  10000人以上
市场营销专员,江苏三亿检测技术有限公司,1-1.4万,合肥-高新区,大专,1年经验,五险一金,检测，认证,岗位职责：1、开发新客户源，扩大销售渠道，收集客户信息；2、积极完成所负责区域的销售指标，执行并完成公司年度销售任务；3、与客户保持良好的客情关系，实现和发掘客户需求及购买意愿；4、管理客户关系，完成销售任务；5、保持团队气氛积极向上。任职条件：1、年龄：35岁以下；2、学历：大专及以上学历；3、一年以上的销售工作经验；4.事业心强、诚实务实、办事效率较高、注重团队、公正坦诚。,民营  |  50-150人
电话营销/1.2-1.5万/月/ 不加班,昆明鼎骏塑业有限公司,1-1.5万,广州-海珠区,大专,3-4年经验,年终奖金,原材料和加工,1、制定公司的市场总体工作计划，提出市场推广、品牌、公关、活动等方面的具体方向和实际方案，规划广告投放渠道，并组织、监督和实施计划和方案，辅助公司产品销售；2、负责企业自有渠道的营销工作（包括抖音、微信、线下广告、SEM渠道等），统筹输出文案、公司各类活动宣传的文案推广等内容：选题、采编、策划与发布.内容文案、视频脚本内容的输出等；3、负责企业广告平台的投放与监控（抖音、微信等渠道），扩大品牌知名度及曝光，为业务线带来新咨询；4、负责品牌线下推广活动统筹与策划：包括课程会务营销、展会营销、专业市场开拓活动5、负责市场调研分析，研究公司产品，能够提炼产品的核心卖点与优势、分析同行产品与销售状况，定期进行市场预测及情报研究，为公司提供产品和服务的市场定位决策提供依据。任职要求：1、专科以上学历，传播学、广告学等相关专业；2、4-5年左右市场策划/新媒体传播推广工作经验，有toB行业、软件行业&解决方案类型产品的市场工作经验优先；3、有较强的市场感知能力，敏锐地把握市场动态、市场方向的能力；有电商活动策划经验、各类主题营销活动策划经验；4、善于团队合作，有很强的沟通能力和扎实的文案功底，系统性思考思维；5、主动性强，学习能力强，抗压能力强。福利：-年终奖金（根据年度工作评估发放2-4个月工资）-五险一金-节日福利-员工旅游-年度体检,民营  |  50-150人
国内市场营销经理,清远市名业油漆工具制品有限公司,7千-1万,上海-浦东新区,本科,5-7年经验,带薪年假,多元化业务集团公司,1.参与公司市场策略的制定。根据公司营销战略制定公司营销组合策略和营销计划，并组织实施。2.负责主要公共关系和宣传活动的整体和现场指导。3.定期审查和分析营销环境、目标、计划和活动，及时调整营销策略和计划，制定预防和纠正措施，确保营销目标和营销计划的实现。4.根据市场和行业情况，制定新产品的市场价格，经批准后执行。5.负责主要市场合同的谈判和签订。6.主持制定和修改经批准施行的营销总监工作程序和规章制度。7.制定并协助执行年度营销系统专业培训计划。8.协助总经理建立和调整公司的营销组织，细分市场，建立、扩大和调整营销网络。9.负责分解年度工作目标和市场预算，根据市场和公司实际情况及时调整和控制。10.定期和不定期拜访关键客户以了解和处理问题。1.参加关于部门一级或以上公司组织结构的讨论。12.确定下属单位的组织结构。13.发现下属单位设置、分设员额不合理的，应当及时指出问题，进行调整。14.提出直属单位职位要求，编制岗位职责和资质，报总经理确认。15.确认直接下属提交的就业要求（包括职位职责和资格），并提交总经理确认。,合资  |  500-1000人
商务营销经理,武汉缘来文化传播有限责任公司,1-1.5万,上海,本科,无需经验,销售,影视/媒体/艺术/文化传播,职位描述：1.搭建抖音盒子营销IP矩阵：善于洞察Z世代人群诉求和消费趋势，对大贸/跨境品牌和行业的发展需求有深刻了解，创造和落地具有平台差异化特色的营销IP项目，为品牌和用户带来价值，沉淀出对行业有影响力及对平台有长线价值的IP资产；2.营销策划：结合业务和市场洞察，独立负责IP日常营销项目的全案策划及执行，善于用创新的手法做市场活动，搭建全新的营销模式，引领行业，并建立用户对抖音盒子营销IP的心智；3.资源整合：能有效整合抖音平台、媒体、品牌等优质资源，实现权益捆绑，多方共赢；4.项目管理：不断进行总结和梳理，建立规范化的业务流程SOP，提升执行效率；5.具备营销产品化思维：能够模式化的运作营销活动，提出相关营销工具的产品需求并推动相关工具上线。职位要求：1.熟悉电商平台玩法，并具备商业sense；熟悉电商行业和品牌，并对Z世代人群的趋势需求和营销口味有极强的敏感度；2.具备综合运营能力，有用户洞察、营销策划、资源整合和数据分析能力，并具备变革精神和创新意识，善于逆向思考，对0-1的项目具备创业热情。,合资  |  50-150人
营销策划专员,长沙超牛机械有限公司,6千-1万,济南-槐荫区,大专,3-4年经验,五险一金,互联网/电子商务,,民营  |  少于50人
市场/营销/拓展专员,上海知遂财务咨询有限公司,8-15万/年,深圳-南山区,本科,5-7年经验,商务服务,专业服务(咨询、人力资源、财会),1、营销规划与策划：独立策划及管理产品/营销项目，结合产品节奏或营销主题，制定完整的整合营销方案，并跟进高质量执行；2、负责策划整合营销方案并执行，包括但不限于：营销节奏及事件/传播策略/公关策略/活动推广等；3、负责卖点挖掘与文案包装，提炼产品营销策略，提升产品感知度；4、整合资源，推动项目达成，对结果和质量负责；5、研究行业内优秀营销打法，总结提炼并对现有打法优化升级。任职要求：1、本科及以上学历，5年以上手机行业或智能硬件行业营销策划工作经验；2、具备较强的营销策划、创意能力和整合传播技巧，能够独立产出营销方案，有独立策划大型整合营销项目经验为佳；3、项目管理能力强，执行力强，一专多长（策略思维贯通所有品牌营销端业务部门），目标导向强，责任心和激动变通能力强，具备强Deadline意识，项目把控能力和人员把控能力强；4、拥有年度级别IMCCampaign项目的丰富经验，对于品牌营销各个环节都有深刻认知和理解能力，具备项目大局观，能够将母项目和子项目进行组合、拆解、整合，从而将营销势能发挥到***价值。,民营  |  少于50人
