职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,最低年薪,最高年薪,薪酬_n,月薪最小值,月薪最大值
供应链系统部经理（佛山） (MJ003327),宜昌邦普循环科技有限公司,2-3万,佛山-三水区,本科,10年以上经验,五险一金,新能源,岗位职责：1.全面负责SRM（供应商管理平台）/CRM/SAPFICO/MM/QM/PP/SD/HCM/BPC/TR相关问题收集、业务分析及优化、项目实施、协调资源、运维支持等团队管理；2.负责智能工厂智能仓储物流系统发展规划与实施路径规划，包括现状调研、数据分析、仓库功能区布局规划、智能仓规划等；3.负责SAP功能模块二次开发需求分析，测试及上线支持，协助需求组对业务需求进行评估，组织并协调系统测试、主数据收集和功能上线等工作；任职资格：1.本科及以上学历，计算机或信息管理专业；2.有10年以上仓储物流自动化/精益物流相关工作经验和SAP供应链相关模块项目运维经验；熟悉S/4HANA版本；3.有供应链系统管理经验者优先，有较强的沟通协调能力及高度责任心；4.具有项目管理经验，有PMP认证者优先；,民营  |  10000人以上,佛山,,,,20000-30000,20000,30000
供应链计划总监,衡东光通讯技术（深圳）有限公司,4-5万·14薪,深圳-宝安区,本科,10年以上经验,五险一金,通信/电信运营、增值服务,职责概括：负责母公司及下属子公司整体供应链体系的建设，策略的制定和落实，建立可持续发展有竞争力的供应链体系，推动公司在满足客户交付，合理库存控制总量，避免呆滞库存，产供销长期持续动态平衡方面持续优化；长期推动交期缩短，提高运营效率；推动人力资源合理配置，降低单位产值人力成本。一、战略管理1、参与公司战略规划的制定与分解，制定供应链部门的战略与年度经营计划；2、负责根据公司年度经营计划与各产品线销售计划，统筹制定各产品线年度产能规划，特别是在人机料方面的规划；3、参与公司重大事项的分析和决策，为企业的经营、业务发展等重要事项提供供应链方面的分析和决策依据；二、制度管理1、负责定期组织公司供应链方面体系文件、制度、流程、表单的优化，保障适宜性；2、负责报表的梳理，利用BI数据平台推动公司高效运营；3、负责部门各岗位工作标准化的推进与监督落实；三、计划管理1.、负责根据公司目前及未来客户分布、产品分布及特性，统筹考虑全球产能分布规划，并推动沟通与实施；2.、负责与市场部门保持日常紧密联系，结合公司产品布局与未来需求预测，及时动态调整各产品线产能，提前做出预判预警与调整；3.、负责协调客户订单与内部产能的日常供需矛盾，与分子公司总经理共同推动订单的准时交付，提升排程合理性，不断提升交期达成率；4.、推动供应链和生产部门的持续改善和高效联动，持续寻求交期缩短，控制在制库存，提升客户满意度；5.、负责配合产品线推进内部各部门高效联动，保障产品线在人员、设备、场地、物料等方面的高质量响应，对部分特殊物料牵头战略备货；6.、推动产线人员的及时合理调配，控制无效人力成本，持续改善人均工资产值；7、建立和持续优化跨产品线物料快速联动机制，提高物料周转效率，推动建立和完善原料、半品、成品的批次管理和先进先出管理；8、负责客户交付异常协调与解决，不断提升客户在交付方面的满意度；四、物流管理1、负责仓库现场管理的规划与日常指导、监督，保障；2、负责物流服务的年度规划，供应商选型，控制物流成本，提高物流时效性；五、库存管理1、负责联动财务部门，推动公司整体库存周转率的规划与日常监督管控；2、负责呆滞物料的专项管理，推动呆滞物料的消耗；3、负责制定、指导实施公司物料、产品的进出规则，并牵头IT实施，推动物料、产品的快速流转；4、负责会同财务部门制定库存盘点的计划并协助实施，确保库存的准确性、安全性；六、人员管理1、负责总部供应链团队管理，包括选用育留等；2.负责各分子公司供应链团队的条线指导与监管，统筹推动各分子公司供应链专业水平提升；任职要求：1、***学士及以上学位，物流、供应链管理等相关专业；10年以上大型制造业供应链管理相关工作经验；2、精通供应链各个操作环节，具备专业供应链管理知识和技能，拥有丰富的生产计划、供应商开发、成本控制、物流管理等方面的经验，对企业现代供应链管理具备深厚的专业知识与丰富的实操经验；3、能够有效提升产品交付和可持续的降成本策略，提高公司的供应链运营的总体水平；4、具备出色的团队管理能力和优秀的人格魅力，能凝聚人心，能带领供应链部门实现公司预定目标，敢于对结果负责；5、优秀的数据分析、沟通、协调、谈判能力，有强烈的责任心与职业素养。,外资（非欧美）  |  1000-5000人,深圳,14,,,40000-50000,40000,50000
供应链专员,武汉市凝点纸业有限公司,5-6千,武汉-江岸区,中技/中专,1年经验,带薪年假,贸易/进出口,1、生产计划管理，跟进生产与发货进度，确保工厂及时合格提供产品；2、收集、评估销售端的产品需求，制定月度生产计划、活动产品计划，保证重点产品一个月库存周转。3、选用、评估、优化、管理原辅材料供应商及仓储物流服务商。岗位要求：1、1年以上电商供应链相关的工作经验2、熟悉掌握常用办公软件，擅长EXCEL表格；3、良好的沟通协调能力，接受出差,民营  |  少于50人,武汉,,,,5000-6000,5000,6000
供应链经理,中山爱姿依网络科技有限公司,2-3万·13薪,中山,大专,3-4年经验,节日福利,互联网/电子商务,岗位职责1、负责建立和健全供应商的开发、维护、跟踪及评估体系；2、负责整合优化外协工厂和供应商资源，统筹安排整个系统的运营；3、组织制定并完善供应链各流程管理制度；4、负责定期编制、执行分析和动态管理供应链的预算和费用；5、负责供应商谈判，采购成本的竞争性分析，并完善成本降低及控制方案。6、完成上级安排的其它工作。任职资格:1、大专以上学历；2、3年以上服装行业供应链管理经验；3、精通供应链管理知识、谈判、审核、合同法规等；4、精通生产管理，熟悉质量管理体系相关要求；6、具备良好的职业素质，能长期稳定的从事岗位工作，团队协作优秀；,民营  |  少于50人,中山,13,,,20000-30000,20000,30000
供应链解决方案经理,宁波齐物贸易有限公司,2-3万,宁波-鄞州区,大专,3-4年经验,五险一金,贸易/进出口,工作内容：协助销售团队，根据客户需求&供应链物流痛点，结合公司的产品和服务及发展方向，完成分析设计符合客户需求的供应链物流解决方案-通过与各事业部门、职能部门沟通，收集整合供应链解决方案所需的资源和信息-对现场的目前状况、现有或未来物流分供方的设施和能力考察和评估-计算和分析所需资源、制作成本模型、假设条件，开发与客户需求相匹配的供应链解决方案，起草标书-不断完善回标方案模版、报价模版（含：成本模型）并使之结构性标准化，形成回标知识库-负责项目实施期间的各方协调，并对现场运作进行培训-通过各种渠道进行市场调研，获取物流行业市场信息岗位要求：统招本科以上学历，有在合同物流公司、货代公司或者跨国公司从事供应链或者物流相关工作经历，具备物流解决方案经验，物流项目运营经验，物流客服经验者优先；熟悉仓储管理及公路运输业务，具备物流与供应链管理、流程管理等方面的知识优先考虑；良好的产品思维及逻辑分析能力；掌握Word、Excel、PPT、Visio等主流文档处理、流程梳理工具，具备良好的文字功底及PPT制作与展示能力；具有优秀的统筹与协调能力，具备全局业务视角；拥有积极的心态与思维方式，强烈的工作意愿和进取心，勇于担当、敢于挑战；需要应对基于项目导向的出差安排；,民营  |  50-150人,宁波,,,,20000-30000,20000,30000
供应链主管,上海怡康化工材料有限公司,1.5-2万·15薪,上海-长宁区,大专,10年以上经验,做五休二,贸易/进出口,"1、负责制订并监督实施具体的物流规划和行动计划。协助管理公司的客户定单运输、仓储等业务。2、负责危化品供应链的国际段运输、进出口报关、仓储运输管理、成品仓库管理及机配件管理。3、制定部门内部各项标准操作程序及管理制度，指导监督下属执行。4、部门主管负责员工的全面管理，领导员工完成部门各项目标和绩效考核指标。5、负责与第三方物流、仓储的业务联系及评估工作。6、负责委外供应商的日常管理及协调，确保其工作符合并达到我司管理要求，保证运营有效循环。岗位要求：1、大学专科及以上学历，十年以上供应链主管经验，具有贸易进出口行业工作经验优先。2、熟悉整段供应链流程,包含:陆海空运,进出口报关,危险品运输等,PPT制作及报告能力。3、较强的领导能力、判断与决策能力、沟通能力、影响力、计划与执行能力。4、具有良好的团队协作精神、良好的沟通能力和服务意识。",外资（非欧美）  |  150-500人,上海,15,,,15000-20000,15000,20000
供应链销售员/经理,深圳市华运国际物流有限公司,5千-1万,深圳-罗湖区,大专,1年经验,五险一金,交通/运输/物流,岗位职责：1、根据公司整体业务发展战略目标要求，负责公司销售工作，执行并完成销售计划；2、开发目标行业大企业客户，推广第三方供应链服务品牌及产品，为客户提供销售、采购、物流、海外仓及进出口等方面的整套的供应链服务3、深挖外贸供应链、进出口贸易、供应链金融、跨境物流、海外仓等行业机会，深入挖掘客户需求，设计供应链业务产品和服务，开展商务合作谈判，开展市场推广工作，推进业务落地实施，创造市场增量。任职要求：1、大专学历，供应链管理、国际贸易、物流等相关专业；2、具有外贸进出口行业供应链行业经验，有物流行业大中型企业营销及客户发展管理工作经验优先；3、熟悉外贸供应链、进出口贸易、跨境物流、国内仓储等业务；,民营  |  1000-5000人,深圳,,,,5000-10000,5000,10000
供应链招商经理,广州毅珩贸易有限公司,1-1.5万,广州-海珠区,大专,5-7年经验,供应商资源,服装/纺织/皮革,1.负责公司设计工作室和供应商资源开发及管理，建立工作室和供应商信息库，优化工作室和供应商资源；2..统筹整个供应链的管理工作，建立并优化公司的供应链体系；3.负责供应商管理的流程梳理、优化，推动新流程的落地实施；4.负责对外发供应商的整体考核评估筛选，详细了解各工厂产能、人力、机器的负荷及整体的配合情况，保障生产供应资源运作顺利；5.与设计部、技术部对接，打造高质量的供应链服务体系和系统化解决方案。任职资格:1、大专及以上学历，有五年以上品牌服装公司供应链招商管理工作经验；2、有一、二线品质供应链资源者和设计工作室优先考虑；3、熟悉服装供应链全流程及系统；4、具有较强的数据分析能力，良好的领导和组织协调能力、判断力与决策能力，优秀的沟通能力、执行能力和团队合作精神。,外资（非欧美）  |  50-150人,广州,,,,10000-15000,10000,15000
电商供应链专员,大昌行食品（上海）有限公司,8-9千·13薪,上海-静安区,大专,2年经验,五险一金,快速消费品(食品、饮料、化妆品),1、负责电商库存管理，周期提供库存分析，警示风险库存；月度物流费用审核及分析；2、负责公司产品进销存统计；3、电商地采品牌采购、结算及采购建议；4、临保产品的统计及协调处理方案；5、日常仓库对接，物流发货、多系统库存核对、发货拦截、移库等；6、负责统计仓库差异、产品报废数量及原因，分析原因提出解决方案。岗位要求：1、2-3年快消品、电商、供应链或大型公司相关工作经验。2、有库存数据分析经验，监控异常数据，对业务管理及优化提前数据支持，并能针对不合理部分，能够提出有针对性的解决方案。3、有用友、旺店通、金蝶云星空供应链管理或WMS仓储管理等软件使用经验。4、熟练操作office常用办公软件；5、熟悉物流管理、供应链管理的相关流程及知识。,外资（非欧美）  |  500-1000人,上海,13,,,8000-9000,8000,9000
集团供应链经理（战略采购）,联志玩具礼品（东莞）有限公司,1.5-2.5万·14薪,东莞-横沥镇,本科,10年以上经验,数据分析,家具/家电/玩具/礼品,"岗位职责1.	负责制定集团采购策略以及采购相关的制度和程序，并有效推动落地实施,并与法律和合规团队合作，制定采购合同、采购政策、程序和标准；2.	以具有成本效益的方式管理采购系统并提出改进建议；3.	支持与供应链相关的活动，从确定内部业务需求、协调供应商评估到寻找新供应商和管理供应商关系等；4.	为供应商选择提供行业知识和意见，并制定采购策略,审查和评估供应商的价格、生产能力、质量、物流和交期；5.	有效和高效地管理采购人员并监督整个部门，组织持续的培训计划，以增强采购团队的专业知识并培养团队的诚信。任职要求：1.	本科或以上学历，供应链管理、工商管理或工程相关专业。2.	制造行业10年以上塑料、电子、印包，机械零部件相关的供应链管理经验，有玩具行业供应链管理经验优先；3.	熟悉塑胶、电子、纸品、布料等消费原材料行业和市场；4.	擅长MSoffice和数据分析，粤语和英语流利优先，至少都要会听，英语读写熟练，会简单口语。5.	良好的市场意识和谈判能力，优秀的组织和沟通能力，能够独立工作和承受压力。6.	有上进心，吃苦耐劳，积极进取，有责任心。",外资（非欧美）  |  10000人以上,东莞,14,,,15000-25000,15000,25000
供应链专员,珠海创微电子科技有限公司,6-9千·13薪,珠海-香洲区,大专,3-4年经验,供应链,电子技术/半导体/集成电路,"1.对供应商的报价进行比价、议价、追求采购成本最小化；2.供应商寻源、供应商评估；新样品开发、推进样品的确认、供应商准入；3.供应商谈判及合同签订；4.供应商管理、绩效评估；5.供应商模具管理；6.下达采购订单、制定A级进口物料的提货计划和付款预算、签订A级物料进口报关合同、物流跟踪（交付、入库跟踪）；7.日常来料品质异常的处理，退货、补货、索赔；8.发放原材料受控图纸给供应商，并登记发放台账；9.每月底盘点供应商处的委外物料；10.每月对账、付款、发票签收，登记应付款台账;11.工装夹具报价及购买。任职要求：1，年龄25-35岁，中专以上学历，一年以上采购工作经验2、熟练操作办公软件，熟悉采购流程，有一定的采购询价、比价及合同谈判能力3，熟练操作办公软件（EXCEL,WORD,PDF）,用过用友或金蝶ERP软件4，有五金件、塑胶件、电子线束、电子料、工装夹具、非标电气设备零配件的采购经验",民营  |  1000-5000人,珠海,13,,,6000-9000,6000,9000
供应链采购专员,佛山迈科斯自动化系统有限公司,5-7千,珠海-金湾区,大专,2年经验,光伏,电子技术/半导体/集成电路,1、年龄25-35岁，大专及以上学历，身体健康；2、熟悉供应链和采购流程以及采购相关质量管理体系；3、熟悉物料市场行情，掌握有关物料的供应市场变化与价格走势；4、熟悉供应商评估、考核方案，熟悉相关质量体系标准具有较强的数据分析能力和成本控制能力；5、具有一年以上采购经验。钣金件、电器元件、电柜、塑料加工件、工程管材；有光伏、电路板、光电等相关采购经验更佳。,民营  |  500-1000人,珠海,,,,5000-7000,5000,7000
供应链采购经理,美丽田园医疗健康产业有限公司,1.4-1.7万·13薪,上海-虹口区,本科,5-7年经验,员工旅游,美容/保健,岗位职责：1.负责根据集团BU和研发部门需求进行产品寻源的工作，包括向海外供应商进行寻源采购，确保项目按照需求上市；2.采购品类覆盖医疗设备与器械、医用耗材、相关辅材物耗和药品等；3.确保采购商品符合相关的法规要求，并具有成本优势；5.制定供应商管理办法和评价标准，加强对相关供应商的绩效管理与成本控制和优化；任职要求：1、本科及以上，供应链管理、国际贸易和医疗采购等专业和工作经验优先考虑；2、5年以上的采购管理经验，具有丰富的项目采购经验；3、熟练使用ERP管理和项目管理；4、熟练掌握办公软件，良好数据分析能以及数字敏感度；5、具有良好的沟通、表达能力，积极进取，责任心强，工作作风严谨稳健；6、熟练的英文书面和口头表达能力，能进行熟练对话和商务谈判及问题解决能力。,民营  |  1000-5000人,上海,13,,,14000-17000,14000,17000
分公司（工业互联）供应链管理/采购/运营经理,安徽中科海奥电气股份有限公司,8千-1.5万,南京-六合区,本科,5-7年经验,五险一金,电气/电力/水利,岗位职责：1.负责公司供应链管理部的工作，组织制定并实施供应链战略规划，全面负责公司设备原料招标采购、供应商管理等体系的优化及管控工作；2.结合产品类别及供应商层次，建立平台入驻规则，并对入驻平台供方、合作伙伴的资质（三证、商标、受权、专利、报告、证书等）评审。3.组织制定并完善供应链各项管理制度，建立完善标准合同条款及合同版本，建立采购物品标准、材料设备品牌库、供方资源数据库；4.定期编制、执行分析和动态管理供应链的预算和费用，善于利用行业信息及新方式降低成本；5.按公司年度战略计划制定设备材料的招标计划、合同签订计划、采购计划，并负责计划的执行；6.组织供应商的考察及评定，建立供应商履约情况记录，维护和协调供方与项目关系；对部门工作进行有效指导及监督，确保部门工作计划的完成。7.负责部门团队日常管理、物流管理。岗位条件：1.大学本科及以上学历，供应链管理、物流管理、企业管理等相关专业毕业2.5年及以上招投标采购工作经验，具有大型企业原料及设备采购经验和有新能源设备原料供应商资源的优先考虑；3.具有较强的供应商开发、供应商谈判、供应商管理等方面的能力；4.熟悉新能源行业政策、规范及相关法律法规，具有很强的沟通、协调和推进能力，有很强的组织纪律性保密意识，品行端正，责任心强。5.熟悉供应链关键环节，如供应商管理、采购管理、仓储管理、物流管理有实操经验并有较深刻的理解、较强的沟通能力和组织领导能力、工作积极主动，执行力强，具有较强的工作抗压能力；善于思考和团队协作，有良好的沟通、学习和解决问题的能力。公司名称：中科海奥工业互联网有限公司公司地址：南京市六合区龙池街道槽坊路9号车创产业园1号楼,民营  |  50-150人,南京,,,,8000-15000,8000,15000
供应链助理,苏州红杉信息科技有限公司,5-7千·13薪,苏州-工业园区,本科,1年经验,员工旅游,贸易/进出口,岗位职责：1.了解公司目前经营的产品；2.对所负责的产品进行市场调研，产品信息的搜集、整理和初步分析；3.对可深入挖掘的产品作专项研究，寻找合适的供应商，对接拿样、打样等事宜；4.做好相关产品的信息资料，给运营部门提供相应的产品知识；任职要求：1、本科及以上学历，欢迎优秀应届生投递。2、有良好的沟通能力、谈判能力和成本意识，有一定的数据分析能力。3、热爱跨境电商行业。4、工作细致认真，责任心强，思维敏捷，具有较强的团队合作精神。晋升：供应链助理--供应链专员（满一年，晋升后薪资相应提高）公司福利：五险一金、周末双休、餐补、交通补贴、绩效奖、全勤奖、年终奖、节日礼品、带薪年假，团建聚餐...每年一次涨薪：幅度为8%~15%工作地址：苏州工业园区星汉街5号腾飞新苏坊6号楼603单元（交通便利）工作时间：周一至周五8:30-17:30，周末双休，节假日正常休息。,民营  |  少于50人,苏州,13,,,5000-7000,5000,7000
IT系统分析员（供应链流程数字化）,广州南顺清洁用品有限公司,1.2-1.8万·13薪,广州-越秀区,本科,3-4年经验,IT技术,快速消费品(食品、饮料、化妆品),主要工作职责：1通过数字化项目架构、设计及实施提升整体供应链运作效率2支持供应链环节Sourcingtopay流程梳理，相关流程优化设计及数字化平台构建支持业务效率提升3支持产品一物一码项目实施，可以支持整体公司层面一物一码标准化制定4支持S&OP流程优化，并能够理解从DemandPlanning/SupplyPlanning/ProductionPlanning整体流程，相关流程优化设计、系统实施支持5支持WMS/TMS相关项目规划、设计及项目实施6具备供应链整体流程环节的数字化能力提升运作效率的技术实现方案规划及设计7生产环节MES项目规划8支持后续新工厂开设及行业***实践支持整体工作运作效率提优9支持供应相关数字化平台与外围平台（ERP/BPM等）数据交互10支持业务层面OEM模式优化，配合业务层面需求相关技术方案设计及数字化平台能力构建以支持业务拓展主要岗位要求：1本科及以上学历，计算机及工程相关专业23年及以上系统分析及快消行业供应链相关项目实施经验3具备WMS/TMS/MES/一物一码等相关项目实施经验4具备OracleEBS项目经验为佳5理解快消行业供应链整体流程，理解供应链管理整体环节业务诉求6基本的快消行业S&OP流程的认知7具备OEM业务模式理解及相关数字化项目实施经验8供应链平台与外围系统对接经验9具备业务流程分析能力并可以提出相关业务流程优化的方案建议10良好的沟通能力，能够通过沟通影响业务并支持业务价值实现11项目管理经验，支持项目整体生命周期管理12个人能力贡献及良好的团队协作能力13良好的业务理解能力、业务优化建议及较强的沟通能力14口头及文字沟通能力，***具备英语及粤语沟通能力,外资（非欧美）  |  150-500人,广州,13,,,12000-18000,12000,18000
供应链专员（医疗器械类）,苏州铭美生物科技有限公司,5.5-7千,苏州-高新区,本科,1年经验,采购,制药/生物工程,铭美生物招贤纳士，只要你有能力，有想法，我们需要你这样的人才加入我们的团队，我们一起成长。工作时间：40h/周工作环境：整洁，优美，一尘不染联系人：孟经理任职要求：1、本科及以上学历；2、有采购工作经验优先；3、熟练使用电脑、办公软件，英语四级以上；4、具备较强的学习能力、议价和谈判能力、沟通协调能力和执行能力，较强的成本意识和服务精神；5、正直诚实，细心耐心，责任心强。岗位职责：1、开拓及维护供应商资源，构建并丰富产品供应链体系；2、基于客户订单，筛选合适供应商并准确下达目标产品的采购合同；3、不断优化并降低采购成本;4、跟踪目标采购产品的生产进度，确保供应商保质保量按期交货；5、与公司设计部门配合完成公司跨境平台上产品图片、产品详情页的制作并上传系统；6、配合运营要求及时完成公司平台产品图片信息更新和替换。福利：1.工作餐（充满文艺小清新气质的餐厅，每天菜色不重样）；2.团队活动（旅游、歌唱丶演讲、包饺子丶运动丶户外）；3.享受国家法定节假日；4.五险一金（给你最齐全的保障）；5.带薪假期（带薪病假、年假、产假等）；6.舒适的办公环境（提供午休，午休时间一个半小时）；7.娱乐设施（台球、乒乓球、咖啡、茶吧）8.我们有党支部，欢迎加入我们党组织生活。,民营  |  50-150人,苏州,,,,5500-7000,5500,7000
系统分析师（数字化供应链方向）,深圳南顺油脂有限公司上海办事处,1.5-1.8万·13薪,上海-黄浦区,本科,3-4年经验,五险一金,快速消费品(食品、饮料、化妆品),"岗位职责：1、通过数字化项目架构、设计及实施提升整体供应链运作效率2、支持供应链环节Sourcingtopay流程梳理，相关流程优化设计及数字化平台构建支持业务效率提升3、支持产品一物一码项目实施，可以支持整体公司层面一物一码标准化制定4、支持S&OP流程优化，并能够理解从DemandPlanning/SupplyPlanning/ProductionPlanning整体流程，相关流程优化设计、系统实施支持5、支持WMS/TMS相关项目规划、设计及项目实施6、具备供应链整体流程环节的数字化能力提升运作效率的技术实现方案规划及设计生产环节MES项目规划7、支持后续新工厂开设及行业***实践支持整体工作运作效率提优8、支持供应相关数字化平台与外围平台（ERP/BPM等）数据交互9、支持业务层面OEM模式优化，配合业务层面需求相关技术方案设计及数字化平台能力构建以支持业务拓展岗位要求：1、本科及以上学历，计算机及工程相关专业，3年及以上系统分析及快消行业供应链相关项目实施经验2、具备WMS/TMS/MES/一物一码等相关项目实施经验3、具备OracleEBS项目经验为佳4、理解快消行业供应链整体流程，理解供应链管理整体环节业务诉求,基本的快消行业S&OP流程的认知5、具备OEM业务模式理解及相关数字化项目实施经验，供应链平台与外围系统对接经验6、具备业务流程分析能力并可以提出相关业务流程优化的方案建议7、具备良好的沟通能力，能够通过沟通影响业务并支持业务价值实现8、具备项目管理经验，支持项目整体生命周期管理9、具备良好的个人能力贡献及良好的团队协作能力10、具备良好的业务理解能力、业务优化建议及较强的沟通能力11、具备良好的口头及文字沟通能力，***具备英语及粤语沟通能力Responsibilities:?	Improvebusinessefficiencybydigitalizesupplychainprocess.?	SetupproductQRcode,traceability,anticounterfeitstandard.FindstableandscalablesolutionforGroupdivisions.?	ImplementproductQRcodetodivisionproductswithhighlevelaccuracyandtraceability.?	SupportGroupS&OPsystemenhancements,implementdemandplanning,supplyplanningandproductionplanning.?	ImplementWMStoimprovewarehouseefficiency.?	FindopportunitiesinLogisticdigitalization.?	PlanfutureMESimplementation.?	SupportpotentialNewPlantprojectandbringinnewdigitalsolutionsforhigherproductionefficiency.?	SupportInterfacebetweensupplychainsystemsandERP.?	SupportOEMmodel,resolvetechnicalissueswhileOEMmodelevolvesduringbusinessgrowthindivision.Requirements:?	DegreeholderinComputerScienceorEngineeringispreferred.?	Over3years’experienceinsupplychainareaofFMCGcompanies.?	Handsonexperienceinproducttraceability,MES,WMSandTMS?	Broadknowledgeofsupplychaintechnology?	BasicknowledgeofS&OP,beabletoconvertdemandplanningintosupplyplanningandproductionplanning.?	UnderstandOEMmodelandimplicationtoITsystems.?	InterfaceexperiencebetweensupplychainsystemandERP?	Stronganalyticalskillswithvastexperienceinbusinessprocessanalysis?	Projectmanagementexperience.?	Abilitytobeself-managedaswellastocollaboratewithteamsofnon-technicalusersisamust.?	Strongpresentation,interpersonalandcommunicationskills.?	GoodcommandinspokenandwrittenMandarinandEnglish.Cantoneseisplus.",外资（非欧美）  |  500-1000人,上海,13,,,15000-18000,15000,18000
供应链总监,上海博维逻辑半导体技术有限公司,2-4万·14薪,上海-普陀区,本科,3-4年经验,五险一金,电子技术/半导体/集成电路,岗位职责：1、根据公司策略，制定年度采购目标及实施，负责相应生产计划管理和生产控制，并达成年度成本管理目标；2、设计优化供应链运营管理流程，建立工作规范、标准急流程并组织实施；3、依据公司需求，收集市场信息并制定采购策略（晶圆厂、封测厂），包括分析及对比行业主流供应商分布、技术能力、服务水平、价格等；4、负责新供应商的前期搜寻及认证，对新供应商的产能、设备、交期、技术、品质等进行评估；及时跟踪掌握市场价格行情变化及品质情况，以提升产品品质及降低采购成本；5、负责供应商管理，关注公司库存状况，根据市场销售状况提出补货及货品调配建议；6、协同芯片设计及工程团队把握行业趋势和动向，从供应链运营角度向公司管理层提供建议。任职要求：1、本科及以上学历，具有3年以上规模芯片设计公司相关管理工作经验；2、大中型Fabless企业的采购供应链管理经验，具备生产计划、供应链开发、评估及管理经验；3、具有引导芯片产品通过车规认证、设计内部库存管理或ERP系统等经验者优先；4、具有和晶圆、封装、测试等后端各个环节的主流供应商的良好关系和对相关技术的深刻理解；5、有强大的凝聚力和领导力，能和团队一起按时保质的完成公司的既定目标；6、熟悉企业相关市场，具备市场营销能力为佳；7、具备优秀的资源整合能力，能整合企业内部和外部资源，制定合适的运营策略。福利：薪资待遇优；期权激励。,合资  |  少于50人,上海,14,,,20000-40000,20000,40000
供应链管理经理,摩比烁太阳能（深圳）有限公司,1.4-1.7万,深圳-福田区,本科,5-7年经验,五险一金,电子技术/半导体/集成电路,"所有岗位要求英语听说读写流利！！！薪酬福利：1、入职购买五险一金、法定节假日、入职满一个月即享带薪年假；2、过试用期后买商业补充医疗保险（包括意外，重疾，看病住院等）3、每年带薪病假12天；4、每周一下午茶，每月生日会，不定时聚餐，办公室零食饮料无限供应，办公室花式手冲咖啡自助，上班就像在家一样舒服！5、员工生日蛋糕卡，传统节日福利；6、舒适的办公环境、提供冰箱、微波炉；7、公司团建，年终福利。工作时间：9:00--18:00自由工作时间，不需打卡！工作目的/使命供应链经理位于EEAGlobal团队和其他跨职能团队以及提供我们核心硬件产品的制造商之间的接口处。在这个角色中，个人正在管理正在进行的产品订单履行，以最快的时间以***的产品质量将产品从中国交付到每个市场。工作内容：IT系统管理：?在SAP和Arena中创建和维护主数据。?接收来自EEA计划经理的需求，并在SAP中处理PO（采购订单）、GRPO（收货采购订单）和IT（库存转移）。?在现金流跟踪器中保留更新的付款信息。订单和库存管理?与EEA计划经理/Africans国内运营团队合作，审查和优化月度订单和预测。?管理采购订单跟踪器，与财务团队合作生成采购订单，直至付款成功；?监控生产调度，以***平衡工厂产能和物流效率；?监控中国库存，尽可能降低监控水平；生产监控和材料管理?管理材料管道，报告和突出问题，解决任何材料短缺问题。?根据EEA需求准备EEA产品生产能力的季度审查，向运营产品经理和管理团队报告并强调任何差距。?评估和管理供应商以确保实现KPI。?与EEA和工厂项目团队合作，降低EEA库存责任的风险。包括长交货期材料清单审查，***限度地减少E&O，并为E&O材料提供处理建议，如转售、退回下级供应商和报废等。物流和海关支持?研究每个运输国家/地区的法规和要求，并确保所有货物都符合这些要求。?监控从选定供应商到全球目的地的运输过程，并与每个非洲运营团队和非洲运营团队合作，以确保我们的货物安全交付。?在Trello/Box/Sharepoint上维护正在进行的订单状态报告，提供必要的额外报告，并充当每个相关EEA职能团队的后勤联络人。商绩效管理：?	建立和维护与供应商和供应商的长期关系。?	评估和管理供应商以确保实现KPI。?	设定并实现绩效指标，以提高商品成本、质量、技术和服务等方面的总交付生命周期价值。技能与经验：-至少6-8年电子制造行业（ODM、OEM、EMS）物流、生产计划和供应商管理经验；工作经验较少将被视为供应链主管-具有良好的预测管理、物料计划、物料管理、订单交付、供需分析、风险分析经验。-先进的ERP/MRP经验。-物流、生产计划和供应商管理专家。-愿意在动态环境中运作-无可挑剔的组织能力和多任务处理能力-大部分时间在中国境内和国际旅行的意愿和能力-英语听说读书熟练",外资（欧美）  |  少于50人,深圳,,,,14000-17000,14000,17000
